<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-28,30-316,HOU,,LAL,W (+18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2014-10-29,30-317,HOU,,UTA,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,1,2014-11-01,30-320,HOU,,BOS,W (+14),0,3:39,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-9
4,2,2014-11-03,30-322,HOU,@,PHI,W (+11),0,1:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-1
5,3,2014-11-04,30-323,HOU,@,MIA,W (+17),0,7:58,1,1,1.000,0,0,,0,0,,0,1,1,0,1,1,1,3,2,1.5,-4
6,4,2014-11-06,30-325,HOU,,SAS,W (+17),0,3:09,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-1.5,-1
7,,2014-11-08,30-327,HOU,,GSW,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,5,2014-11-12,30-331,HOU,@,MIN,W (+12),0,3:00,0,1,.000,0,0,,0,2,.000,1,2,3,0,0,0,0,1,0,-0.6,-4
9,,2014-11-14,30-333,HOU,,PHI,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
