<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2015-01-16,24-317,PHI,,NOP,W (+15),0,13:33,2,3,.667,1,1,1.000,0,0,,0,1,1,1,0,0,1,0,5,3.7,-6
2,2,2015-01-17,24-318,PHI,@,DET,L (-18),0,23:49,3,7,.429,0,2,.000,0,0,,0,2,2,9,1,0,3,0,6,7.2,-4
3,3,2015-01-19,24-320,PHI,@,WAS,L (-35),0,22:47,1,6,.167,0,3,.000,0,0,,0,0,0,6,1,0,5,2,2,-2.4,-20
4,4,2015-01-21,24-322,PHI,,NYK,L (-7),0,17:52,1,3,.333,1,3,.333,1,2,.500,0,1,1,4,1,0,2,0,4,4.0,-5
5,5,2015-01-23,24-324,PHI,,TOR,L (-5),0,13:32,1,6,.167,0,1,.000,0,0,,0,0,0,2,0,0,1,0,2,-1.4,-16
6,6,2015-01-24,24-325,PHI,@,MEM,L (-18),0,20:16,4,6,.667,0,1,.000,1,1,1.000,0,0,0,4,0,0,1,1,9,7.8,-9
7,7,2015-01-26,24-327,PHI,@,NOP,L (-25),1,31:43,2,9,.222,0,4,.000,0,0,,1,4,5,2,1,0,4,2,4,-2.0,-17
8,8,2015-01-28,24-329,PHI,,DET,W (+20),0,12:59,0,3,.000,0,3,.000,0,0,,0,1,1,1,0,0,0,2,0,-1.9,-14
9,9,2015-01-30,24-331,PHI,,MIN,W (+9),0,12:55,0,1,.000,0,1,.000,0,0,,0,3,3,3,0,0,2,0,0,0.3,+9
10,10,2015-01-31,24-332,PHI,@,ATL,L (-6),0,11:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,3,0,0,1,2,3,3.0,-1
11,11,2015-02-02,24-334,PHI,@,CLE,L (-13),0,24:11,2,7,.286,0,4,.000,0,0,,0,1,1,5,2,0,4,2,4,0.9,0
12,12,2015-02-03,24-335,PHI,,DEN,W (+7),0,14:29,3,6,.500,1,2,.500,0,0,,0,1,1,5,0,0,1,2,7,6.0,+10
