<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,22,CHA,NBA,PF,73,14,1384,163,348,.468,9,41,.220,154,307,.502,.481,87,118,.737,121,165,286,81,55,10,50,128,422
2008-09,23,TOT,NBA,SF,68,7,1155,136,285,.477,29,74,.392,107,211,.507,.528,71,105,.676,82,123,205,56,57,8,43,105,372
2008-09,23,CHA,NBA,SF,20,7,427,45,96,.469,3,8,.375,42,88,.477,.484,15,24,.625,25,34,59,19,18,2,10,40,108
2008-09,23,PHO,NBA,SF,48,0,728,91,189,.481,26,66,.394,65,123,.528,.550,56,81,.691,57,89,146,37,39,6,33,65,264
2009-10,24,PHO,NBA,SF,82,1,1991,225,490,.459,120,262,.458,105,228,.461,.582,104,138,.754,99,182,281,115,81,16,68,162,674
2010-11,25,PHO,NBA,SF,82,15,2140,300,629,.477,105,253,.415,195,376,.519,.560,162,218,.743,111,207,318,108,87,20,77,139,867
2011-12,26,PHO,NBA,SG,65,60,2020,312,643,.485,80,209,.383,232,434,.535,.547,119,164,.726,95,206,301,112,49,19,72,107,823
2012-13,27,PHO,NBA,SF,79,50,2170,313,669,.468,106,271,.391,207,398,.520,.547,129,162,.796,79,166,245,203,75,8,101,128,861
2013-14,28,LAC,NBA,SF,74,43,1729,196,447,.438,81,225,.360,115,222,.518,.529,38,58,.655,36,124,160,104,41,10,56,146,511
2014-15,29,MIL,NBA,SG,72,22,1717,198,423,.468,74,192,.385,124,231,.537,.556,48,67,.716,45,175,220,130,72,11,62,113,518
2015-16,30,WAS,NBA,PF,4,0,88,7,15,.467,2,8,.250,5,7,.714,.533,2,4,.500,1,17,18,5,4,1,5,7,18
Career,,,NBA,,599,212,14394,1850,3949,.468,606,1535,.395,1244,2414,.515,.545,760,1034,.735,669,1365,2034,914,521,103,534,1035,5066
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,PHO,NBA,,356,126,9049,1241,2620,.474,437,1061,.412,804,1559,.516,.557,570,763,.747,441,850,1291,575,331,69,351,601,3489
2 seasons,,CHA,NBA,,93,21,1811,208,444,.468,12,49,.245,196,395,.496,.482,102,142,.718,146,199,345,100,73,12,60,168,530
1 season,,LAC,NBA,,74,43,1729,196,447,.438,81,225,.360,115,222,.518,.529,38,58,.655,36,124,160,104,41,10,56,146,511
1 season,,MIL,NBA,,72,22,1717,198,423,.468,74,192,.385,124,231,.537,.556,48,67,.716,45,175,220,130,72,11,62,113,518
1 season,,WAS,NBA,,4,0,88,7,15,.467,2,8,.250,5,7,.714,.533,2,4,.500,1,17,18,5,4,1,5,7,18
