<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98&nbsp;★,21,SAS,NBA,PF,82,82,3204,706,1287,.549,0,10,.000,706,1277,.553,.549,319,482,.662,274,703,977,224,55,206,279,254,1731
1998-99,22,SAS,NBA,PF,50,50,1963,418,845,.495,1,7,.143,417,838,.498,.495,247,358,.690,159,412,571,121,45,126,146,147,1084
1999-00&nbsp;★,23,SAS,NBA,PF,74,74,2875,628,1281,.490,1,11,.091,627,1270,.494,.491,459,603,.761,262,656,918,234,66,165,242,210,1716
2000-01&nbsp;★,24,SAS,NBA,PF,82,82,3174,702,1406,.499,7,27,.259,695,1379,.504,.502,409,662,.618,259,738,997,245,70,192,242,247,1820
2001-02&nbsp;★,25,SAS,NBA,PF,82,82,3329,764,1504,.508,1,10,.100,763,1494,.511,.508,560,701,.799,268,774,1042,307,61,203,263,217,2089
2002-03&nbsp;★,26,SAS,NBA,PF,81,81,3181,714,1392,.513,6,22,.273,708,1370,.517,.515,450,634,.710,259,784,1043,316,55,237,248,231,1884
2003-04&nbsp;★,27,SAS,NBA,PF,69,68,2527,592,1181,.501,2,12,.167,590,1169,.505,.502,352,588,.599,227,632,859,213,62,185,183,164,1538
2004-05&nbsp;★,28,SAS,NBA,PF,66,66,2203,517,1042,.496,3,9,.333,514,1033,.498,.498,305,455,.670,202,530,732,179,45,174,127,144,1342
2005-06&nbsp;★,29,SAS,NBA,PF,80,80,2784,574,1185,.484,2,5,.400,572,1180,.485,.485,335,533,.629,231,650,881,253,70,162,198,219,1485
2006-07&nbsp;★,30,SAS,NBA,C,80,80,2726,618,1131,.546,1,9,.111,617,1122,.550,.547,362,568,.637,213,633,846,273,66,190,224,203,1599
2007-08&nbsp;★,31,SAS,NBA,C,78,78,2651,585,1178,.497,0,4,.000,585,1174,.498,.497,338,463,.730,237,644,881,218,56,152,178,185,1508
2008-09&nbsp;★,32,SAS,NBA,C,75,75,2524,558,1107,.504,0,2,.000,558,1105,.505,.504,334,483,.692,201,599,800,264,38,126,165,173,1450
2009-10&nbsp;★,33,SAS,NBA,C,78,77,2438,561,1082,.518,2,11,.182,559,1071,.522,.519,271,374,.725,221,567,788,246,45,117,140,152,1395
2010-11&nbsp;★,34,SAS,NBA,C,76,76,2156,419,838,.500,0,4,.000,419,834,.502,.500,184,257,.716,169,509,678,203,50,146,122,119,1022
2011-12,35,SAS,NBA,C,58,58,1634,361,733,.492,0,4,.000,361,729,.495,.492,173,249,.695,110,410,520,132,38,88,97,98,895
2012-13&nbsp;★,36,SAS,NBA,C,69,69,2078,490,976,.502,2,7,.286,488,969,.504,.503,245,300,.817,124,562,686,184,50,183,147,117,1227
2013-14,37,SAS,NBA,C,74,74,2158,444,906,.490,0,5,.000,444,901,.493,.490,231,316,.731,158,563,721,220,43,139,159,134,1119
2014-15&nbsp;★,38,SAS,NBA,PF,77,77,2227,419,819,.512,2,7,.286,417,812,.514,.513,230,311,.740,170,534,704,230,63,151,131,165,1070
2015-16,39,SAS,NBA,C,5,5,146,19,39,.487,0,1,.000,19,38,.500,.487,16,19,.842,8,37,45,17,3,6,12,16,54
Career,,,NBA,,1336,1334,45978,10089,19932,.506,30,167,.180,10059,19765,.509,.507,5820,8356,.697,3752,10937,14689,4079,981,2948,3303,3195,26028
