<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,34-044,CHI,@,NYK,W (+24),1,31:01,0,5,.000,0,4,.000,0,0,,0,3,3,4,1,0,1,1,0,-0.2,+17
2,2,2014-10-31,34-046,CHI,,CLE,L (-6),1,39:59,5,10,.500,4,7,.571,0,0,,0,9,9,8,1,2,3,5,14,14.7,-1
3,3,2014-11-01,34-047,CHI,@,MIN,W (+1),1,34:29,3,8,.375,3,7,.429,4,5,.800,0,1,1,0,1,0,0,3,13,8.3,+2
4,4,2014-11-04,34-050,CHI,,ORL,W (+8),1,21:56,1,3,.333,1,2,.500,0,0,,1,2,3,2,0,0,2,2,3,1.2,+2
5,5,2014-11-05,34-051,CHI,@,MIL,W (+9),1,23:18,4,7,.571,1,4,.250,3,4,.750,0,2,2,3,0,1,1,0,12,10.7,+14
6,6,2014-11-07,34-053,CHI,@,PHI,W (+3),1,30:52,9,15,.600,5,8,.625,4,5,.800,0,3,3,3,0,1,1,0,27,22.4,+18
7,7,2014-11-08,34-054,CHI,,BOS,L (-5),1,27:36,5,10,.500,3,7,.429,0,0,,1,3,4,1,1,0,0,1,13,10.9,-7
8,8,2014-11-10,34-056,CHI,,DET,W (+11),1,35:03,2,7,.286,0,3,.000,3,3,1.000,0,4,4,1,0,2,1,4,7,3.6,+20
9,9,2014-11-13,34-059,CHI,@,TOR,W (+7),1,34:42,5,10,.500,2,5,.400,2,4,.500,0,5,5,2,1,0,0,0,14,12.1,+21
10,10,2014-11-15,34-061,CHI,,IND,L (-9),1,27:23,2,7,.286,0,3,.000,0,0,,0,6,6,1,0,0,1,2,4,0.6,0
11,11,2014-11-17,34-063,CHI,@,LAC,W (+16),1,35:14,6,10,.600,4,7,.571,3,5,.600,1,6,7,0,0,0,1,1,19,14.7,+30
12,12,2014-11-20,34-066,CHI,@,SAC,L (-15),1,34:40,4,13,.308,2,7,.286,2,2,1.000,0,2,2,3,1,0,2,2,12,5.4,-11
13,13,2014-11-21,34-067,CHI,@,POR,L (-18),1,17:00,0,2,.000,0,1,.000,2,2,1.000,1,2,3,1,2,0,2,2,2,1.8,-20
14,14,2014-11-24,34-070,CHI,@,UTA,W (+2),1,28:20,1,3,.333,0,2,.000,0,0,,1,4,5,3,0,0,0,1,2,3.9,+9
15,15,2014-11-25,34-071,CHI,@,DEN,L (-5),1,36:44,5,9,.556,3,7,.429,4,5,.800,0,2,2,0,3,0,0,2,17,15.1,-3
16,16,2014-11-28,34-074,CHI,@,BOS,W (+7),1,27:01,1,5,.200,0,2,.000,2,3,.667,1,3,4,0,0,0,1,4,4,-0.5,-6
17,17,2014-11-30,34-076,CHI,@,BRK,W (+18),1,23:19,2,7,.286,0,3,.000,0,0,,0,3,3,2,0,0,0,1,4,1.8,+11
18,18,2014-12-02,34-078,CHI,,DAL,L (-3),1,48:48,8,15,.533,2,7,.286,2,2,1.000,0,4,4,4,1,1,0,4,20,16.8,+7
19,19,2014-12-03,34-079,CHI,@,CHO,W (+7),1,30:24,3,5,.600,3,5,.600,0,0,,0,1,1,0,1,0,0,3,9,6.8,-2
20,20,2014-12-06,34-082,CHI,,GSW,L (-10),1,25:26,2,6,.333,1,2,.500,1,2,.500,0,2,2,3,0,0,2,2,6,2.1,+6
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-10,34-086,CHI,,BRK,W (+25),1,29:56,5,10,.500,4,6,.667,0,0,,1,4,5,3,2,0,1,0,14,14.0,+19
22,22,2014-12-12,34-088,CHI,,POR,W (+9),1,28:38,3,5,.600,2,4,.500,0,0,,0,3,3,1,0,0,1,1,8,5.9,-5
23,23,2014-12-14,34-090,CHI,@,MIA,W (+18),1,29:56,8,11,.727,4,5,.800,2,2,1.000,0,4,4,2,0,2,1,2,22,19.7,+8
24,24,2014-12-15,34-091,CHI,@,ATL,L (-7),1,39:02,4,9,.444,2,5,.400,1,2,.500,1,5,6,0,0,0,1,1,11,6.7,-7
25,25,2014-12-18,34-094,CHI,,NYK,W (+6),1,29:27,2,7,.286,1,3,.333,0,0,,1,3,4,0,0,0,0,1,5,2.1,-4
26,26,2014-12-19,34-095,CHI,@,MEM,W (+6),1,30:49,2,6,.333,1,5,.200,0,0,,1,4,5,0,0,0,0,1,5,3.1,-3
27,27,2014-12-22,34-098,CHI,,TOR,W (+9),1,22:52,1,4,.250,1,1,1.000,0,0,,0,1,1,2,0,2,1,2,3,1.9,-6
