<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,23,UTA,NBA,SF,49,3,463,76,115,.661,0,1,.000,76,114,.667,.661,26,37,.703,36,61,97,24,17,17,19,50,178
2011-12,24,UTA,NBA,SF,29,0,217,27,42,.643,0,1,.000,27,41,.659,.643,8,16,.500,19,31,50,13,6,24,5,23,62
2012-13,25,UTA,NBA,PF,37,0,215,27,44,.614,0,1,.000,27,43,.628,.614,21,33,.636,26,32,58,11,8,13,8,30,75
2013-14,26,UTA,NBA,SF,66,4,1209,175,332,.527,0,2,.000,175,330,.530,.527,51,75,.680,120,190,310,44,42,46,40,139,401
2014-15,27,UTA,NBA,SF,38,0,266,32,58,.552,2,5,.400,30,53,.566,.569,24,29,.828,26,45,71,13,11,12,5,29,90
2015-16,28,DAL,NBA,SF,5,1,73,4,7,.571,1,3,.333,3,4,.750,.643,3,4,.750,2,12,14,0,1,2,1,3,12
Career,,,NBA,,224,8,2443,341,598,.570,3,13,.231,338,585,.578,.573,133,194,.686,229,371,600,105,85,114,78,274,818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,UTA,NBA,,219,7,2370,337,591,.570,2,10,.200,335,581,.577,.572,130,190,.684,227,359,586,105,84,112,77,271,806
1 season,,DAL,NBA,,5,1,73,4,7,.571,1,3,.333,3,4,.750,.643,3,4,.750,2,12,14,0,1,2,1,3,12
