<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,34-164,SAC,,GSW,L (-18),0,6:54,0,3,.000,0,0,,0,0,,2,3,5,1,0,0,1,0,0,-0.1,+3
2,2,2014-10-31,34-166,SAC,,POR,W (+9),0,23:30,2,7,.286,0,0,,0,0,,2,4,6,1,0,0,2,4,4,-0.4,-14
3,3,2014-11-02,34-168,SAC,@,LAC,W (+6),0,6:21,0,0,,0,0,,1,2,.500,0,2,2,0,0,0,0,2,1,0.4,-7
4,4,2014-11-03,34-169,SAC,@,DEN,W (+5),0,22:31,1,2,.500,0,0,,0,0,,3,11,14,0,2,1,0,4,2,7.5,-1
5,5,2014-11-05,34-171,SAC,,DEN,W (+22),0,18:44,2,4,.500,0,0,,2,5,.400,1,4,5,1,0,0,0,2,6,4.6,+15
6,6,2014-11-07,34-173,SAC,@,PHO,W (+2),0,11:12,0,3,.000,0,0,,5,6,.833,2,3,5,2,0,1,2,3,5,3.7,+2
7,7,2014-11-09,34-175,SAC,@,OKC,L (-8),0,13:51,2,4,.500,0,0,,1,1,1.000,2,3,5,1,1,0,1,0,5,6.0,-4
8,8,2014-11-11,34-177,SAC,@,DAL,L (-8),0,13:31,0,1,.000,0,0,,1,2,.500,2,4,6,0,0,0,0,2,1,1.7,-6
9,9,2014-11-13,34-179,SAC,@,MEM,L (-1),0,12:30,1,2,.500,0,0,,0,0,,2,2,4,0,1,0,1,3,2,1.8,-7
10,,2014-11-15,34-181,SAC,,SAS,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,,2014-11-18,34-184,SAC,,NOP,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,,2014-11-20,34-186,SAC,,CHI,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,,2014-11-22,34-188,SAC,,MIN,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,,2014-11-25,34-191,SAC,,NOP,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,,2014-11-26,34-192,SAC,,HOU,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,,2014-11-28,34-194,SAC,,SAS,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,10,2014-11-30,34-196,SAC,,MEM,L (-12),0,34:58,7,10,.700,0,0,,3,6,.500,9,11,20,1,1,1,2,4,17,20.0,-7
18,11,2014-12-02,34-198,SAC,,TOR,L (-8),0,32:16,3,3,1.000,0,0,,4,6,.667,3,4,7,1,0,0,1,4,10,9.7,+2
19,12,2014-12-05,34-201,SAC,,IND,W (+1),0,25:17,0,2,.000,0,0,,0,2,.000,1,6,7,1,0,0,1,2,0,-0.8,-16
20,13,2014-12-06,34-202,SAC,,ORL,L (-9),0,10:30,0,2,.000,0,0,,3,4,.750,3,1,4,0,0,0,0,1,3,3.2,-8
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,14,2014-12-08,34-204,SAC,,UTA,W (+9),1,34:15,2,4,.500,0,0,,2,4,.500,0,13,13,1,1,0,0,4,6,7.2,+13
22,15,2014-12-09,34-205,SAC,@,LAL,L (-3),1,30:29,3,3,1.000,0,0,,2,2,1.000,5,9,14,1,1,0,2,3,8,11.8,+6
23,16,2014-12-11,34-207,SAC,,HOU,L (-4),1,17:47,2,2,1.000,0,0,,1,6,.167,2,2,4,0,1,0,2,3,5,2.2,+7
