<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-28,25-039,NOP,,ORL,W (+17),1,34:40,5,15,.333,0,1,.000,2,5,.400,2,7,9,6,0,0,0,0,12,10.0,+10
2,2,2014-11-01,25-043,NOP,,DAL,L (-5),1,37:00,8,19,.421,3,6,.500,3,3,1.000,1,9,10,9,2,1,4,5,22,18.3,+9
3,3,2014-11-03,25-045,NOP,@,MEM,L (-12),1,38:52,7,17,.412,2,4,.500,5,8,.625,3,4,7,4,1,0,4,4,21,12.2,0
4,4,2014-11-04,25-046,NOP,,CHO,W (+9),1,30:39,7,18,.389,2,4,.500,0,0,,1,9,10,5,0,0,4,3,16,7.9,+13
5,5,2014-11-08,25-050,NOP,@,SAS,W (+1),1,38:01,7,16,.438,2,4,.500,2,2,1.000,0,3,3,5,1,0,3,2,18,11.2,-5
6,6,2014-11-10,25-052,NOP,@,CLE,L (-7),1,30:29,2,14,.143,0,1,.000,2,2,1.000,1,3,4,10,0,1,1,6,6,2.9,-10
7,7,2014-11-12,25-054,NOP,,LAL,W (+7),1,36:45,8,16,.500,2,2,1.000,1,2,.500,1,4,5,11,0,0,2,2,19,17.4,+16
8,8,2014-11-14,25-056,NOP,,MIN,W (+48),1,26:27,6,11,.545,1,1,1.000,3,6,.500,2,4,6,7,4,0,2,2,16,18.2,+33
9,9,2014-11-17,25-059,NOP,@,POR,L (-9),1,38:47,5,18,.278,1,5,.200,2,5,.400,2,3,5,8,2,0,4,3,13,5.9,-5
10,10,2014-11-18,25-060,NOP,@,SAC,W (+6),1,31:12,5,11,.455,1,2,.500,7,8,.875,2,4,6,5,0,0,2,4,18,14.4,0
11,11,2014-11-21,25-063,NOP,@,DEN,L (-20),1,31:36,5,10,.500,0,2,.000,0,0,,0,2,2,2,1,0,3,2,10,4.2,-7
12,12,2014-11-22,25-064,NOP,@,UTA,W (+12),1,38:52,4,13,.308,0,1,.000,1,2,.500,2,5,7,3,3,0,2,1,9,6.7,+16
13,13,2014-11-25,25-067,NOP,,SAC,L (-10),1,37:57,10,17,.588,0,3,.000,2,4,.500,1,6,7,5,0,0,5,3,22,13.1,-14
14,14,2014-11-28,25-070,NOP,@,ATL,L (-9),1,35:54,8,17,.471,0,2,.000,2,5,.400,1,5,6,6,3,1,2,4,18,14.6,+6
15,15,2014-11-29,25-071,NOP,@,WAS,L (-3),1,34:38,2,15,.133,0,3,.000,0,0,,1,4,5,4,4,1,1,1,4,2.3,-5
16,16,2014-12-02,25-074,NOP,,OKC,W (+8),1,38:49,14,24,.583,0,1,.000,2,4,.500,1,1,2,5,0,1,6,0,30,17.2,+22
