<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,25-008,GSW,@,SAC,W (+18),0,8:09,2,2,1.000,0,0,,1,2,.500,0,1,1,0,0,0,0,4,5,2.7,-1
2,2,2014-11-01,25-011,GSW,,LAL,W (+23),0,12:57,1,1,1.000,0,0,,1,2,.500,2,2,4,1,0,1,2,4,3,2.1,-4
3,3,2014-11-02,25-012,GSW,@,POR,W (+5),0,12:36,2,2,1.000,0,0,,0,0,,1,3,4,0,1,3,1,0,4,7.1,-2
4,4,2014-11-05,25-015,GSW,,LAC,W (+17),0,9:51,0,1,.000,0,0,,0,0,,0,2,2,0,2,0,4,2,0,-2.9,+5
5,5,2014-11-08,25-018,GSW,@,HOU,W (+11),0,2:49,0,1,.000,0,0,,0,0,,1,0,1,0,0,1,0,1,0,0.3,-6
6,6,2014-11-09,25-019,GSW,@,PHO,L (-12),0,10:19,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,1,4,4,1.4,-1
7,7,2014-11-11,25-021,GSW,,SAS,L (-13),0,10:11,1,1,1.000,0,0,,1,2,.500,1,4,5,0,0,1,1,0,3,3.9,-5
8,,2014-11-13,25-023,GSW,,BRK,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,8,2014-11-15,25-025,GSW,,CHO,W (+25),0,12:00,3,6,.500,0,0,,2,3,.667,2,3,5,0,0,0,1,2,8,5.1,-3
10,9,2014-11-16,25-026,GSW,@,LAL,W (+21),0,10:57,1,2,.500,0,0,,1,2,.500,2,1,3,0,0,0,3,3,3,-0.9,-13
11,10,2014-11-21,25-031,GSW,,UTA,W (+13),0,7:33,0,1,.000,0,0,,0,0,,0,1,1,1,0,1,0,1,0,0.6,-7
12,11,2014-11-23,25-033,GSW,@,OKC,W (+5),0,14:01,3,7,.429,0,0,,0,0,,2,0,2,1,1,2,2,6,6,2.4,-3
13,,2014-11-25,25-035,GSW,,MIA,W (+17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,12,2014-11-26,25-036,GSW,@,ORL,W (+15),0,3:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-10
15,,2014-11-28,25-038,GSW,,CHO,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
