<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,19,TOT,NBA,PF,78,27,1535,215,416,.517,0,0,,215,416,.517,.517,103,173,.595,171,241,412,39,29,68,77,246,533
2010-11,19,NJN,NBA,PF,56,23,1091,141,276,.511,0,0,,141,276,.511,.511,71,116,.612,126,171,297,21,18,41,56,183,353
2010-11,19,UTA,NBA,PF,22,4,444,74,140,.529,0,0,,74,140,.529,.529,32,57,.561,45,70,115,18,11,27,21,63,180
2011-12,20,UTA,NBA,PF,65,9,1376,222,445,.499,0,0,,222,445,.499,.499,126,194,.649,158,267,425,43,38,65,103,145,570
2012-13,21,UTA,NBA,PF,77,8,1787,274,568,.482,0,5,.000,274,563,.487,.482,179,260,.688,184,362,546,75,67,130,129,247,727
2013-14,22,UTA,NBA,PF,73,73,2201,390,747,.522,0,1,.000,390,746,.523,.522,190,284,.669,199,438,637,91,75,108,129,236,970
2014-15,23,UTA,NBA,PF,74,74,2280,482,918,.525,1,6,.167,481,912,.527,.526,222,332,.669,196,411,607,112,60,123,121,210,1187
2015-16,24,UTA,NBA,PF,6,6,174,35,73,.479,0,0,,35,73,.479,.479,18,27,.667,15,39,54,5,14,7,9,15,88
Career,,,NBA,,373,197,9353,1618,3167,.511,1,12,.083,1617,3155,.513,.511,838,1270,.660,923,1758,2681,365,283,501,568,1099,4075
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,UTA,NBA,,317,174,8262,1477,2891,.511,1,12,.083,1476,2879,.513,.511,767,1154,.665,797,1587,2384,344,265,460,512,916,3722
1 season,,NJN,NBA,,56,23,1091,141,276,.511,0,0,,141,276,.511,.511,71,116,.612,126,171,297,21,18,41,56,183,353
