<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21,CHA,NBA,PG,80,54,2406,345,883,.391,97,271,.358,248,612,.405,.446,161,222,.725,77,188,265,446,102,8,182,181,948
2006-07,22,CHA,NBA,PG,78,75,2832,393,1024,.384,103,312,.330,290,712,.407,.434,204,256,.797,51,216,267,545,118,10,230,180,1093
2007-08,23,CHA,NBA,PG,79,79,2972,412,997,.413,56,200,.280,356,797,.447,.441,260,325,.800,37,199,236,583,96,12,213,184,1140
2008-09,24,CHA,NBA,PG,82,81,3086,442,1083,.408,59,207,.285,383,876,.437,.435,219,272,.805,54,256,310,553,126,30,228,191,1162
2009-10,25,CHA,NBA,PG,80,80,2643,388,846,.459,60,156,.385,328,690,.475,.494,132,173,.763,53,235,288,446,123,22,168,172,968
2010-11,26,TOT,NBA,PG-SG,75,54,2737,427,1005,.425,116,329,.353,311,676,.460,.483,194,241,.805,48,221,269,625,125,11,221,150,1164
2010-11,26,NYK,NBA,PG,54,54,2074,339,801,.423,88,268,.328,251,533,.471,.478,157,181,.867,40,154,194,488,97,11,176,113,923
2010-11,26,DEN,NBA,SG,21,0,663,88,204,.431,28,61,.459,60,143,.420,.500,37,60,.617,8,67,75,137,28,0,45,37,241
2011-12,27,POR,NBA,PG,60,56,1906,261,642,.407,62,203,.305,199,439,.453,.455,100,124,.806,27,122,149,390,78,10,170,122,684
2012-13,28,NYK,NBA,PG,68,68,2313,377,882,.427,93,258,.360,284,624,.455,.480,101,128,.789,51,143,194,372,94,14,155,130,948
2013-14,29,NYK,NBA,PG,65,65,2017,240,608,.395,62,195,.318,178,413,.431,.446,88,122,.721,54,143,197,365,78,27,129,157,630
2014-15,30,DAL,NBA,PG,29,3,281,43,106,.406,10,34,.294,33,72,.458,.453,12,15,.800,2,24,26,41,11,4,18,17,108
2015-16,31,DAL,NBA,PG,6,3,148,22,49,.449,4,11,.364,18,38,.474,.490,3,3,1.000,3,9,12,16,2,0,10,14,51
Career,,,NBA,,702,618,23341,3350,8125,.412,722,2176,.332,2628,5949,.442,.457,1474,1881,.784,457,1756,2213,4382,953,148,1724,1498,8896
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,CHA,NBA,,399,369,13939,1980,4833,.410,375,1146,.327,1605,3687,.435,.448,976,1248,.782,272,1094,1366,2573,565,82,1021,908,5311
3 seasons,,NYK,NBA,,187,187,6404,956,2291,.417,243,721,.337,713,1570,.454,.470,346,431,.803,145,440,585,1225,269,52,460,400,2501
1 season,,POR,NBA,,60,56,1906,261,642,.407,62,203,.305,199,439,.453,.455,100,124,.806,27,122,149,390,78,10,170,122,684
2 seasons,,DAL,NBA,,35,6,429,65,155,.419,14,45,.311,51,110,.464,.465,15,18,.833,5,33,38,57,13,4,28,31,159
1 season,,DEN,NBA,,21,0,663,88,204,.431,28,61,.459,60,143,.420,.500,37,60,.617,8,67,75,137,28,0,45,37,241
