<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-28,31-164,ORL,,NOP,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1,2014-10-30,31-166,ORL,,WAS,L (-7),1,24:19,1,3,.333,0,2,.000,0,0,,0,2,2,0,0,0,2,2,2,-1.9,-11
3,2,2014-11-01,31-168,ORL,,TOR,L (-13),1,31:43,4,10,.400,2,7,.286,1,2,.500,0,1,1,2,0,0,1,5,11,3.9,-11
4,3,2014-11-04,31-171,ORL,@,CHI,L (-8),1,35:59,3,4,.750,3,4,.750,0,0,,0,7,7,3,1,2,0,3,9,12.8,-8
5,4,2014-11-05,31-172,ORL,@,PHI,W (+2),1,36:05,5,12,.417,2,8,.250,1,1,1.000,2,9,11,1,2,0,3,3,13,9.2,+4
6,5,2014-11-07,31-174,ORL,,MIN,W (+9),1,27:51,3,6,.500,0,1,.000,0,0,,0,6,6,2,0,1,2,1,6,4.5,0
7,6,2014-11-09,31-176,ORL,@,BRK,L (-8),1,33:17,5,8,.625,3,4,.750,0,0,,0,4,4,3,0,0,3,3,13,8.5,0
8,7,2014-11-11,31-178,ORL,@,TOR,L (-4),1,42:54,7,15,.467,5,8,.625,0,0,,1,5,6,2,1,0,1,1,19,14.5,-4
9,8,2014-11-12,31-179,ORL,@,NYK,W (+2),1,38:16,4,11,.364,1,4,.250,0,0,,0,6,6,1,0,1,0,1,9,5.7,+3
10,9,2014-11-14,31-181,ORL,,MIL,W (+16),1,30:13,2,8,.250,2,7,.286,0,0,,1,7,8,1,3,0,1,1,6,6.3,-2
11,10,2014-11-15,31-182,ORL,@,WAS,L (-5),1,42:24,5,9,.556,4,6,.667,0,0,,0,7,7,2,1,0,3,4,14,9.6,-9
12,11,2014-11-17,31-184,ORL,@,DET,W (+14),1,30:40,4,6,.667,4,6,.667,0,0,,0,5,5,3,0,0,1,5,12,10.0,+8
13,12,2014-11-19,31-186,ORL,,LAC,L (-24),1,33:46,3,8,.375,3,7,.429,1,1,1.000,0,7,7,2,1,1,2,4,10,7.2,-14
14,13,2014-11-21,31-188,ORL,@,CHO,W (+5),1,23:01,1,4,.250,1,3,.333,2,2,1.000,0,3,3,1,0,2,0,3,5,4.4,-6
15,14,2014-11-22,31-189,ORL,,MIA,L (-7),1,32:16,3,6,.500,1,4,.250,2,2,1.000,0,5,5,3,1,0,1,4,9,8.0,0
16,15,2014-11-24,31-191,ORL,@,CLE,L (-32),1,31:17,1,4,.250,1,3,.333,0,0,,0,3,3,0,1,0,0,4,3,0.9,-23
17,16,2014-11-26,31-193,ORL,,GSW,L (-15),1,24:22,1,4,.250,0,2,.000,0,0,,1,2,3,1,0,1,3,3,2,-1.9,-28
18,17,2014-11-28,31-195,ORL,@,IND,L (-15),1,35:42,3,7,.429,3,6,.500,0,1,.000,0,5,5,2,1,1,4,4,9,3.9,-1
19,18,2014-11-30,31-197,ORL,@,PHO,W (+3),1,26:46,1,5,.200,1,5,.200,0,0,,0,6,6,1,0,0,0,2,3,1.6,0
20,19,2014-12-02,31-199,ORL,@,GSW,L (-1),1,29:35,1,5,.200,1,3,.333,0,0,,0,8,8,1,1,2,0,6,3,3.0,+7
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,20,2014-12-03,31-200,ORL,@,LAC,L (-28),1,25:58,2,7,.286,2,5,.400,0,0,,1,2,3,2,1,0,3,3,6,1.4,-14
22,21,2014-12-05,31-202,ORL,@,UTA,W (+5),1,35:24,4,8,.500,3,7,.429,0,0,,0,6,6,0,0,1,0,4,11,7.9,+12
23,22,2014-12-06,31-203,ORL,@,SAC,W (+9),1,34:56,2,7,.286,2,6,.333,0,0,,1,5,6,1,2,0,1,3,6,4.6,+8
24,23,2014-12-10,31-207,ORL,,WAS,L (-2),1,33:53,4,5,.800,2,3,.667,0,0,,1,1,2,0,0,3,0,1,10,10.8,+1
25,24,2014-12-12,31-209,ORL,@,ATL,L (-6),1,36:57,2,6,.333,2,6,.333,2,3,.667,1,8,9,1,0,1,2,4,8,5.1,+1
26,25,2014-12-13,31-210,ORL,,ATL,W (+1),1,39:39,3,7,.429,3,6,.500,0,0,,0,7,7,3,0,0,0,3,9,8.3,+7
27,26,2014-12-15,31-212,ORL,@,TOR,L (-13),1,35:07,1,6,.167,1,4,.250,0,0,,0,4,4,0,1,1,1,1,3,0.7,-18
28,27,2014-12-17,31-214,ORL,@,BOS,L (-17),1,27:09,4,9,.444,3,6,.500,2,2,1.000,1,4,5,0,2,0,0,3,13,11.0,-4
29,28,2014-12-19,31-216,ORL,,UTA,L (-7),1,25:44,3,10,.300,3,6,.500,0,0,,1,2,3,0,0,1,1,4,9,2.6,0
30,29,2014-12-21,31-218,ORL,,PHI,L (-8),0,18:00,2,4,.500,0,0,,0,0,,1,2,3,0,1,1,0,3,4,3.8,-21
31,30,2014-12-23,31-220,ORL,,BOS,W (+5),0,21:33,3,5,.600,2,3,.667,0,0,,1,3,4,3,1,1,1,5,8,8.1,0
32,31,2014-12-26,31-223,ORL,,CLE,L (-9),0,17:02,3,6,.500,3,6,.500,0,0,,0,3,3,1,0,0,0,1,9,7.2,+8
33,32,2014-12-27,31-224,ORL,@,CHO,W (+8),0,20:38,2,3,.667,1,2,.500,0,0,,0,4,4,0,1,0,1,2,5,4.1,+11
34,33,2014-12-29,31-226,ORL,@,MIA,W (+1),0,27:23,5,11,.455,3,9,.333,0,0,,0,2,2,0,0,0,1,4,13,5.3,+1
35,34,2014-12-30,31-227,ORL,,DET,L (-23),0,24:42,1,6,.167,1,4,.250,0,0,,0,3,3,2,0,1,2,3,3,-1.0,-22
36,35,2015-01-02,31-230,ORL,,BRK,L (-2),0,25:13,4,8,.500,3,6,.500,0,0,,0,4,4,0,2,0,0,3,11,9.0,+5
37,36,2015-01-03,31-231,ORL,,CHO,L (-8),0,12:40,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,2,0,-1.9,-6
38,37,2015-01-07,31-235,ORL,@,DEN,L (-3),0,19:25,0,5,.000,0,4,.000,0,0,,0,1,1,1,0,0,1,3,0,-4.7,-13
39,38,2015-01-09,31-237,ORL,@,LAL,L (-17),0,18:08,2,4,.500,2,3,.667,0,0,,0,2,2,3,1,0,2,4,6,4.1,-9
40,39,2015-01-10,31-238,ORL,@,POR,L (-11),1,31:39,1,10,.100,1,8,.125,0,0,,0,8,8,3,2,0,1,1,3,1.5,-8
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,40,2015-01-12,31-240,ORL,@,CHI,W (+7),1,36:14,2,10,.200,1,7,.143,0,0,,1,4,5,5,2,1,4,5,5,0.9,+11
42,41,2015-01-14,31-242,ORL,,HOU,W (+7),1,38:35,5,10,.500,5,9,.556,0,0,,1,4,5,5,1,0,2,2,15,13.6,+17
43,42,2015-01-16,31-244,ORL,,MEM,L (-10),1,38:14,5,12,.417,4,9,.444,3,3,1.000,0,8,8,2,0,3,1,2,17,14.7,-4
44,43,2015-01-18,31-246,ORL,,OKC,L (-28),1,34:59,2,9,.222,2,8,.250,3,3,1.000,0,5,5,1,3,1,1,4,9,6.8,-17
45,44,2015-01-21,31-249,ORL,@,DET,L (-10),1,22:54,3,4,.750,2,3,.667,0,0,,0,1,1,0,1,0,0,1,8,7.3,-17
46,45,2015-01-23,31-251,ORL,@,NYK,L (-7),1,34:47,5,10,.500,4,9,.444,0,0,,0,6,6,3,0,1,0,2,14,12.8,-3
47,46,2015-01-25,31-253,ORL,,IND,L (-7),1,32:07,3,10,.300,2,5,.400,1,1,1.000,0,4,4,2,2,0,2,3,9,4.6,-2
48,47,2015-01-26,31-254,ORL,@,MEM,L (-9),1,12:36,2,4,.500,2,4,.500,0,0,,0,1,1,0,0,0,0,0,6,4.3,-11
49,48,2015-01-29,31-257,ORL,,MIL,L (-15),1,15:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-14
50,49,2015-01-31,31-259,ORL,,DAL,L (-15),0,20:28,4,12,.333,2,7,.286,0,0,,1,2,3,2,0,0,1,4,10,3.3,-14
51,50,2015-02-02,31-261,ORL,@,OKC,L (-7),0,12:05,1,4,.250,1,3,.333,0,0,,0,4,4,1,0,0,1,3,3,0.3,+10
52,51,2015-02-04,31-263,ORL,@,SAS,L (-7),0,7:39,1,2,.500,1,2,.500,0,0,,0,2,2,1,0,0,2,0,3,1.3,-13
53,52,2015-02-06,31-265,ORL,,LAL,W (+6),1,17:06,3,6,.500,1,4,.250,0,0,,1,1,2,2,0,0,2,0,7,4.4,-3
54,53,2015-02-08,31-267,ORL,,CHI,L (-1),1,23:15,4,8,.500,4,8,.500,0,0,,0,1,1,2,1,0,0,0,12,10.7,-1
55,54,2015-02-09,31-268,ORL,@,WAS,L (-16),1,20:20,1,6,.167,1,4,.250,0,0,,0,2,2,0,1,2,2,4,3,-1.4,-7
56,55,2015-02-11,31-270,ORL,,NYK,W (+6),1,9:51,1,3,.333,1,3,.333,0,0,,0,0,0,0,1,0,0,1,3,1.9,+4
57,56,2015-02-20,31-279,ORL,,NOP,W (+11),1,17:54,1,6,.167,0,4,.000,0,0,,0,2,2,0,1,0,1,4,2,-2.8,+5
58,57,2015-02-22,31-281,ORL,,PHI,W (+5),1,20:37,6,10,.600,3,7,.429,0,0,,0,3,3,0,0,1,0,3,15,10.8,+3
59,58,2015-02-25,31-284,ORL,,MIA,L (-3),1,13:49,1,3,.333,1,3,.333,2,2,1.000,1,1,2,0,0,0,1,4,5,1.7,+3
60,59,2015-02-27,31-286,ORL,@,ATL,L (-7),1,24:10,3,10,.300,3,8,.375,1,1,1.000,1,2,3,3,1,2,4,6,10,3.6,-9
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,60,2015-03-01,31-288,ORL,,CHO,L (-15),1,18:24,3,5,.600,2,4,.500,0,0,,0,2,2,0,1,0,1,0,8,6.3,-16
62,61,2015-03-04,31-291,ORL,,PHO,L (-5),0,15:04,1,4,.250,0,2,.000,2,2,1.000,0,4,4,0,0,1,1,4,4,0.9,-12
63,62,2015-03-06,31-293,ORL,,SAC,W (+5),1,35:27,7,11,.636,6,9,.667,2,2,1.000,0,10,10,3,1,3,1,3,22,23.1,+21
