<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Joe Fabel,1947,1947,F-G,6-1,190,September 4 1913,University of Pittsburgh
John Fairchild,1966,1970,F,6-8,205,April 28 1943,Brigham Young University
Phil Farbman,1949,1949,F,6-1,185,April 3 1924,City College of New York
Kenneth Faried,2012,2016,F,6-8,228,November 19 1989,Morehead State University
Dick Farley,1955,1959,G-F,6-4,190,April 13 1932,Indiana University
Jordan Farmar,2007,2015,G,6-2,180,November 30 1986,University of California Los Angeles
Desmon Farmer,2007,2009,G,6-5,220,October 7 1981,University of Southern California
Jim Farmer,1988,1994,G,6-4,190,September 23 1964,University of Alabama
Mike Farmer,1959,1966,F,6-7,210,September 26 1936,University of San Francisco
Tony Farmer,1998,2000,F,6-9,244,January 3 1970,University of Nebraska
Bob Faught,1947,1947,F,6-5,185,September 2 1921,University of Notre Dame
Vitor Faverani,2014,2014,C,6-11,260,May 5 1988,
Derrick Favors,2011,2016,F-C,6-10,265,July 15 1991,Georgia Institute of Technology
Nick Fazekas,2008,2008,F,6-11,235,June 17 1985,University of Nevada Reno
Dave Fedor,1963,1963,F,6-6,190,December 10 1940,Florida State University
Bob Feerick,1947,1950,F-G,6-3,190,January 2 1920,Santa Clara University
Butch Feher,1977,1977,G,6-4,185,May 19 1954,Vanderbilt University
Jamie Feick,1997,2001,C,6-9,255,July 3 1974,Michigan State University
Ron Feiereisel,1956,1956,G,6-3,185,August 6 1931,DePaul University
George Feigenbaum,1950,1953,G,6-1,185,July 2 1929,University of Kentucky
Dave Feitl,1987,1992,C,6-11,235,June 8 1962,University of Texas at El Paso
Carrick Felix,2014,2014,G,6-6,201,August 17 1990,Arizona State University
Noel Felix,2006,2006,F,6-9,225,October 4 1981,California State University Fresno
Ray Felix,1954,1962,C,6-11,220,December 10 1930,Long Island University
Raymond Felton,2006,2016,G,6-1,205,June 26 1984,University of North Carolina
Jake Fendley,1952,1953,G,6-0,180,June 12 1929,Northwestern University
Warren Fenley,1947,1947,F,6-3,190,February 8 1922,Manhattan College
Desmond Ferguson,2004,2004,G-F,6-7,203,July 22 1977,University of Detroit Mercy
Rudy Fernandez,2009,2012,G,6-6,185,April 4 1985,
Eric Fernsten,1976,1984,C-F,6-10,205,November 1 1953,University of San Francisco
Al Ferrari,1956,1963,G-F,6-4,190,July 6 1933,Michigan State University
Rolando Ferreira,1989,1989,C,7-1,240,May 24 1964,University of Houston
Duane Ferrell,1989,1999,F-G,6-7,209,February 28 1965,Georgia Institute of Technology
Arnie Ferrin,1949,1951,F-G,6-2,180,July 29 1925,University of Utah
Bob Ferry,1960,1969,C-F,6-8,230,May 31 1937,Saint Louis University
Danny Ferry,1991,2003,F,6-10,230,October 17 1966,Duke University
Kyrylo Fesenko,2008,2012,C,7-1,288,December 24 1986,
Bobby Fields,1972,1972,G,6-3,175,October 20 1949,La Salle University
Kenny Fields,1985,1988,F-G,6-5,220,February 9 1962,University of California Los Angeles
Landry Fields,2011,2015,F,6-7,210,June 27 1988,Stanford University
Ron Filipek,1968,1968,F,6-5,205,February 5 1944,Tennessee Technological University
Greg Fillmore,1971,1972,C,7-1,240,March 7 1947,Cheyney University of Pennsylvania
Larry Finch,1974,1975,G,6-2,185,February 16 1951,University of Memphis
Hank Finkel,1967,1975,C,7-0,240,April 20 1942,University of Dayton
Michael Finley,1996,2010,G-F,6-7,215,March 6 1973,University of Wisconsin
Danny Finn,1953,1955,G,6-1,185,May 29 1928,St. John's University
Matt Fish,1995,1997,C,6-11,235,November 18 1969,University of North Carolina at Wilmington
Derek Fisher,1997,2014,G,6-1,200,August 9 1974,University of Arkansas at Little Rock
Richard Fisher,1972,1972,F,6-5,215,October 27 1948,Colorado State University
Gerald Fitch,2006,2006,G,6-3,188,August 12 1982,University of Kentucky
Bob Fitzgerald,1947,1949,F-C,6-5,190,March 14 1923,Fordham University
Dick Fitzgerald,1947,1948,F,6-2,175,November 18 1920,Seton Hall University
Marcus Fizer,2001,2006,F,6-9,262,August 10 1978,Iowa State University
Jerry Fleishman,1947,1953,G-F,6-2,190,February 14 1922,New York University
Al Fleming,1978,1978,F,6-7,215,April 5 1954,University of Arizona
Ed Fleming,1956,1960,G-F,6-3,189,July 25 1933,Niagara University
Vern Fleming,1985,1996,G,6-5,185,February 4 1962,University of Georgia
Luis Flores,2005,2005,G,6-2,200,April 11 1981,Manhattan College
Bruce Flowers,1983,1983,F,6-8,225,June 13 1957,University of Notre Dame
Sleepy Floyd,1983,1995,G,6-3,170,March 6 1960,Georgetown University
Jonny Flynn,2010,2012,G,6-0,185,February 6 1989,Syracuse University
Mike Flynn,1976,1978,G,6-2,180,July 31 1953,University of Kentucky
Larry Fogle,1976,1976,G,6-5,205,March 19 1953,Canisius College
Jack Foley,1963,1963,F,6-3,170,April 19 1939,College of the Holy Cross
Isaac Fontaine,2002,2002,G,6-4,210,April 16 1975,Washington State University
Levi Fontaine,1971,1971,G,6-4,190,November 1 1948,University of Maryland Eastern Shore
Jeff Foote,2012,2012,C,7-0,265,July 14 1987,Cornell University
Gary Forbes,2011,2012,F,6-7,220,February 25 1985,University of Massachusetts Amherst
Alphonso Ford,1994,1995,G,6-1,190,October 31 1971,Mississippi Valley State University
Alton Ford,2002,2004,F,6-9,275,May 29 1981,University of Houston
Bob Ford,1973,1973,F,6-7,228,January 26 1950,Purdue University
Chris Ford,1973,1982,G-F,6-5,190,January 11 1949,Villanova University
Don Ford,1976,1982,F,6-9,215,December 31 1952,University of California Santa Barbara
Jake Ford,1971,1972,G,6-3,180,April 29 1946,University of Maryland Eastern Shore
Phil Ford,1979,1985,G,6-2,175,February 9 1956,University of North Carolina
Sharrod Ford,2006,2006,F,6-9,225,January 9 1982,Clemson University
Sherell Ford,1996,1996,F,6-7,210,August 26 1972,University of Illinois at Chicago
T.J. Ford,2004,2012,G,6-0,165,March 24 1983,University of Texas at Austin
Donnie Forman,1949,1949,G,5-10,175,January 17 1926,New York University
Bayard Forrest,1978,1979,C,6-10,235,July 8 1954,Grand Canyon University
Joseph Forte,2002,2003,G,6-4,194,March 23 1981,University of North Carolina
Courtney Fortson,2012,2012,G,5-11,185,May 23 1988,University of Arkansas
Danny Fortson,1998,2007,F,6-7,260,March 27 1976,University of Cincinnati
Fred Foster,1969,1977,F,6-5,210,March 18 1946,Miami University
Greg Foster,1991,2003,F-C,6-11,240,October 3 1968,University of Texas at El Paso
James Foster,1975,1976,G,6-1,175,December 16 1951,University of Connecticut
Jeff Foster,2000,2012,F-C,6-11,236,January 16 1977,Texas State University
Rod Foster,1984,1986,G,6-1,160,October 10 1960,University of California Los Angeles
Antonis Fotsis,2002,2002,F,6-10,219,April 1 1981,
Evan Fournier,2013,2016,G-F,6-7,205,October 29 1992,
Larry Foust,1951,1962,C-F,6-9,215,June 24 1928,La Salle University
Calvin Fowler,1970,1970,G,6-0,175,February 11 1940,Saint Francis University
Jerry Fowler,1952,1952,C,6-8,230,June 20 1927,University of Missouri
Tremaine Fowlkes,2002,2005,F,6-8,220,April 11 1976,California State University Fresno
Harold Fox,1973,1973,G,6-2,175,August 29 1949,Jacksonville University
Jim Fox,1968,1977,C-F,6-10,230,April 7 1943,University of South Carolina
Rick Fox,1992,2004,F-G,6-7,230,July 24 1969,University of North Carolina
Randy Foye,2007,2016,G,6-4,213,September 24 1983,Villanova University
Adonal Foyle,1998,2009,C,6-10,250,March 9 1975,Colgate University
Richie Frahm,2004,2008,G,6-5,210,August 14 1977,Gonzaga University
Steve Francis,2000,2008,G,6-3,195,February 21 1977,University of Maryland
Tellis Frank,1988,1994,F-C,6-10,225,April 26 1965,Western Kentucky University
Nat Frankel,1947,1947,F-G,6-0,195,November 3 1913,Brooklyn College
Jamaal Franklin,2014,2015,G,6-5,191,July 21 1991,San Diego State University
William Franklin,1973,1976,F,6-7,220,October 19 1949,Purdue University
Ronald Franz,1968,1973,F,6-7,205,October 20 1945,University of Kansas
Tim Frazier,2015,2016,G,6-1,170,November 1 1990,Pennsylvania State University
Walt Frazier*,1968,1980,G,6-4,200,March 29 1945,Southern Illinois University
Will Frazier,1966,1969,C-F,6-7,210,August 24 1942,Grambling State University
Anthony Frederick,1989,1992,F,6-7,205,December 7 1964,Pepperdine University
Jimmer Fredette,2012,2015,G,6-2,195,February 25 1989,Brigham Young University
World B. Free,1976,1988,G,6-2,185,December 9 1953,Guilford College
Joel Freeland,2013,2015,F-C,6-10,250,February 7 1987,
Donnie Freeman,1968,1976,G,6-3,185,July 18 1944,University of Illinois at Urbana-Champaign
Gary Freeman,1971,1971,F,6-9,210,July 25 1948,Oregon State University
Rod Freeman,1974,1974,F,6-7,225,November 5 1950,Vanderbilt University
Matt Freije,2005,2007,F,6-10,240,October 2 1981,Vanderbilt University
Frido Frey,1947,1947,F,6-2,195,October 26 1921,Long Island University
Larry Friend,1958,1958,G-F,6-4,185,April 14 1935,University of California
Pat Frink,1969,1969,G,6-4,195,February 18 1945,University of Colorado
Jim Fritsche,1954,1955,F-C,6-8,210,December 10 1931,Hamline University
Channing Frye,2006,2016,F-C,6-11,255,May 17 1983,University of Arizona
Bernie Fryer,1974,1975,G,6-3,185,December 25 1949,Brigham Young University
Frank Fucarino,1947,1947,F,6-2,175,July 24 1920,Long Island University
Herm Fuetsch,1948,1948,G,6-0,170,July 6 1918,
Joe Fulks*,1947,1954,F-C,6-5,190,October 26 1921,Murray State University
Carl Fuller,1971,1972,C,6-9,225,January 10 1946,Bethune-Cookman College
Hiram Fuller,2004,2004,F,6-9,240,May 15 1981,California State University Fresno
Todd Fuller,1997,2001,C,6-11,255,July 25 1974,North Carolina State University
Tony Fuller,1981,1981,G,6-4,180,September 4 1958,Pepperdine University
Lawrence Funderburke,1998,2005,F,6-9,230,December 15 1970,Ohio State University
Terry Furlow,1977,1980,G-F,6-4,190,October 18 1954,Michigan State University
