<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,24,MIL,NBA,C,49,30,760,70,145,.483,0,1,.000,70,144,.486,.483,29,56,.518,66,131,197,9,22,52,27,125,169
2003-04,25,MIL,NBA,C,75,0,1260,183,349,.524,0,1,.000,183,348,.526,.524,58,118,.492,126,220,346,28,51,105,45,186,424
2004-05,26,MIL,NBA,C,81,81,1783,243,451,.539,0,0,,243,451,.539,.539,107,199,.538,261,413,674,30,47,106,81,224,593
2005-06,27,MIL,NBA,C,74,0,885,171,309,.553,0,1,.000,171,308,.555,.553,41,89,.461,91,141,232,24,25,43,35,171,383
2006-07,28,MIL,NBA,C,54,8,840,108,228,.474,0,1,.000,108,227,.476,.474,42,90,.467,94,152,246,29,22,32,49,141,258
2007-08,29,MIL,NBA,C,51,4,534,64,154,.416,0,1,.000,64,153,.418,.416,33,63,.524,67,77,144,11,20,24,34,83,161
2008-09,30,MIL,NBA,C,67,26,941,117,244,.480,0,2,.000,117,242,.483,.480,37,68,.544,95,160,255,39,32,43,41,162,271
2009-10,31,MIL,NBA,C,32,6,314,39,89,.438,0,0,,39,89,.438,.438,10,25,.400,38,54,92,12,9,13,15,63,88
2010-11,32,TOT,NBA,C-PF,42,9,463,54,129,.419,0,1,.000,54,128,.422,.419,10,27,.370,71,64,135,14,13,29,29,91,118
2010-11,32,GSW,NBA,C,28,4,297,37,88,.420,0,1,.000,37,87,.425,.420,5,14,.357,53,33,86,11,10,18,21,63,79
2010-11,32,NJN,NBA,PF,14,5,166,17,41,.415,0,0,,17,41,.415,.415,5,13,.385,18,31,49,3,3,11,8,28,39
2011-12,33,NYK,NBA,C,2,0,13,0,2,.000,0,0,,0,2,.000,.000,0,2,.000,1,4,5,0,1,1,1,4,0
Career,,,NBA,,527,164,7793,1049,2100,.500,0,8,.000,1049,2092,.501,.500,367,737,.498,910,1416,2326,196,242,448,357,1250,2465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,MIL,NBA,,483,155,7317,995,1969,.505,0,7,.000,995,1962,.507,.505,357,708,.504,838,1348,2186,182,228,418,327,1155,2347
1 season,,GSW,NBA,,28,4,297,37,88,.420,0,1,.000,37,87,.425,.420,5,14,.357,53,33,86,11,10,18,21,63,79
1 season,,NJN,NBA,,14,5,166,17,41,.415,0,0,,17,41,.415,.415,5,13,.385,18,31,49,3,3,11,8,28,39
1 season,,NYK,NBA,,2,0,13,0,2,.000,0,0,,0,2,.000,.000,0,2,.000,1,4,5,0,1,1,1,4,0
