<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,NYK,NBA,SG,28,2,412,56,125,.448,32,72,.444,24,53,.453,.576,26,27,.963,13,42,55,15,14,4,15,48,170
2009-10,21,NYK,NBA,SF,81,74,2747,392,927,.423,186,488,.381,206,439,.469,.523,251,307,.818,65,333,398,135,75,58,110,191,1221
2010-11,22,TOT,NBA,PF-SF,62,60,2104,265,640,.414,103,293,.352,162,347,.467,.495,337,391,.862,59,246,305,104,51,27,83,144,970
2010-11,22,NYK,NBA,PF,48,48,1671,211,509,.415,83,239,.347,128,270,.474,.496,259,290,.893,48,181,229,82,38,18,58,117,764
2010-11,22,DEN,NBA,SF,14,12,433,54,131,.412,20,54,.370,34,77,.442,.489,78,101,.772,11,65,76,22,13,9,25,27,206
2011-12,23,DEN,NBA,SF,43,40,1351,193,466,.414,60,183,.328,133,283,.470,.479,182,209,.871,28,174,202,116,42,23,68,86,628
2012-13,24,DEN,NBA,SF,71,71,2309,364,871,.418,135,362,.373,229,509,.450,.495,286,348,.822,65,302,367,176,64,36,111,130,1149
2013-14,25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2014-15,26,DEN,NBA,SF,59,27,1426,228,568,.401,107,301,.355,121,267,.453,.496,171,191,.895,31,187,218,83,47,20,57,94,734
2015-16,27,DEN,NBA,SF,6,6,202,33,78,.423,7,19,.368,26,59,.441,.468,39,44,.886,10,19,29,9,3,6,3,11,112
Career,,,NBA,,350,280,10551,1531,3675,.417,630,1718,.367,901,1957,.460,.502,1292,1517,.852,271,1303,1574,638,296,174,447,704,4984
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,DEN,NBA,,193,156,5721,872,2114,.412,329,919,.358,543,1195,.454,.490,756,893,.847,145,747,892,406,169,94,264,348,2829
3 seasons,,NYK,NBA,,157,124,4830,659,1561,.422,301,799,.377,358,762,.470,.519,536,624,.859,126,556,682,232,127,80,183,356,2155
