<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-28,32-301,HOU,,LAL,W (+18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2014-10-29,32-302,HOU,,UTA,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,2014-11-01,32-305,HOU,,BOS,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,2014-11-03,32-307,HOU,,PHI,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,2014-11-04,32-308,HOU,,MIA,W (+17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,1,2014-11-06,32-310,HOU,,SAS,W (+17),0,8:40,0,2,.000,0,1,.000,1,2,.500,0,1,1,0,0,1,0,1,1,-0.2,-8
7,2,2014-11-08,32-312,HOU,,GSW,L (-11),0,9:45,1,2,.500,1,2,.500,0,0,,0,0,0,0,2,0,1,1,3,2.6,+1
8,,2014-11-12,32-316,HOU,,MIN,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,3,2014-11-14,32-318,HOU,,PHI,W (+1),0,13:01,0,5,.000,0,5,.000,0,0,,0,0,0,0,2,0,2,1,0,-3.9,-5
10,4,2014-11-16,32-320,HOU,@,OKC,W (+4),0,12:55,2,7,.286,2,6,.333,0,1,.000,0,1,1,0,1,1,0,1,6,3.1,+4
11,5,2014-11-17,32-321,HOU,@,MEM,L (-26),0,1:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
12,6,2014-11-19,32-323,HOU,,LAL,L (-6),0,11:13,1,4,.250,1,4,.250,0,0,,0,1,1,1,1,1,2,1,3,0.9,-3
13,7,2014-11-22,32-326,HOU,,DAL,W (+3),0,14:41,1,6,.167,0,4,.000,0,0,,0,1,1,1,0,0,0,1,2,-1.2,+8
14,8,2014-11-24,32-328,HOU,,NYK,W (+5),0,23:27,2,4,.500,1,3,.333,0,0,,1,2,3,3,1,0,0,2,5,6.6,+9
15,9,2014-11-26,32-330,HOU,,SAC,W (+13),0,16:13,2,7,.286,0,1,.000,0,1,.000,1,2,3,2,1,0,0,1,4,2.8,+5
16,10,2014-11-28,32-332,HOU,,LAC,L (-17),0,19:36,3,8,.375,2,6,.333,0,0,,0,1,1,0,0,0,0,5,8,1.9,-24
17,11,2014-11-29,32-333,HOU,@,MIL,W (+14),0,18:19,1,7,.143,0,6,.000,0,0,,0,2,2,1,0,1,1,0,2,-1.5,-4
