<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,24,SAC,NBA,SF,67,11,1301,130,325,.400,39,137,.285,91,188,.484,.460,78,101,.772,39,146,185,94,41,47,75,135,377
2006-07,25,SAC,NBA,SF,79,5,1410,163,380,.429,53,149,.356,110,231,.476,.499,95,114,.833,53,152,205,87,45,43,70,190,474
2007-08,26,SAC,NBA,SF,79,20,2096,348,752,.463,113,289,.391,235,463,.508,.538,162,208,.779,52,212,264,128,96,50,128,232,971
2008-09,27,SAC,NBA,SF,65,36,1975,295,665,.444,88,221,.398,207,444,.466,.510,146,178,.820,56,162,218,150,80,67,112,196,824
2009-10,28,SAC,NBA,SG,25,4,575,82,176,.466,23,59,.390,59,117,.504,.531,15,17,.882,11,55,66,45,10,19,21,49,202
2010-11,29,SAC,NBA,SF,58,34,1386,207,475,.436,81,224,.362,126,251,.502,.521,65,76,.855,24,109,133,71,51,49,45,126,560
2011-12,30,SAC,NBA,SF,49,3,798,86,229,.376,38,131,.290,48,98,.490,.459,24,30,.800,11,88,99,31,36,37,22,73,234
2012-13,31,TOT,NBA,SG-SF,58,20,1029,118,300,.393,67,179,.374,51,121,.421,.505,18,21,.857,8,83,91,63,46,38,32,88,321
2012-13,31,SAC,NBA,SG,40,15,710,77,205,.376,40,109,.367,37,96,.385,.473,12,14,.857,7,61,68,43,32,31,20,66,206
2012-13,31,HOU,NBA,SF,18,5,319,41,95,.432,27,70,.386,14,25,.560,.574,6,7,.857,1,22,23,20,14,7,12,22,115
2013-14,32,HOU,NBA,SF,55,4,1083,118,294,.401,69,193,.358,49,101,.485,.519,10,19,.526,21,101,122,63,27,33,30,120,315
2014-15,33,HOU,NBA,SF,14,0,200,17,63,.270,10,45,.222,7,18,.389,.349,1,4,.250,3,14,17,15,9,5,10,20,45
Career,,,NBA,,549,137,11853,1564,3659,.427,581,1627,.357,983,2032,.484,.507,614,768,.799,278,1122,1400,747,441,388,545,1229,4323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,SAC,NBA,,462,128,10251,1388,3207,.433,475,1319,.360,913,1888,.484,.507,597,738,.809,253,985,1238,649,391,343,493,1067,3848
3 seasons,,HOU,NBA,,87,9,1602,176,452,.389,106,308,.344,70,144,.486,.507,17,30,.567,25,137,162,98,50,45,52,162,475
