<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,38-163,BRK,@,BOS,L (-16),1,22:41,5,8,.625,0,0,,0,0,,0,6,6,3,0,0,4,2,10,5.5,-11
2,2,2014-11-01,38-166,BRK,@,DET,W (+12),1,35:02,7,15,.467,0,0,,4,4,1.000,1,13,14,0,2,1,3,3,18,13.4,+15
3,3,2014-11-03,38-168,BRK,,OKC,W (+31),1,19:44,3,8,.375,0,0,,0,0,,0,6,6,2,1,0,1,4,6,3.2,+12
4,4,2014-11-05,38-170,BRK,,MIN,L (-7),1,25:08,1,7,.143,0,0,,0,0,,1,10,11,2,0,0,0,3,2,1.4,-21
5,5,2014-11-07,38-172,BRK,,NYK,W (+11),1,13:15,2,3,.667,0,0,,0,0,,0,5,5,1,0,1,2,3,4,2.4,+6
6,6,2014-11-09,38-174,BRK,,ORL,W (+8),1,28:28,3,9,.333,0,0,,2,2,1.000,2,6,8,7,1,0,2,4,8,8.4,+15
7,7,2014-11-12,38-177,BRK,@,PHO,L (-8),1,27:12,5,8,.625,0,0,,2,2,1.000,2,8,10,2,0,0,2,3,12,10.4,-17
8,8,2014-11-13,38-178,BRK,@,GSW,L (-8),1,12:48,2,5,.400,0,0,,0,0,,0,4,4,1,0,0,0,4,4,1.6,0
9,9,2014-11-15,38-180,BRK,@,POR,L (-10),1,27:29,5,8,.625,0,1,.000,2,2,1.000,2,10,12,0,0,0,0,3,12,11.6,-1
10,10,2014-11-17,38-182,BRK,,MIA,L (-12),1,25:04,2,4,.500,0,0,,0,0,,2,7,9,0,0,1,1,0,4,5.2,-15
11,11,2014-11-19,38-184,BRK,,MIL,L (-4),1,31:23,1,4,.250,0,1,.000,2,2,1.000,2,7,9,3,2,0,0,3,4,8.0,+5
12,12,2014-11-21,38-186,BRK,@,OKC,W (+2),1,17:33,1,2,.500,0,0,,2,2,1.000,0,5,5,0,0,0,1,1,4,3.1,-14
13,,2014-11-22,38-187,BRK,,SAS,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,13,2014-11-26,38-191,BRK,@,PHI,W (+8),1,28:05,3,5,.600,0,0,,3,4,.750,0,9,9,3,4,1,3,2,9,12.0,+15
15,14,2014-11-30,38-195,BRK,,CHI,L (-18),1,24:16,3,7,.429,0,0,,1,1,1.000,0,7,7,3,3,0,0,1,7,10.1,-6
16,15,2014-12-02,38-197,BRK,@,NYK,W (+5),1,29:08,3,11,.273,0,0,,0,0,,6,7,13,2,1,0,3,4,6,3.6,+4
17,,2014-12-03,38-198,BRK,,SAS,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,16,2014-12-05,38-200,BRK,,ATL,L (-23),1,16:05,2,5,.400,0,0,,0,0,,1,5,6,0,0,0,0,0,4,3.5,-1
19,17,2014-12-08,38-203,BRK,,CLE,L (-22),1,18:51,6,9,.667,0,0,,2,3,.667,2,5,7,0,0,0,2,1,14,10.2,+5
20,18,2014-12-10,38-205,BRK,@,CHI,L (-25),1,25:53,6,15,.400,0,0,,1,1,1.000,3,4,7,2,2,0,0,3,13,10.4,-9
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,19,2014-12-12,38-207,BRK,,PHI,W (+18),1,22:13,2,7,.286,0,0,,3,4,.750,3,9,12,4,1,1,1,1,7,10.4,+12
22,,2014-12-13,38-208,BRK,,CHO,W (+27),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,20,2014-12-16,38-211,BRK,,MIA,L (-4),1,21:04,2,6,.333,0,0,,0,0,,1,9,10,1,1,0,1,2,4,3.9,+4
24,,2014-12-17,38-212,BRK,,TOR,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,21,2014-12-19,38-214,BRK,@,CLE,L (-4),1,30:03,5,12,.417,0,1,.000,0,0,,0,7,7,4,0,0,1,3,10,6.3,+10
26,22,2014-12-21,38-216,BRK,,DET,W (+5),1,18:02,4,7,.571,0,0,,2,4,.500,0,5,5,3,0,0,1,2,10,7.7,-1
27,23,2014-12-23,38-218,BRK,,DEN,W (+6),1,13:28,1,5,.200,0,0,,0,0,,0,3,3,1,3,0,1,2,2,1.7,-5
28,24,2014-12-26,38-221,BRK,@,BOS,W (+2),1,16:54,3,5,.600,0,0,,0,0,,1,3,4,1,0,0,1,0,6,5.0,-6
29,25,2014-12-27,38-222,BRK,,IND,L (-25),1,14:14,2,4,.500,0,0,,2,2,1.000,0,1,1,0,1,0,1,4,6,2.7,+10
30,26,2014-12-29,38-224,BRK,,SAC,W (+8),1,20:52,5,10,.500,0,0,,0,0,,1,7,8,2,4,0,0,3,10,12.0,+9
31,,2014-12-30,38-225,BRK,,CHI,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,27,2015-01-02,38-228,BRK,@,ORL,W (+2),1,17:34,3,4,.750,1,1,1.000,2,2,1.000,0,6,6,1,2,0,2,1,9,9.5,-2
33,28,2015-01-04,38-230,BRK,@,MIA,L (-4),1,18:10,2,7,.286,0,0,,0,0,,4,3,7,1,1,0,0,3,4,4.1,-8
34,,2015-01-05,38-231,BRK,,DAL,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,29,2015-01-07,38-233,BRK,,BOS,L (-8),1,22:52,4,9,.444,0,0,,2,2,1.000,1,7,8,3,1,1,1,3,10,9.7,-4
36,,2015-01-09,38-235,BRK,,PHI,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,30,2015-01-10,38-236,BRK,@,DET,L (-5),1,16:41,1,3,.333,0,1,.000,0,0,,3,4,7,4,0,0,1,1,2,5.0,-2
38,31,2015-01-12,38-238,BRK,,HOU,L (-14),1,4:07,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,2,2,1.6,-4
39,,2015-01-14,38-240,BRK,,MEM,L (-11),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
40,32,2015-01-16,38-242,BRK,@,WAS,W (+22),1,18:29,2,4,.500,0,0,,0,0,,1,4,5,2,2,0,0,2,4,6.5,+9
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,33,2015-01-17,38-243,BRK,,WAS,L (-9),1,27:13,4,8,.500,0,1,.000,0,0,,0,10,10,2,0,0,1,2,8,6.6,-6
42,34,2015-01-21,38-247,BRK,@,SAC,W (+3),1,14:12,2,3,.667,0,0,,0,0,,0,5,5,0,0,0,0,3,4,3.0,+1
43,,2015-01-22,38-248,BRK,,LAC,L (-39),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,35,2015-01-24,38-250,BRK,@,UTA,L (-35),1,23:24,4,7,.571,0,0,,0,0,,1,2,3,2,2,1,1,2,8,8.3,-20
45,36,2015-01-28,38-254,BRK,@,ATL,L (-11),1,18:53,2,5,.400,0,0,,0,0,,1,3,4,1,1,0,1,4,4,2.0,-2
46,37,2015-01-30,38-256,BRK,,TOR,L (-5),1,9:27,0,4,.000,0,0,,1,2,.500,1,1,2,1,2,0,1,2,1,-0.3,-16
47,38,2015-02-02,38-259,BRK,,LAC,W (+2),1,16:25,3,7,.429,0,0,,0,1,.000,3,8,11,1,0,0,2,4,6,3.5,-5
48,39,2015-02-04,38-261,BRK,@,TOR,W (+16),1,12:24,3,6,.500,0,0,,1,1,1.000,0,4,4,1,3,0,2,2,7,6.1,+11
49,40,2015-02-06,38-263,BRK,,NYK,W (+4),1,21:57,6,10,.600,0,0,,0,0,,1,8,9,2,0,3,1,3,12,11.8,+9
50,,2015-02-07,38-264,BRK,,WAS,L (-37),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
51,41,2015-02-09,38-266,BRK,@,MIL,L (-6),1,13:23,3,5,.600,0,0,,0,0,,0,3,3,0,1,1,1,0,6,5.3,-4
52,42,2015-02-10,38-267,BRK,@,MEM,L (-9),1,14:11,1,3,.333,0,0,,0,0,,0,3,3,0,0,2,0,1,2,2.2,-11
53,,2015-02-20,38-277,MIN,,PHO,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,2015-02-23,38-280,MIN,,HOU,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,43,2015-02-25,38-282,MIN,,WAS,W (+20),1,18:38,2,7,.286,0,0,,1,2,.500,0,8,8,2,1,2,0,1,5,6.3,+6
56,,2015-02-27,38-284,MIN,,CHI,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,44,2015-02-28,38-285,MIN,,MEM,L (-4),1,15:18,3,4,.750,0,1,.000,0,0,,1,2,3,2,3,0,0,4,6,8.5,-7
58,45,2015-03-02,38-287,MIN,,LAC,L (-5),1,21:56,6,10,.600,0,0,,0,0,,0,3,3,0,1,1,0,4,12,8.4,-3
59,46,2015-03-04,38-289,MIN,,DEN,L (-15),1,21:09,5,6,.833,0,0,,1,2,.500,0,6,6,2,0,1,0,3,11,11.1,+5
60,47,2015-03-07,38-292,MIN,,POR,W (+8),1,21:10,2,4,.500,0,0,,0,0,,1,5,6,2,0,0,1,1,4,4.2,+13
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,,2015-03-09,38-294,MIN,,LAC,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,,2015-03-11,38-296,MIN,,PHO,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
63,,2015-03-13,38-298,MIN,,OKC,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
