<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,19,MIN,NBA,SF,80,43,2293,361,735,.491,8,28,.286,353,707,.499,.497,105,149,.705,175,326,501,145,86,131,110,189,835
1996-97&nbsp;★,20,MIN,NBA,SF,77,77,2995,549,1100,.499,6,21,.286,543,1079,.503,.502,205,272,.754,190,428,618,236,105,163,175,199,1309
1997-98&nbsp;★,21,MIN,NBA,PF,82,82,3222,635,1293,.491,3,16,.188,632,1277,.495,.492,245,332,.738,222,564,786,348,139,150,192,224,1518
1998-99,22,MIN,NBA,PF,47,47,1780,414,900,.460,4,14,.286,410,886,.463,.462,145,206,.704,166,323,489,202,78,83,135,152,977
1999-00&nbsp;★,23,MIN,NBA,PF,81,81,3243,759,1526,.497,30,81,.370,729,1445,.504,.507,309,404,.765,223,733,956,401,120,126,268,205,1857
2000-01&nbsp;★,24,MIN,NBA,PF,81,81,3202,704,1475,.477,19,66,.288,685,1409,.486,.484,357,467,.764,219,702,921,401,111,145,230,204,1784
2001-02&nbsp;★,25,MIN,NBA,PF,81,81,3175,659,1401,.470,37,116,.319,622,1285,.484,.484,359,448,.801,243,738,981,422,96,126,229,184,1714
2002-03&nbsp;★,26,MIN,NBA,PF,82,82,3321,743,1481,.502,20,71,.282,723,1410,.513,.508,377,502,.751,244,858,1102,495,113,129,229,199,1883
2003-04&nbsp;★,27,MIN,NBA,PF,82,82,3231,804,1611,.499,11,43,.256,793,1568,.506,.502,368,465,.791,245,894,1139,409,120,178,212,202,1987
2004-05&nbsp;★,28,MIN,NBA,PF,82,82,3121,683,1360,.502,6,25,.240,677,1335,.507,.504,445,549,.811,247,861,1108,466,121,112,222,207,1817
2005-06&nbsp;★,29,MIN,NBA,PF,76,76,2957,626,1191,.526,8,30,.267,618,1161,.532,.529,396,489,.810,214,752,966,308,104,107,180,206,1656
2006-07&nbsp;★,30,MIN,NBA,PF,76,76,2995,638,1341,.476,12,56,.214,626,1285,.487,.480,416,498,.835,183,792,975,313,89,126,205,184,1704
2007-08&nbsp;★,31,BOS,NBA,PF,71,71,2328,534,990,.539,0,11,.000,534,979,.545,.539,269,336,.801,135,520,655,244,100,89,138,163,1337
2008-09&nbsp;★,32,BOS,NBA,PF,57,57,1772,393,740,.531,2,8,.250,391,732,.534,.532,111,132,.841,78,407,485,144,63,68,90,128,899
2009-10&nbsp;★,33,BOS,NBA,PF,69,69,2060,402,772,.521,1,5,.200,401,767,.523,.521,185,221,.837,78,428,506,185,68,57,101,170,990
2010-11&nbsp;★,34,BOS,NBA,PF,71,71,2220,434,822,.528,1,5,.200,433,817,.530,.529,187,217,.862,83,548,631,171,95,57,115,148,1056
2011-12,35,BOS,NBA,C,60,60,1864,391,777,.503,3,9,.333,388,768,.505,.505,162,189,.857,66,428,494,175,56,61,107,141,947
2012-13&nbsp;★,36,BOS,NBA,C,68,68,2022,422,850,.496,2,16,.125,420,834,.504,.498,158,201,.786,75,455,530,159,78,62,110,154,1004
2013-14,37,BRK,NBA,C,54,54,1109,157,356,.441,0,3,.000,157,353,.445,.441,38,47,.809,60,298,358,82,43,40,69,123,352
2014-15,38,TOT,NBA,PF,47,47,952,143,306,.467,1,7,.143,142,299,.475,.469,36,45,.800,48,263,311,77,46,17,46,109,323
2014-15,38,BRK,NBA,PF,42,42,854,125,275,.455,1,6,.167,124,269,.461,.456,34,41,.829,46,239,285,69,41,13,45,96,285
2014-15,38,MIN,NBA,PF,5,5,98,18,31,.581,0,1,.000,18,30,.600,.581,2,4,.500,2,24,26,8,5,4,1,13,38
2015-16,39,MIN,NBA,PF,5,5,75,4,13,.308,0,0,,4,13,.308,.308,2,6,.333,1,22,23,6,4,1,0,7,10
Career,,,NBA,,1429,1392,49937,10455,21040,.497,174,631,.276,10281,20409,.504,.501,4875,6175,.789,3195,11340,14535,5389,1835,2028,3163,3498,25959
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 seasons,,MIN,NBA,,937,900,35708,7597,15458,.491,164,568,.289,7433,14890,.499,.497,3731,4791,.779,2574,8017,10591,4160,1291,1581,2388,2375,19089
6 seasons,,BOS,NBA,,396,396,12266,2576,4951,.520,9,54,.167,2567,4897,.524,.521,1072,1296,.827,515,2786,3301,1078,460,394,661,904,6233
2 seasons,,BRK,NBA,,96,96,1963,282,631,.447,1,9,.111,281,622,.452,.448,72,88,.818,106,537,643,151,84,53,114,219,637
