<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,27-153,DEN,,DET,W (+10),0,12:00,1,2,.500,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,3,2.6,+8
2,2,2014-11-01,27-156,DEN,@,OKC,L (-11),0,17:05,1,3,.333,1,2,.500,0,0,,1,6,7,1,0,1,1,0,3,4.2,+5
3,3,2014-11-03,27-158,DEN,,SAC,L (-5),0,6:23,1,2,.500,0,0,,0,1,.000,1,0,1,0,0,0,1,3,2,-0.9,-9
4,4,2014-11-05,27-160,DEN,@,SAC,L (-22),0,16:55,3,7,.429,0,1,.000,2,2,1.000,1,1,2,0,1,0,0,1,8,5.9,+1
5,5,2014-11-07,27-162,DEN,,CLE,L (-9),0,22:03,2,5,.400,0,0,,2,3,.667,0,2,2,2,1,0,0,0,6,5.9,+10
6,,2014-11-09,27-164,DEN,,POR,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,6,2014-11-12,27-167,DEN,,POR,L (-17),0,23:41,2,7,.286,0,1,.000,1,2,.500,1,1,2,0,3,1,1,0,5,4.2,+1
8,7,2014-11-14,27-169,DEN,@,IND,W (+21),0,5:45,1,3,.333,0,0,,0,0,,0,1,1,0,1,0,0,1,2,1.2,-2
9,8,2014-11-16,27-171,DEN,@,NYK,L (-16),0,8:32,0,2,.000,0,0,,1,2,.500,1,1,2,0,0,0,0,1,1,-0.2,-13
10,,2014-11-17,27-172,DEN,,CLE,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,,2014-11-19,27-174,DEN,,OKC,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,9,2014-11-21,27-176,DEN,,NOP,W (+20),0,3:34,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,-4
