<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,29-127,CHI,@,NYK,W (+24),0,28:11,10,12,.833,0,0,,2,4,.500,3,5,8,1,1,1,0,1,22,22.4,+28
2,2,2014-10-31,29-129,CHI,,CLE,L (-6),0,27:59,5,9,.556,0,0,,0,0,,3,0,3,2,0,1,1,5,10,6.9,-18
3,,2014-11-01,29-130,CHI,,MIN,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,3,2014-11-04,29-133,CHI,,ORL,W (+8),1,32:22,6,12,.500,0,0,,4,4,1.000,2,2,4,1,1,2,1,5,16,12.1,+6
5,4,2014-11-05,29-134,CHI,@,MIL,W (+9),1,43:33,9,17,.529,0,0,,5,9,.556,3,7,10,2,1,0,1,1,23,18.3,+19
6,5,2014-11-07,29-136,CHI,@,PHI,W (+3),0,23:05,5,6,.833,0,0,,1,2,.500,1,2,3,3,0,1,1,4,11,9.9,-13
7,6,2014-11-08,29-137,CHI,,BOS,L (-5),0,28:20,4,9,.444,0,0,,0,2,.000,2,2,4,1,0,2,0,2,8,5.8,+10
8,7,2014-11-10,29-139,CHI,,DET,W (+11),0,23:56,4,7,.571,0,0,,0,0,,3,4,7,1,1,1,2,2,8,7.6,-5
9,8,2014-11-13,29-142,CHI,@,TOR,W (+7),0,24:07,5,11,.455,0,0,,0,0,,5,2,7,1,1,2,3,3,10,7.3,+5
10,9,2014-11-15,29-144,CHI,,IND,L (-9),0,24:52,1,6,.167,0,0,,0,0,,2,4,6,0,2,0,2,3,2,-0.4,-6
11,10,2014-11-17,29-146,CHI,@,LAC,W (+16),1,41:13,9,13,.692,0,0,,2,4,.500,1,4,5,6,1,2,0,5,20,20.2,+23
12,11,2014-11-20,29-149,CHI,@,SAC,L (-15),1,33:42,4,9,.444,0,0,,4,5,.800,3,5,8,1,1,1,2,5,12,8.9,-7
13,12,2014-11-21,29-150,CHI,@,POR,L (-18),1,17:06,3,8,.375,0,0,,1,2,.500,1,4,5,1,0,0,0,3,7,3.6,-19
14,,2014-11-24,29-153,CHI,,UTA,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,2014-11-25,29-154,CHI,,DEN,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2014-11-28,29-157,CHI,,BOS,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2014-11-30,29-159,CHI,,BRK,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,2014-12-02,29-161,CHI,,DAL,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2014-12-03,29-162,CHI,,CHO,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,13,2014-12-06,29-165,CHI,,GSW,L (-10),0,18:34,3,7,.429,0,0,,6,6,1.000,5,2,7,0,0,1,5,4,12,6.5,-1
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,14,2014-12-10,29-169,CHI,,BRK,W (+25),1,31:28,5,9,.556,0,0,,1,2,.500,1,9,10,3,0,6,1,3,11,13.8,+17
22,15,2014-12-12,29-171,CHI,,POR,W (+9),1,44:41,2,10,.200,0,0,,8,10,.800,4,6,10,0,0,0,1,2,12,7.8,+10
23,16,2014-12-14,29-173,CHI,@,MIA,W (+18),1,38:18,5,8,.625,0,0,,5,5,1.000,5,4,9,1,1,1,3,1,15,15.1,+12
24,17,2014-12-15,29-174,CHI,@,ATL,L (-7),1,38:19,7,11,.636,0,0,,1,1,1.000,5,12,17,1,0,2,2,5,15,15.3,-5
25,,2014-12-18,29-177,CHI,,NYK,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,,2014-12-19,29-178,CHI,,MEM,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,18,2014-12-22,29-181,CHI,,TOR,W (+9),0,18:16,5,10,.500,0,0,,0,0,,4,3,7,1,1,2,0,3,10,10.6,-5
28,19,2014-12-23,29-182,CHI,@,WAS,W (+8),0,18:52,5,5,1.000,0,0,,2,2,1.000,2,5,7,1,0,2,0,3,12,14.3,+10
29,20,2014-12-25,29-184,CHI,,LAL,W (+20),0,19:47,3,5,.600,0,0,,3,7,.429,5,2,7,2,0,0,1,3,9,8.4,+17
30,21,2014-12-27,29-186,CHI,,NOP,W (+7),0,22:29,5,9,.556,0,0,,2,2,1.000,4,6,10,0,1,1,1,3,12,11.8,+4
31,22,2014-12-29,29-188,CHI,@,IND,W (+2),0,21:38,2,6,.333,0,0,,3,4,.750,1,5,6,0,0,0,2,2,7,2.6,-10
