<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,25,SAS,NBA,SG,69,5,1431,174,397,.438,51,148,.345,123,249,.494,.503,126,171,.737,47,114,161,138,96,17,100,170,525
2003-04,26,SAS,NBA,SG,77,38,2260,330,789,.418,88,245,.359,242,544,.445,.474,239,298,.802,86,258,344,291,136,16,161,181,987
2004-05&nbsp;★,27,SAS,NBA,SG,74,74,2193,367,780,.471,97,258,.376,270,522,.517,.533,355,442,.803,75,254,329,288,119,27,172,190,1186
2005-06,28,SAS,NBA,SG,65,56,1813,309,669,.462,83,217,.382,226,452,.500,.524,280,360,.778,42,188,230,235,101,26,121,156,981
2006-07,29,SAS,NBA,SG,75,36,2060,396,854,.464,128,323,.396,268,531,.505,.539,320,372,.860,59,268,327,263,109,27,157,155,1240
2007-08,30,SAS,NBA,SG,74,23,2299,453,984,.460,156,389,.401,297,595,.499,.540,380,442,.860,63,291,354,332,109,33,200,173,1442
2008-09,31,SAS,NBA,SG,44,7,1181,223,491,.454,69,209,.330,154,282,.546,.524,168,190,.884,24,174,198,157,64,16,88,90,683
2009-10,32,SAS,NBA,SG,75,21,2150,398,903,.441,132,350,.377,266,553,.481,.514,309,355,.870,68,216,284,370,103,24,154,154,1237
2010-11&nbsp;★,33,SAS,NBA,SG,80,79,2426,441,1018,.433,154,441,.349,287,577,.497,.509,357,410,.871,42,253,295,393,123,28,174,163,1393
2011-12,34,SAS,NBA,SG,34,7,792,150,285,.526,52,126,.413,98,159,.616,.618,88,101,.871,18,98,116,151,24,12,64,56,440
2012-13,35,SAS,NBA,SG,60,0,1393,229,539,.425,83,235,.353,146,304,.480,.502,164,206,.796,30,171,201,274,80,13,132,114,705
2013-14,36,SAS,NBA,SG,68,3,1550,294,627,.469,90,258,.349,204,369,.553,.541,160,188,.851,30,172,202,293,70,17,139,128,838
2014-15,37,SAS,NBA,SG,70,0,1587,251,589,.426,89,258,.345,162,331,.489,.502,147,204,.721,28,183,211,293,67,20,154,138,738
2015-16,38,SAS,NBA,SG,6,0,121,26,49,.531,11,23,.478,15,26,.577,.643,5,6,.833,1,17,18,22,10,1,10,4,68
Career,,,NBA,,871,349,23256,4041,8974,.450,1283,3480,.369,2758,5494,.502,.522,3098,3745,.827,613,2657,3270,3500,1211,277,1826,1872,12463
