<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-28,19-042,ORL,@,NOP,L (-17),0,28:27,5,8,.625,1,2,.500,0,0,,2,1,3,0,1,1,3,3,11,6.6,-18
2,2,2014-10-30,19-044,ORL,,WAS,L (-7),0,17:30,2,4,.500,0,1,.000,0,1,.000,0,4,4,1,0,0,1,1,4,2.1,-15
3,3,2014-11-01,19-046,ORL,,TOR,L (-13),0,6:36,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,1,3,0,-1.2,-2
4,4,2014-11-04,19-049,ORL,@,CHI,L (-8),0,13:43,3,6,.500,0,2,.000,0,0,,1,0,1,0,0,1,0,2,6,3.6,-2
5,5,2014-11-05,19-050,ORL,@,PHI,W (+2),0,7:29,1,2,.500,0,0,,0,0,,1,4,5,0,0,0,2,0,2,0.9,-6
6,6,2014-11-07,19-052,ORL,,MIN,W (+9),0,21:46,6,9,.667,2,2,1.000,3,3,1.000,1,5,6,1,0,2,0,0,17,17.4,+7
7,7,2014-11-09,19-054,ORL,@,BRK,L (-8),0,16:26,1,3,.333,0,0,,0,1,.000,0,2,2,0,1,1,1,2,2,0.4,0
8,8,2014-11-11,19-056,ORL,@,TOR,L (-4),0,9:47,0,2,.000,0,0,,1,2,.500,1,2,3,1,0,0,1,1,1,-0.2,-13
9,9,2014-11-12,19-057,ORL,@,NYK,W (+2),0,14:10,1,1,1.000,1,1,1.000,4,4,1.000,0,1,1,0,0,0,1,2,7,5.2,-5
10,10,2014-11-14,19-059,ORL,,MIL,W (+16),0,14:49,3,3,1.000,0,0,,2,2,1.000,0,3,3,3,1,1,0,0,8,11.8,+20
11,11,2014-11-15,19-060,ORL,@,WAS,L (-5),0,14:17,3,4,.750,0,0,,0,2,.000,1,2,3,0,0,0,1,1,6,3.5,-7
12,,2014-11-17,19-062,ORL,,DET,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,,2014-11-19,19-064,ORL,,LAC,L (-24),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,,2014-11-21,19-066,ORL,,CHO,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,,2014-11-22,19-067,ORL,,MIA,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,,2014-11-24,19-069,ORL,,CLE,L (-32),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,2014-11-26,19-071,ORL,,GSW,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,2014-11-28,19-073,ORL,,IND,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2014-11-30,19-075,ORL,,PHO,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
