<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-28,31-207,ORL,@,NOP,L (-17),0,23:01,1,8,.125,0,2,.000,3,4,.750,0,4,4,1,0,0,0,3,5,0.1,-15
2,2,2014-10-30,31-209,ORL,,WAS,L (-7),0,26:08,7,12,.583,2,5,.400,6,7,.857,0,0,0,4,0,0,1,2,22,17.0,+9
3,3,2014-11-01,31-211,ORL,,TOR,L (-13),0,24:40,3,8,.375,1,3,.333,0,0,,0,2,2,1,0,0,1,1,7,2.5,-4
4,4,2014-11-04,31-214,ORL,@,CHI,L (-8),0,17:21,3,6,.500,0,0,,0,0,,1,1,2,3,0,0,0,2,6,5.3,-2
5,5,2014-11-05,31-215,ORL,@,PHI,W (+2),0,20:27,5,11,.455,0,1,.000,5,6,.833,0,1,1,0,0,0,2,3,15,6.0,+6
6,6,2014-11-07,31-217,ORL,,MIN,W (+9),0,17:42,0,3,.000,0,0,,0,0,,1,0,1,2,0,0,2,1,0,-2.4,-7
7,7,2014-11-09,31-219,ORL,@,BRK,L (-8),0,7:48,0,1,.000,0,1,.000,0,0,,0,1,1,3,0,0,2,1,0,-0.7,0
8,8,2014-11-11,31-221,ORL,@,TOR,L (-4),0,8:58,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,1,1,3,1.6,-8
9,,2014-11-12,31-222,ORL,,NYK,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,2014-11-14,31-224,ORL,,MIL,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,9,2014-11-15,31-225,ORL,@,WAS,L (-5),0,4:31,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-3.1,+1
