<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,21,CHI,NBA,SG,82,3,2002,434,1056,.411,134,331,.405,300,725,.414,.474,233,270,.863,55,160,215,164,53,10,186,224,1235
2005-06,22,CHI,NBA,SG,80,47,2482,486,1152,.422,166,382,.435,320,770,.416,.494,211,268,.787,43,176,219,240,75,5,180,238,1349
2006-07,23,CHI,NBA,SG,82,51,2704,609,1338,.455,155,375,.413,454,963,.471,.513,380,440,.864,35,223,258,296,64,17,249,252,1753
2007-08,24,CHI,NBA,SG,72,27,2291,464,1069,.434,142,346,.410,322,723,.445,.500,266,293,.908,40,181,221,213,55,8,150,171,1336
2008-09,25,CHI,NBA,SG,82,76,2999,598,1315,.455,173,422,.410,425,893,.476,.521,330,382,.864,52,231,283,279,71,22,200,184,1699
2009-10,26,DET,NBA,SG,62,17,1730,291,699,.416,75,234,.321,216,465,.465,.470,198,230,.861,26,93,119,166,49,6,118,147,855
2010-11,27,DET,NBA,SG,82,27,2131,339,770,.440,107,266,.402,232,504,.460,.510,136,160,.850,41,154,195,171,48,16,141,178,921
2011-12,28,DET,NBA,SG,52,21,1398,234,530,.442,63,147,.429,171,383,.446,.501,117,136,.860,14,107,121,127,34,11,115,114,648
2012-13,29,CHA,NBA,SG,75,0,1560,310,760,.408,113,292,.387,197,468,.421,.482,107,127,.843,18,112,130,141,35,16,136,134,840
2013-14,30,CHA,NBA,SG,19,0,279,37,108,.343,8,29,.276,29,79,.367,.380,17,21,.810,3,24,27,21,10,2,21,18,99
2014-15,31,ORL,NBA,SG,56,0,790,129,295,.437,35,97,.361,94,198,.475,.497,56,67,.836,6,57,63,50,14,1,55,60,349
Career,,,NBA,,744,269,20366,3931,9092,.432,1171,2921,.401,2760,6171,.447,.497,2051,2394,.857,333,1518,1851,1868,508,114,1551,1720,11084
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,CHI,NBA,,398,204,12478,2591,5930,.437,770,1856,.415,1821,4074,.447,.502,1420,1653,.859,225,971,1196,1192,318,62,965,1069,7372
3 seasons,,DET,NBA,,196,65,5259,864,1999,.432,245,647,.379,619,1352,.458,.493,451,526,.857,81,354,435,464,131,33,374,439,2424
2 seasons,,CHA,NBA,,94,0,1839,347,868,.400,121,321,.377,226,547,.413,.469,124,148,.838,21,136,157,162,45,18,157,152,939
1 season,,ORL,NBA,,56,0,790,129,295,.437,35,97,.361,94,198,.475,.497,56,67,.836,6,57,63,50,14,1,55,60,349
