<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,23,ORL,NBA,C,6,0,41,8,17,.471,0,0,,8,17,.471,.471,2,3,.667,8,8,16,2,1,1,2,4,18
2008-09,24,ORL,NBA,PF,63,3,794,106,187,.567,1,1,1.000,105,186,.565,.570,26,45,.578,96,190,286,14,18,53,25,111,239
2009-10,25,ORL,NBA,C,81,0,1088,121,227,.533,0,3,.000,121,224,.540,.533,51,75,.680,104,237,341,17,17,70,46,138,293
2010-11,26,TOT,NBA,C,80,14,2032,338,603,.561,1,4,.250,337,599,.563,.561,140,193,.725,148,483,631,70,36,91,81,188,817
2010-11,26,ORL,NBA,C,25,2,396,44,81,.543,0,0,,44,81,.543,.543,12,18,.667,38,80,118,17,7,21,17,52,100
2010-11,26,PHO,NBA,C,55,12,1636,294,522,.563,1,4,.250,293,518,.566,.564,128,175,.731,110,403,513,53,29,70,64,136,717
2011-12,27,PHO,NBA,C,66,66,2114,427,769,.555,0,2,.000,427,767,.557,.555,163,251,.649,185,474,659,59,48,99,90,142,1017
2012-13,28,PHO,NBA,C,61,61,1876,295,566,.521,0,3,.000,295,563,.524,.521,90,138,.652,128,388,516,75,40,98,99,127,680
2013-14,29,WAS,NBA,C,81,80,2655,455,840,.542,1,1,1.000,454,839,.541,.542,157,229,.686,202,565,767,138,41,121,126,201,1068
2014-15,30,WAS,NBA,C,82,82,2453,439,775,.566,0,3,.000,439,772,.569,.566,123,175,.703,180,537,717,97,49,110,100,191,1001
2015-16,31,WAS,NBA,C,6,6,168,21,44,.477,0,0,,21,44,.477,.477,16,19,.842,8,40,48,11,4,7,16,14,58
Career,,,NBA,,526,312,13221,2210,4028,.549,3,17,.176,2207,4011,.550,.549,768,1128,.681,1059,2922,3981,483,254,650,585,1116,5191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,PHO,NBA,,182,139,5626,1016,1857,.547,1,9,.111,1015,1848,.549,.547,381,564,.676,423,1265,1688,187,117,267,253,405,2414
4 seasons,,ORL,NBA,,175,5,2319,279,512,.545,1,4,.250,278,508,.547,.546,91,141,.645,246,515,761,50,43,145,90,305,650
3 seasons,,WAS,NBA,,169,168,5276,915,1659,.552,1,4,.250,914,1655,.552,.552,296,423,.700,390,1142,1532,246,94,238,242,406,2127
