<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,28-062,BOS,,BRK,W (+16),1,35:38,4,10,.400,2,3,.667,7,9,.778,2,4,6,3,2,0,0,5,17,15.5,+15
2,2,2014-11-01,28-065,BOS,@,HOU,L (-14),1,31:12,7,19,.368,1,7,.143,2,2,1.000,0,4,4,2,0,0,1,2,17,7.3,-22
3,3,2014-11-03,28-067,BOS,@,DAL,L (-5),1,38:36,14,28,.500,5,12,.417,2,3,.667,4,3,7,2,1,2,1,2,35,26.3,+8
4,4,2014-11-05,28-069,BOS,,TOR,L (-3),1,36:01,9,16,.563,2,7,.286,0,0,,1,3,4,3,1,3,4,3,20,14.0,-1
5,5,2014-11-07,28-071,BOS,,IND,W (+3),1,29:45,5,12,.417,3,7,.429,2,2,1.000,2,5,7,1,0,0,3,1,15,8.8,-9
6,6,2014-11-08,28-072,BOS,@,CHI,W (+5),1,34:40,5,12,.417,2,4,.500,2,2,1.000,0,4,4,4,2,0,1,0,14,12.6,+5
7,7,2014-11-12,28-076,BOS,,OKC,L (-15),1,39:10,4,14,.286,1,5,.200,5,5,1.000,0,5,5,1,0,0,2,1,14,5.6,-6
8,8,2014-11-14,28-078,BOS,,CLE,L (-1),1,35:58,5,12,.417,1,6,.167,8,10,.800,1,2,3,1,1,0,2,1,19,12.4,-3
9,9,2014-11-17,28-081,BOS,,PHO,L (-4),1,35:39,10,17,.588,0,4,.000,8,9,.889,0,2,2,1,3,2,2,2,28,22.6,-10
10,10,2014-11-19,28-083,BOS,@,PHI,W (+11),1,38:06,5,13,.385,0,4,.000,1,1,1.000,1,9,10,2,1,1,1,2,11,8.6,+11
11,11,2014-11-21,28-085,BOS,@,MEM,L (-17),1,33:35,3,11,.273,0,3,.000,6,8,.750,0,6,6,4,1,1,1,2,12,9.2,-18
12,12,2014-11-23,28-087,BOS,,POR,L (-6),1,34:07,7,16,.438,1,4,.250,4,5,.800,2,1,3,0,2,0,1,2,19,12.1,-4
13,13,2014-11-28,28-092,BOS,,CHI,L (-7),1,25:50,5,9,.556,0,2,.000,0,0,,1,3,4,2,0,0,1,6,10,5.3,-17
14,14,2014-11-30,28-094,BOS,,SAS,L (-22),1,29:39,6,16,.375,1,4,.250,3,4,.750,1,1,2,0,0,1,1,1,16,7.1,-28
15,15,2014-12-02,28-096,BOS,@,ATL,L (-4),1,35:41,10,16,.625,1,3,.333,4,4,1.000,1,3,4,0,1,0,2,1,25,18.0,0
16,16,2014-12-03,28-097,BOS,,DET,W (+7),1,36:01,8,22,.364,6,10,.600,10,10,1.000,0,5,5,1,0,1,2,0,32,20.7,0
17,17,2014-12-05,28-099,BOS,,LAL,W (+17),1,29:14,8,10,.800,1,2,.500,2,5,.400,0,4,4,1,1,0,7,3,19,8.7,+17
18,18,2014-12-07,28-101,BOS,,WAS,W (+8),1,33:53,9,21,.429,2,5,.400,5,6,.833,0,3,3,2,4,0,2,2,25,17.0,+8
19,19,2014-12-08,28-102,BOS,@,WAS,L (-1),1,39:09,8,18,.444,1,4,.250,11,11,1.000,1,1,2,2,0,0,4,5,28,15.0,-8
20,20,2014-12-10,28-104,BOS,@,CHO,L (-9),1,32:31,6,12,.500,0,3,.000,4,5,.800,0,4,4,0,0,0,1,3,16,8.6,-13
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-12,28-106,BOS,,NYK,L (-6),1,38:13,9,20,.450,4,8,.500,6,7,.857,0,6,6,2,0,0,2,2,28,17.6,-3
