<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,21,SEA,NBA,SF,80,52,2253,320,749,.427,21,76,.276,299,673,.444,.441,177,238,.744,101,278,379,119,46,49,158,198,838
2008-09,22,OKC,NBA,PF,78,78,2873,476,1068,.446,96,247,.389,380,821,.463,.491,242,307,.788,120,399,519,155,81,33,173,202,1290
2009-10,23,OKC,NBA,PF,82,82,3043,485,1070,.453,104,312,.333,381,758,.503,.502,165,223,.740,112,378,490,134,104,72,135,221,1239
2010-11,24,TOT,NBA,PF-SF,75,51,2427,368,820,.449,64,211,.303,304,609,.499,.488,198,244,.811,73,287,360,108,53,37,99,210,998
2010-11,24,OKC,NBA,PF,49,49,1815,270,618,.437,56,184,.304,214,434,.493,.482,148,181,.818,57,217,274,89,40,21,76,142,744
2010-11,24,BOS,NBA,SF,26,2,612,98,202,.485,8,27,.296,90,175,.514,.505,50,63,.794,16,70,86,19,13,16,23,68,254
2011-12,25,Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition),Did Not Play&nbsp;(illness—heart condition)
2012-13,26,BOS,NBA,PF,81,17,2252,376,806,.467,70,182,.385,306,624,.490,.510,214,265,.808,55,263,318,128,56,68,132,175,1036
2013-14,27,BOS,NBA,SF,82,82,2805,482,1171,.412,135,396,.341,347,775,.448,.469,283,356,.795,54,326,380,138,57,47,165,180,1382
2014-15,28,TOT,NBA,SF,78,70,2454,416,967,.430,97,292,.332,319,675,.473,.480,239,287,.833,64,264,328,134,53,34,108,147,1168
2014-15,28,BOS,NBA,SF,33,33,1093,206,475,.434,47,154,.305,159,321,.495,.483,121,144,.840,21,120,141,53,27,13,56,66,580
2014-15,28,MEM,NBA,SF,45,37,1361,210,492,.427,50,138,.362,160,354,.452,.478,118,143,.825,43,144,187,81,26,21,52,81,588
2015-16,29,MEM,NBA,SF,7,1,166,20,54,.370,5,18,.278,15,36,.417,.417,9,12,.750,3,18,21,13,3,1,9,18,54
Career,,,NBA,,563,433,18273,2943,6705,.439,592,1734,.341,2351,4971,.473,.483,1527,1932,.790,582,2213,2795,929,453,341,979,1351,8005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SEAOKC,NBA,,289,261,9984,1551,3505,.443,277,819,.338,1274,2686,.474,.482,732,949,.771,390,1272,1662,497,271,175,542,763,4111
4 seasons,,BOS,NBA,,222,134,6762,1162,2654,.438,260,759,.343,902,1895,.476,.487,668,828,.807,146,779,925,338,153,144,376,489,3252
2 seasons,,MEM,NBA,,52,38,1527,230,546,.421,55,156,.353,175,390,.449,.472,127,155,.819,46,162,208,94,29,22,61,99,642
