<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-28,33-092,ORL,@,NOP,L (-17),0,4:07,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0.3,-3
2,2,2014-10-30,33-094,ORL,,WAS,L (-7),0,3:38,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,2,1.6,+2
3,,2014-11-01,33-096,ORL,,TOR,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,2014-11-04,33-099,ORL,,CHI,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,2014-11-05,33-100,ORL,,PHI,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,3,2014-11-07,33-102,ORL,,MIN,W (+9),0,5:38,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,2,4,1.9,+3
7,4,2014-11-09,33-104,ORL,@,BRK,L (-8),0,19:11,4,8,.500,0,2,.000,0,0,,0,0,0,1,0,0,0,2,8,3.9,0
8,,2014-11-11,33-106,ORL,,TOR,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,5,2014-11-12,33-107,ORL,@,NYK,W (+2),0,10:58,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,5,4.3,0
10,6,2014-11-14,33-109,ORL,,MIL,W (+16),0,19:20,2,7,.286,1,2,.500,0,0,,0,0,0,1,0,0,1,1,5,0.2,+14
11,7,2014-11-15,33-110,ORL,@,WAS,L (-5),0,14:14,2,4,.500,0,1,.000,0,0,,0,0,0,1,0,0,1,1,4,1.3,-7
12,8,2014-11-17,33-112,ORL,@,DET,W (+14),0,15:48,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,0,1,3,1.6,+5
13,9,2014-11-19,33-114,ORL,,LAC,L (-24),1,30:45,2,10,.200,1,5,.200,1,2,.500,1,2,3,4,1,0,0,4,6,2.9,-17
14,10,2014-11-21,33-116,ORL,@,CHO,W (+5),0,17:48,4,6,.667,1,1,1.000,0,0,,2,3,5,0,0,0,0,1,9,8.3,+24
