<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-30,23-053,CLE,,NYK,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1,2014-10-31,23-054,CLE,@,CHI,W (+6),0,0:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
3,2,2014-11-04,23-058,CLE,@,POR,L (-19),0,4:40,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,1.3,-4
4,,2014-11-05,23-059,CLE,,UTA,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,3,2014-11-07,23-061,CLE,@,DEN,W (+9),0,2:28,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,0,0,0,1.3,+1
6,4,2014-11-10,23-064,CLE,,NOP,W (+7),0,20:11,2,6,.333,1,4,.250,0,0,,0,1,1,1,0,0,0,3,5,1.4,+18
7,5,2014-11-14,23-068,CLE,@,BOS,W (+1),0,19:12,1,2,.500,1,2,.500,3,3,1.000,0,2,2,0,0,0,2,3,6,2.4,+24
8,6,2014-11-15,23-069,CLE,,ATL,W (+33),0,21:14,4,6,.667,4,5,.800,0,0,,0,4,4,4,1,0,3,6,12,9.0,+23
9,7,2014-11-17,23-071,CLE,,DEN,L (-9),0,23:59,1,5,.200,1,5,.200,0,0,,1,1,2,1,0,0,0,1,3,1.2,+1
10,8,2014-11-19,23-073,CLE,,SAS,L (-2),0,26:51,2,5,.400,1,3,.333,0,1,.000,0,0,0,1,0,0,2,4,5,-1.0,-1
11,9,2014-11-21,23-075,CLE,@,WAS,L (-13),0,9:07,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,3,0,-3.6,-7
12,10,2014-11-22,23-076,CLE,,TOR,L (-17),0,16:14,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,0,1,2,0,-2.6,-14
13,11,2014-11-24,23-078,CLE,,ORL,W (+32),0,10:17,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,1,3,0,-2.9,+8
14,12,2014-11-26,23-080,CLE,,WAS,W (+26),0,8:15,1,2,.500,0,1,.000,0,0,,1,1,2,0,0,0,0,0,2,2.0,0
15,13,2014-11-29,23-083,CLE,,IND,W (+12),0,13:25,2,2,1.000,1,1,1.000,0,0,,1,2,3,1,0,0,1,2,5,4.6,-6
16,14,2014-12-02,23-086,CLE,,MIL,W (+3),0,6:55,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,-15
17,15,2014-12-04,23-088,CLE,@,NYK,W (+3),0,3:43,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-3
18,16,2014-12-05,23-089,CLE,@,TOR,W (+14),0,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
19,17,2014-12-08,23-092,CLE,@,BRK,W (+22),0,6:05,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,2.0,-4
20,,2014-12-09,23-093,CLE,,TOR,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,18,2014-12-11,23-095,CLE,@,OKC,L (-9),0,7:17,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,+8
22,19,2014-12-12,23-096,CLE,@,NOP,L (-5),0,11:14,2,4,.500,2,3,.667,0,0,,0,0,0,1,0,0,0,0,6,4.7,+6
23,20,2014-12-15,23-099,CLE,,CHO,W (+9),0,7:37,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,2.0,-12
