<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,24,HOU,NBA,PF,17,0,159,27,54,.500,0,2,.000,27,52,.519,.500,8,13,.615,24,30,54,3,6,3,9,16,62
2008-09,25,Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China),Did Not Play&nbsp;(other pro league—China)
2009-10,26,TOT,NBA,PF,13,0,96,11,30,.367,0,1,.000,11,29,.379,.367,7,11,.636,10,14,24,3,5,1,9,14,29
2009-10,26,HOU,NBA,PF,8,0,82,10,27,.370,0,1,.000,10,26,.385,.370,5,9,.556,9,11,20,3,4,1,9,10,25
2009-10,26,WAS,NBA,PF,5,0,14,1,3,.333,0,0,,1,3,.333,.333,2,2,1.000,1,3,4,0,1,0,0,4,4
2010-11,27,HOU,NBA,PF,4,0,16,3,6,.500,0,0,,3,6,.500,.500,2,4,.500,2,3,5,1,0,1,1,2,8
2011-12,28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2012-13,29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2013-14,30,UTA,NBA,PF,20,0,225,29,61,.475,0,2,.000,29,59,.492,.475,26,27,.963,15,18,33,5,16,7,11,36,84
Career,,,NBA,,54,0,496,70,151,.464,0,5,.000,70,146,.479,.464,43,55,.782,51,65,116,12,27,12,30,68,183
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,HOU,NBA,,29,0,257,40,87,.460,0,3,.000,40,84,.476,.460,15,26,.577,35,44,79,7,10,5,19,28,95
1 season,,UTA,NBA,,20,0,225,29,61,.475,0,2,.000,29,59,.492,.475,26,27,.963,15,18,33,5,16,7,11,36,84
1 season,,WAS,NBA,,5,0,14,1,3,.333,0,0,,1,3,.333,.333,2,2,1.000,1,3,4,0,1,0,0,4,4
