<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-29,34-142,MIA,,WAS,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2014-11-01,34-145,MIA,,PHI,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2014-11-02,34-146,MIA,,TOR,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2014-11-04,34-148,MIA,,HOU,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2014-11-05,34-149,MIA,,CHO,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,1,2014-11-08,34-152,MIA,,MIN,W (+10),0,13:50,4,6,.667,0,0,,0,0,,0,6,6,0,0,0,0,3,8,6.0,-4
7,2,2014-11-09,34-153,MIA,@,DAL,W (+9),0,18:32,2,3,.667,0,0,,2,2,1.000,1,4,5,1,0,1,0,3,6,6.8,+13
8,3,2014-11-12,34-156,MIA,,IND,L (-6),0,0:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
9,4,2014-11-14,34-158,MIA,@,ATL,L (-11),0,18:33,2,5,.400,0,0,,2,2,1.000,1,5,6,1,1,0,0,2,6,6.4,-5
10,5,2014-11-16,34-160,MIA,,MIL,L (-7),0,7:28,1,2,.500,0,0,,0,0,,0,3,3,0,0,0,2,2,2,-0.9,+4
11,6,2014-11-17,34-161,MIA,@,BRK,W (+12),0,14:56,2,7,.286,0,0,,2,2,1.000,4,2,6,0,0,0,1,2,6,3.5,0
12,,2014-11-20,34-164,MIA,,LAC,L (-17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,,2014-11-22,34-166,MIA,,ORL,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,7,2014-11-23,34-167,MIA,,CHO,W (+1),0,16:16,2,3,.667,0,0,,0,0,,0,3,3,1,0,0,0,0,4,4.3,-2
15,8,2014-11-25,34-169,MIA,,GSW,L (-17),0,13:03,2,6,.333,0,0,,0,0,,2,4,6,0,0,0,0,2,4,2.4,0
16,9,2014-11-30,34-174,MIA,@,NYK,W (+7),0,16:41,2,4,.500,0,0,,0,2,.000,0,6,6,0,2,0,1,2,4,3.2,+2
17,10,2014-12-01,34-175,MIA,@,WAS,L (-21),0,12:13,0,2,.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,2,2,-1.2,-7
18,11,2014-12-03,34-177,MIA,,ATL,L (-10),0,12:00,1,1,1.000,0,0,,0,0,,0,2,2,0,0,1,1,4,2,0.4,+6
19,,2014-12-05,34-179,MIA,,MIL,L (-24),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,12,2014-12-07,34-181,MIA,@,MEM,L (-16),0,18:07,0,3,.000,0,0,,0,0,,3,5,8,1,0,0,0,0,0,2.2,-10
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,13,2014-12-09,34-183,MIA,@,PHO,W (+6),0,19:14,1,7,.143,0,0,,0,0,,4,1,5,0,0,0,0,2,2,-0.2,-4
22,14,2014-12-10,34-184,MIA,@,DEN,L (-20),0,9:45,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,1,1,0,-1.1,-9
23,15,2014-12-12,34-186,MIA,@,UTA,W (+5),0,17:08,1,4,.250,0,0,,3,5,.600,2,1,3,0,1,0,0,1,5,4.1,+2
24,16,2014-12-14,34-188,MIA,,CHI,L (-18),1,3:53,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,2,0,-1.5,-8
25,17,2014-12-16,34-190,MIA,@,BRK,W (+4),1,24:39,3,6,.500,0,0,,1,2,.500,1,3,4,2,0,0,2,4,7,3.0,-11
26,18,2014-12-17,34-191,MIA,,UTA,L (-18),0,21:53,1,4,.250,0,0,,1,3,.333,1,1,2,0,1,0,0,3,3,0.6,-14
27,19,2014-12-19,34-193,MIA,,WAS,L (-2),0,16:39,5,5,1.000,0,0,,1,1,1.000,1,3,4,2,0,0,0,1,11,12.1,-14
28,20,2014-12-21,34-195,MIA,,BOS,W (+16),0,25:05,3,4,.750,0,0,,4,4,1.000,1,5,6,2,0,0,1,1,10,10.6,+3
29,21,2014-12-23,34-197,MIA,,PHI,L (-4),0,24:43,2,4,.500,0,0,,0,2,.000,4,4,8,2,2,1,2,4,4,5.7,-14
30,22,2014-12-25,34-199,MIA,,CLE,W (+10),0,12:51,3,4,.750,0,0,,0,0,,1,3,4,0,1,0,1,3,6,4.8,-12
31,23,2014-12-27,34-201,MIA,,MEM,L (-8),0,6:57,0,1,.000,0,0,,0,0,,0,3,3,2,0,0,2,0,0,-0.4,-1
32,,2014-12-29,34-203,MIA,,ORL,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
