<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-30,26-185,LAC,,OKC,W (+3),0,18:39,2,6,.333,0,3,.000,0,0,,1,3,4,1,0,1,1,2,4,1.8,+5
2,2,2014-10-31,26-186,LAC,@,LAL,W (+7),0,14:20,3,5,.600,2,3,.667,1,2,.500,0,4,4,0,1,0,2,1,9,6.1,+2
3,3,2014-11-02,26-188,LAC,,SAC,L (-6),0,22:34,5,10,.500,1,3,.333,6,6,1.000,1,3,4,1,1,1,2,4,17,12.4,+3
4,4,2014-11-03,26-189,LAC,,UTA,W (+6),0,15:03,0,1,.000,0,0,,0,0,,0,2,2,1,0,1,0,1,0,0.9,+2
5,5,2014-11-05,26-191,LAC,@,GSW,L (-17),0,23:08,1,7,.143,0,2,.000,3,4,.750,3,4,7,3,0,0,0,0,5,5.5,-3
6,6,2014-11-08,26-194,LAC,,POR,W (+4),0,11:50,0,2,.000,0,0,,1,2,.500,0,3,3,0,0,1,1,2,1,-1.0,+11
7,7,2014-11-10,26-196,LAC,,SAS,L (-4),0,13:53,4,6,.667,0,2,.000,1,2,.500,0,2,2,1,0,1,1,2,9,6.2,+3
8,8,2014-11-15,26-201,LAC,,PHO,W (+13),0,18:16,5,9,.556,2,4,.500,2,3,.667,0,8,8,0,0,3,4,1,14,9.4,-5
9,9,2014-11-17,26-203,LAC,,CHI,L (-16),0,17:13,3,7,.429,2,5,.400,0,0,,0,4,4,0,0,0,0,2,8,4.7,-8
10,10,2014-11-19,26-205,LAC,@,ORL,W (+24),0,20:59,3,6,.500,2,3,.667,2,2,1.000,0,6,6,1,0,4,0,1,10,11.9,+19
11,11,2014-11-20,26-206,LAC,@,MIA,W (+17),0,20:08,2,5,.400,1,3,.333,1,2,.500,0,5,5,2,0,0,0,3,6,4.6,-15
12,12,2014-11-23,26-209,LAC,@,MEM,L (-16),0,24:23,2,7,.286,0,3,.000,1,2,.500,2,8,10,1,0,0,0,2,5,4.2,-8
13,13,2014-11-24,26-210,LAC,@,CHO,W (+21),0,8:32,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,4,0,-2.3,-6
14,14,2014-11-26,26-212,LAC,@,DET,W (+6),0,17:54,1,5,.200,0,0,,2,2,1.000,0,8,8,2,1,0,1,0,4,4.7,+8
15,15,2014-11-28,26-214,LAC,@,HOU,W (+17),0,18:07,3,7,.429,1,2,.500,0,0,,1,7,8,2,1,0,0,3,7,7.3,-5
16,16,2014-11-29,26-215,LAC,@,UTA,W (+16),0,17:02,1,3,.333,0,2,.000,0,2,.000,0,3,3,2,0,1,0,5,2,0.5,-13
17,17,2014-12-01,26-217,LAC,,MIN,W (+26),0,20:05,5,9,.556,4,7,.571,0,0,,0,4,4,2,0,1,0,5,14,11.0,+4
18,18,2014-12-03,26-219,LAC,,ORL,W (+28),0,16:34,5,7,.714,2,4,.500,0,0,,0,4,4,2,1,0,3,2,12,8.9,+3
19,19,2014-12-06,26-222,LAC,,NOP,W (+20),0,18:30,1,4,.250,0,2,.000,0,0,,0,2,2,1,0,0,1,2,2,-0.9,+7
20,20,2014-12-08,26-224,LAC,,PHO,W (+1),0,16:06,2,4,.500,0,1,.000,0,0,,1,3,4,3,1,0,0,2,4,5.9,-15
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-10,26-226,LAC,@,IND,W (+7),0,14:56,2,7,.286,1,3,.333,0,0,,0,2,2,1,1,1,0,2,5,3.1,-16
22,22,2014-12-12,26-228,LAC,@,WAS,L (-8),0,5:58,0,0,,0,0,,1,2,.500,0,0,0,0,0,1,0,1,1,0.9,-4
