<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,19,MEM,NBA,SG,38,16,527,65,160,.406,2,17,.118,63,143,.441,.413,33,52,.635,9,28,37,18,11,3,13,48,165
2011-12,20,NOH,NBA,SG,45,0,759,90,228,.395,7,17,.412,83,211,.393,.410,52,85,.612,24,82,106,35,26,8,35,59,239
2012-13,21,NOH,NBA,SF,50,2,625,66,161,.410,4,11,.364,62,150,.413,.422,58,92,.630,21,69,90,13,16,5,31,72,194
2013-14,22,LAL,NBA,SF,43,5,908,144,345,.417,28,81,.346,116,264,.439,.458,116,177,.655,25,89,114,51,44,7,57,79,432
2014-15,23,LAL,NBA,SF,9,0,86,3,13,.231,0,0,,3,13,.231,.231,14,24,.583,2,2,4,3,3,0,3,6,20
Career,,,NBA,,185,23,2905,368,907,.406,41,126,.325,327,781,.419,.428,273,430,.635,81,270,351,120,100,23,139,264,1050
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NOH,NBA,,95,2,1384,156,389,.401,11,28,.393,145,361,.402,.415,110,177,.621,45,151,196,48,42,13,66,131,433
2 seasons,,LAL,NBA,,52,5,994,147,358,.411,28,81,.346,119,277,.430,.450,130,201,.647,27,91,118,54,47,7,60,85,452
1 season,,MEM,NBA,,38,16,527,65,160,.406,2,17,.118,63,143,.441,.413,33,52,.635,9,28,37,18,11,3,13,48,165
