<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,23-305,MIL,@,CHO,L (-2),0,12:24,2,3,.667,0,0,,1,2,.500,0,0,0,0,0,2,0,0,5,4.7,+9
2,2,2014-10-31,23-307,MIL,,PHI,W (+12),0,21:16,3,7,.429,0,0,,0,2,.000,4,3,7,1,2,6,0,1,6,11.7,-1
3,3,2014-11-01,23-308,MIL,@,WAS,L (-11),0,16:10,1,1,1.000,0,0,,0,0,,1,1,2,0,1,0,1,3,2,1.5,+7
4,4,2014-11-04,23-311,MIL,@,IND,W (+6),0,8:48,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+3
5,5,2014-11-05,23-312,MIL,,CHI,L (-9),0,11:37,3,4,.750,0,0,,0,0,,4,1,5,1,0,0,0,2,6,7.4,-4
6,6,2014-11-07,23-314,MIL,@,DET,L (-3),0,6:25,1,3,.333,0,0,,2,2,1.000,1,0,1,0,0,1,0,1,4,3.3,+4
7,7,2014-11-08,23-315,MIL,,MEM,W (+1),0,14:55,4,7,.571,0,0,,0,0,,3,2,5,1,0,0,0,1,8,7.7,+7
8,8,2014-11-11,23-318,MIL,,OKC,W (+7),0,5:08,0,0,,0,0,,0,0,,0,1,1,0,0,2,0,1,0,1.3,-1
9,9,2014-11-14,23-321,MIL,@,ORL,L (-16),0,16:45,4,5,.800,0,0,,2,2,1.000,1,5,6,2,0,1,1,1,10,11.0,-8
10,10,2014-11-16,23-323,MIL,@,MIA,W (+7),0,2:31,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-2.7,-6
11,11,2014-11-18,23-325,MIL,,NYK,W (+4),0,13:22,2,3,.667,0,0,,0,0,,2,2,4,1,0,0,2,4,4,1.8,-9
12,12,2014-11-19,23-326,MIL,@,BRK,W (+4),0,19:16,4,6,.667,0,0,,0,0,,1,1,2,1,0,3,1,2,8,7.4,+2
13,13,2014-11-21,23-328,MIL,@,TOR,L (-42),0,18:22,2,5,.400,0,0,,2,2,1.000,1,2,3,0,0,0,1,1,6,3.2,-12
14,,2014-11-22,23-329,MIL,,WAS,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,14,2014-11-25,23-332,MIL,,DET,W (+12),0,3:55,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-1.0,+6
16,,2014-11-26,23-333,MIL,,MIN,W (+17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,2014-11-28,23-335,MIL,,DET,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,,2014-11-29,23-336,MIL,,HOU,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,,2014-12-02,23-339,MIL,,CLE,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,,2014-12-03,23-340,MIL,,DAL,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,,2014-12-05,23-342,MIL,,MIA,W (+24),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,,2014-12-07,23-344,MIL,,DAL,L (-23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,,2014-12-09,23-346,MIL,,OKC,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,,2014-12-13,23-350,MIL,,LAC,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,2014-12-15,23-352,MIL,,PHO,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,,2014-12-17,23-354,MIL,,POR,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,2014-12-18,23-355,MIL,,SAC,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2014-12-20,23-357,MIL,,LAC,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2014-12-23,23-360,MIL,,CHO,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,15,2014-12-26,23-363,MIL,@,ATL,W (+30),0,18:24,1,2,.500,0,0,,3,4,.750,1,4,5,2,2,2,2,3,5,7.1,+11
31,16,2014-12-27,23-364,MIL,,ATL,L (-5),0,19:06,2,3,.667,0,0,,1,2,.500,1,4,5,0,0,5,0,3,5,7.5,+1
32,17,2014-12-29,24-001,MIL,@,CHO,W (+10),0,20:41,4,6,.667,0,0,,3,3,1.000,0,4,4,0,0,5,0,2,11,12.3,+22
33,18,2014-12-31,24-003,MIL,@,CLE,W (+16),0,24:30,3,8,.375,0,0,,0,0,,1,6,7,3,0,1,0,2,6,6.1,+5
34,19,2015-01-02,24-005,MIL,,IND,L (-3),0,23:08,6,9,.667,0,0,,2,4,.500,3,7,10,1,0,2,2,3,14,12.4,-10
35,20,2015-01-04,24-007,MIL,@,NYK,W (+13),0,11:12,2,3,.667,0,0,,0,0,,0,1,1,0,0,0,2,5,4,-1.0,+5
36,21,2015-01-06,24-009,MIL,,PHO,L (-6),0,24:03,6,9,.667,0,0,,1,2,.500,4,2,6,3,0,1,3,4,13,10.3,-11
37,22,2015-01-07,24-010,MIL,@,PHI,W (+20),0,15:48,2,5,.400,0,0,,0,0,,0,2,2,2,1,4,4,3,4,1.9,+3
