<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,22,IND,NBA,C,70,42,1009,198,420,.471,0,0,,198,420,.471,.471,98,147,.667,115,128,243,49,20,76,55,215,494
2009-10,23,IND,NBA,C,81,69,2035,387,782,.495,3,6,.500,384,776,.495,.497,169,224,.754,177,287,464,158,30,131,145,285,946
2010-11,24,IND,NBA,C,81,80,2244,410,890,.461,0,4,.000,410,886,.463,.461,205,275,.745,182,428,610,166,33,142,185,256,1025
2011-12&nbsp;★,25,IND,NBA,C,65,65,1937,332,668,.497,0,1,.000,332,667,.498,.497,170,239,.711,213,359,572,108,32,128,128,195,834
2012-13,26,IND,NBA,C,79,79,2269,385,859,.448,1,4,.250,384,855,.449,.449,166,224,.741,296,360,656,113,39,206,162,279,937
2013-14&nbsp;★,27,IND,NBA,C,81,81,2409,331,754,.439,2,5,.400,329,749,.439,.440,207,269,.770,202,336,538,91,29,182,148,269,871
2014-15,28,IND,NBA,C,76,76,1926,317,710,.446,0,2,.000,317,708,.448,.446,168,204,.824,156,384,540,84,18,125,107,216,802
2015-16,29,LAL,NBA,C,6,6,153,13,28,.464,0,1,.000,13,27,.481,.464,26,30,.867,15,27,42,9,0,16,8,22,52
Career,,,NBA,,539,498,13982,2373,5111,.464,6,23,.261,2367,5088,.465,.465,1209,1612,.750,1356,2309,3665,778,201,1006,938,1737,5961
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,IND,NBA,,533,492,13829,2360,5083,.464,6,22,.273,2354,5061,.465,.465,1183,1582,.748,1341,2282,3623,769,201,990,930,1715,5909
1 season,,LAL,NBA,,6,6,153,13,28,.464,0,1,.000,13,27,.481,.464,26,30,.867,15,27,42,9,0,16,8,22,52
