<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,23-225,IND,,PHI,W (+12),1,22:30,1,3,.333,1,2,.500,0,0,,2,4,6,2,0,2,1,2,3,4.9,-4
2,2,2014-10-31,23-227,IND,,MEM,L (-8),1,16:48,1,2,.500,1,2,.500,2,2,1.000,0,3,3,0,0,0,1,4,5,2.3,-17
3,3,2014-11-01,23-228,IND,@,ATL,L (-10),1,34:20,3,8,.375,2,5,.400,2,2,1.000,2,3,5,6,1,0,2,1,10,10.7,-2
4,4,2014-11-04,23-231,IND,,MIL,L (-6),1,28:49,5,11,.455,1,3,.333,1,2,.500,1,4,5,0,2,0,4,1,12,5.4,-12
5,5,2014-11-05,23-232,IND,@,WAS,L (-2),1,36:59,5,9,.556,1,2,.500,3,4,.750,2,6,8,2,1,1,2,5,14,11.6,0
6,6,2014-11-07,23-234,IND,@,BOS,L (-3),1,39:28,5,11,.455,2,6,.333,0,0,,0,3,3,0,1,0,3,1,12,4.8,-1
7,7,2014-11-08,23-235,IND,,WAS,L (-7),1,42:45,10,19,.526,1,3,.333,7,11,.636,2,4,6,1,3,0,3,2,28,19.6,-5
8,8,2014-11-10,23-237,IND,,UTA,W (+11),1,36:43,5,12,.417,0,1,.000,3,4,.750,1,2,3,2,1,0,1,2,13,8.1,+3
9,9,2014-11-12,23-239,IND,@,MIA,W (+6),1,42:18,1,12,.083,1,4,.250,6,8,.750,5,5,10,0,1,0,2,4,9,2.6,+4
10,10,2014-11-14,23-241,IND,,DEN,L (-21),1,37:00,5,16,.313,1,4,.250,1,2,.500,1,4,5,2,0,0,1,1,12,4.3,-15
11,11,2014-11-15,23-242,IND,@,CHI,W (+9),1,33:19,6,14,.429,1,3,.333,8,9,.889,4,8,12,1,1,0,1,2,21,18.3,-4
12,12,2014-11-19,23-246,IND,,CHO,W (+2),1,37:30,3,8,.375,0,2,.000,0,0,,1,4,5,0,0,0,3,0,6,0.5,+15
13,13,2014-11-22,23-249,IND,,PHO,L (-23),1,35:13,6,13,.462,1,4,.250,0,0,,3,3,6,4,2,0,3,4,13,9.5,-17
14,14,2014-11-24,23-251,IND,@,DAL,W (+11),1,32:59,4,8,.500,0,2,.000,4,4,1.000,2,4,6,3,1,0,2,3,12,10.5,+1
15,15,2014-11-26,23-253,IND,@,SAS,L (-6),1,28:55,4,8,.500,2,2,1.000,0,0,,1,2,3,1,1,0,2,1,10,6.6,-11
16,16,2014-11-28,23-255,IND,,ORL,W (+15),1,30:20,4,11,.364,1,4,.250,2,2,1.000,1,2,3,4,1,0,0,3,11,8.8,+12
17,17,2014-11-29,23-256,IND,@,CLE,L (-12),1,31:23,4,11,.364,2,5,.400,3,4,.750,2,1,3,3,0,1,2,4,13,7.4,-22
18,18,2014-12-02,23-259,IND,@,PHO,L (-17),1,29:11,1,5,.200,0,1,.000,0,2,.000,0,4,4,1,1,0,1,2,2,-0.8,-8
19,19,2014-12-04,23-261,IND,@,POR,L (-6),1,29:09,7,11,.636,1,2,.500,0,0,,4,4,8,3,1,1,2,3,15,14.7,+1
20,20,2014-12-05,23-262,IND,@,SAC,L (-1),1,37:29,3,12,.250,0,6,.000,4,6,.667,1,1,2,3,1,0,2,3,10,2.9,-8
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-08,23-265,IND,,ATL,L (-16),1,32:36,2,6,.333,0,2,.000,1,2,.500,1,6,7,6,2,0,2,2,5,7.1,-7
22,22,2014-12-10,23-267,IND,,LAC,L (-7),1,16:33,1,7,.143,0,2,.000,2,2,1.000,0,0,0,3,0,0,1,0,4,0.6,-25
23,23,2014-12-12,23-269,IND,@,TOR,L (-12),0,29:55,5,8,.625,1,2,.500,5,6,.833,1,2,3,3,0,3,2,3,16,14.3,-6
24,24,2014-12-13,23-270,IND,,POR,L (-10),1,36:33,4,13,.308,0,2,.000,0,0,,2,5,7,1,0,0,1,1,8,2.7,-5
25,25,2014-12-15,23-272,IND,,LAL,W (+19),1,28:23,1,4,.250,0,1,.000,2,2,1.000,1,6,7,3,2,1,2,1,4,6.5,+15
26,26,2014-12-17,23-274,IND,@,LAC,L (-2),1,32:36,2,8,.250,2,5,.400,4,4,1.000,1,2,3,6,1,0,2,3,10,8.5,+14
27,27,2014-12-20,23-277,IND,@,DEN,L (-3),1,28:20,3,7,.429,2,4,.500,3,4,.750,1,2,3,1,2,0,2,5,11,6.9,-3
28,28,2014-12-21,23-278,IND,@,MIN,W (+4),1,32:14,2,5,.400,1,2,.500,2,2,1.000,0,4,4,4,2,0,4,2,7,5.5,+2
29,29,2014-12-23,23-280,IND,,NOP,W (+12),1,35:22,6,11,.545,1,3,.333,0,0,,0,1,1,0,1,0,1,4,13,6.4,+5
30,30,2014-12-26,23-283,IND,@,DET,L (-10),1,37:28,4,8,.500,1,2,.500,5,5,1.000,1,2,3,4,1,0,0,0,14,15.1,-16
31,31,2014-12-27,23-284,IND,@,BRK,W (+25),1,21:10,1,6,.167,1,2,.500,0,0,,0,2,2,3,1,0,0,4,3,1.3,-1
32,32,2014-12-29,23-286,IND,,CHI,L (-2),1,30:03,3,7,.429,1,3,.333,3,6,.500,1,1,2,3,1,0,1,1,10,7.8,-20
33,33,2014-12-31,23-288,IND,,MIA,W (+11),1,24:56,1,4,.250,0,0,,6,6,1.000,0,1,1,3,0,0,0,3,8,6.8,+1
34,34,2015-01-02,23-290,IND,@,MIL,W (+3),1,35:44,1,7,.143,0,1,.000,5,6,.833,1,4,5,3,3,0,2,0,7,7.1,+1
35,35,2015-01-04,23-292,IND,@,LAL,L (-1),1,36:17,3,11,.273,2,6,.333,2,2,1.000,1,3,4,1,1,0,2,2,10,4.0,+12
36,36,2015-01-05,23-293,IND,@,UTA,W (+4),1,32:38,3,5,.600,0,1,.000,5,6,.833,1,3,4,1,2,0,1,4,11,10.0,0
37,37,2015-01-07,23-295,IND,@,GSW,L (-15),1,34:16,8,15,.533,2,5,.400,3,4,.750,0,4,4,2,0,0,0,1,21,15.5,-11
38,38,2015-01-09,23-297,IND,,BOS,W (+4),1,25:28,2,7,.286,0,2,.000,0,0,,0,5,5,1,1,2,0,1,4,4.1,-19
39,39,2015-01-10,23-298,IND,@,PHI,L (-1),1,36:04,2,11,.182,0,3,.000,8,9,.889,2,4,6,2,2,0,3,0,12,7.7,+6
40,40,2015-01-13,23-301,IND,,MIN,L (-9),1,23:26,1,4,.250,0,0,,0,0,,0,5,5,2,0,0,3,4,2,-2.1,+4
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,41,2015-01-16,23-304,IND,,DET,L (-2),1,30:00,3,7,.429,2,4,.500,2,2,1.000,1,2,3,3,1,0,2,2,10,7.9,-12
42,42,2015-01-17,23-305,IND,@,CHO,L (-9),1,31:44,0,1,.000,0,0,,0,0,,0,4,4,2,0,0,1,3,0,-0.3,-6
43,43,2015-01-19,23-307,IND,@,HOU,L (-12),1,32:53,4,10,.400,1,6,.167,4,4,1.000,0,3,3,3,2,0,3,4,13,8.0,-21
44,44,2015-01-21,23-309,IND,@,ATL,L (-19),1,26:56,3,9,.333,1,4,.250,0,0,,0,2,2,2,0,0,2,2,7,1.1,-20
45,45,2015-01-23,23-311,IND,@,MIA,L (-2),1,25:38,2,9,.222,0,3,.000,0,1,.000,0,2,2,2,1,1,2,0,4,-0.2,-8
46,46,2015-01-25,23-313,IND,@,ORL,W (+7),1,30:28,1,4,.250,0,1,.000,0,0,,0,3,3,3,1,0,2,2,2,0.8,-7
47,47,2015-01-27,23-315,IND,,TOR,L (-13),1,35:50,5,9,.556,3,4,.750,2,2,1.000,0,3,3,1,2,0,0,4,15,12.7,-12
48,48,2015-01-29,23-317,IND,,NYK,W (+21),1,32:59,4,9,.444,2,3,.667,0,0,,0,2,2,4,0,0,0,2,10,7.9,+12
49,49,2015-01-31,23-319,IND,,SAC,L (-5),1,25:38,0,3,.000,0,3,.000,0,0,,0,2,2,1,1,0,1,2,0,-1.6,-14
50,50,2015-02-04,23-323,IND,,DET,W (+5),0,21:20,2,5,.400,1,3,.333,0,0,,0,4,4,3,0,0,0,2,5,4.8,-6
51,51,2015-02-06,23-325,IND,,CLE,W (+4),1,36:18,5,8,.625,0,1,.000,1,1,1.000,1,3,4,3,1,0,0,1,11,11.7,-2
52,52,2015-02-08,23-327,IND,@,CHO,W (+1),0,24:02,3,8,.375,0,1,.000,3,3,1.000,0,4,4,3,0,0,0,2,9,7.1,-5
53,53,2015-02-09,23-328,IND,,SAS,L (-2),0,17:42,3,5,.600,2,3,.667,2,2,1.000,0,1,1,1,1,0,0,2,10,8.9,+3
54,54,2015-02-11,23-330,IND,@,NOP,W (+13),1,27:05,4,5,.800,2,3,.667,2,2,1.000,1,2,3,3,1,0,1,3,12,12.3,+12
55,55,2015-02-20,23-339,IND,@,PHI,W (+11),1,21:10,2,4,.500,1,2,.500,0,0,,1,2,3,2,2,0,1,1,5,6.3,-5
