<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,33-300,CHI,@,NYK,W (+24),1,23:42,4,10,.400,3,7,.429,1,1,1.000,0,1,1,0,1,0,2,3,12,4.7,+8
2,2,2014-10-31,33-302,CHI,,CLE,L (-6),1,34:10,7,11,.636,3,5,.600,3,5,.600,1,1,2,1,2,0,1,3,20,15.8,+2
3,3,2014-11-01,33-303,CHI,@,MIN,W (+1),1,28:02,3,8,.375,0,2,.000,5,6,.833,0,2,2,2,1,0,1,5,11,6.2,0
4,4,2014-11-04,33-306,CHI,,ORL,W (+8),1,30:24,2,6,.333,1,3,.333,0,0,,0,3,3,3,2,0,3,2,5,2.8,+5
5,5,2014-11-05,33-307,CHI,@,MIL,W (+9),0,28:09,2,6,.333,2,6,.333,1,2,.500,0,0,0,2,1,0,0,3,7,4.4,-1
6,6,2014-11-07,33-309,CHI,@,PHI,W (+3),1,31:30,3,12,.250,1,4,.250,6,10,.600,0,3,3,7,1,0,5,2,13,5.2,+4
7,7,2014-11-08,33-310,CHI,,BOS,L (-5),1,28:05,0,7,.000,0,0,,0,0,,0,1,1,5,1,0,0,0,0,-0.1,-5
8,8,2014-11-10,33-312,CHI,,DET,W (+11),0,17:37,2,5,.400,0,1,.000,0,0,,0,1,1,1,0,0,0,1,4,1.9,-7
9,9,2014-11-13,33-315,CHI,@,TOR,W (+7),0,25:03,0,2,.000,0,0,,2,2,1.000,0,1,1,5,1,0,2,3,2,2.2,-1
10,10,2014-11-15,33-317,CHI,,IND,L (-9),1,31:39,7,17,.412,1,4,.250,0,0,,0,2,2,7,1,0,3,3,15,8.2,+1
11,11,2014-11-17,33-319,CHI,@,LAC,W (+16),1,33:39,5,12,.417,4,6,.667,0,0,,1,1,2,5,3,0,3,5,14,10.1,+6
12,12,2014-11-20,33-322,CHI,@,SAC,L (-15),1,28:58,3,11,.273,1,4,.250,2,2,1.000,0,3,3,7,0,0,0,3,9,7.1,-11
13,,2014-11-21,33-323,CHI,,POR,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2014-11-24,33-326,CHI,,UTA,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,13,2014-11-25,33-327,CHI,@,DEN,L (-5),0,31:24,4,10,.400,2,3,.667,0,0,,1,0,1,8,1,0,4,2,10,7.1,+2
16,14,2014-11-28,33-330,CHI,@,BOS,W (+7),0,27:18,1,1,1.000,1,1,1.000,0,0,,1,2,3,1,2,1,1,2,3,5.6,+2
17,15,2014-11-30,33-332,CHI,@,BRK,W (+18),0,18:47,2,4,.500,1,2,.500,0,0,,0,0,0,2,1,1,0,5,5,4.1,+8
18,16,2014-12-02,33-334,CHI,,DAL,L (-3),0,26:50,2,4,.500,2,2,1.000,2,2,1.000,0,1,1,2,1,0,1,1,8,7.3,+2
19,17,2014-12-03,33-335,CHI,@,CHO,W (+7),0,26:27,4,9,.444,3,6,.500,1,2,.500,1,2,3,2,0,0,1,2,12,7.8,+9
20,18,2014-12-06,33-338,CHI,,GSW,L (-10),0,29:02,3,8,.375,1,4,.250,3,4,.750,0,4,4,1,2,0,3,3,10,4.9,-10
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
