<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,19,PHI,NBA,PG,73,51,1767,230,520,.442,62,159,.390,168,361,.465,.502,65,86,.756,56,135,191,280,79,18,156,153,587
2010-11,20,PHI,NBA,PG,82,82,2901,446,999,.446,81,222,.365,365,777,.470,.487,172,209,.823,68,264,332,531,120,29,218,203,1145
2011-12,21,PHI,NBA,PG,65,65,2196,360,834,.432,65,171,.380,295,663,.445,.471,94,120,.783,57,155,212,290,103,18,135,137,879
2012-13&nbsp;★,22,PHI,NBA,PG,78,78,2926,555,1288,.431,91,247,.368,464,1041,.446,.466,182,242,.752,89,240,329,625,123,32,292,170,1383
2013-14,23,NOP,NBA,PG,34,34,1143,203,454,.447,30,77,.390,173,377,.459,.480,51,63,.810,28,114,142,268,56,12,105,92,487
2014-15,24,NOP,NBA,PG,40,37,1303,238,534,.446,51,135,.378,187,399,.469,.493,65,76,.855,32,103,135,274,63,23,91,110,592
2015-16,25,NOP,NBA,PG,4,4,94,18,48,.375,5,13,.385,13,35,.371,.427,11,14,.786,0,6,6,21,3,1,16,6,52
Career,,,NBA,,376,351,12330,2050,4677,.438,385,1024,.376,1665,3653,.456,.479,640,810,.790,330,1017,1347,2289,547,133,1013,871,5125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHI,NBA,,298,276,9790,1591,3641,.437,299,799,.374,1292,2842,.455,.478,513,657,.781,270,794,1064,1726,425,97,801,663,3994
3 seasons,,NOP,NBA,,78,75,2540,459,1036,.443,86,225,.382,373,811,.460,.485,127,153,.830,60,223,283,563,122,36,212,208,1131
