<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,25-207,GSW,@,SAC,W (+18),0,4:27,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,1,0,1.0,-9
2,2,2014-11-01,25-210,GSW,,LAL,W (+23),0,1:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
3,,2014-11-02,25-211,GSW,,POR,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,2014-11-05,25-214,GSW,,LAC,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2014-11-08,25-217,GSW,,HOU,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,2014-11-09,25-218,GSW,,PHO,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2014-11-11,25-220,GSW,,SAS,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,,2014-11-13,25-222,GSW,,BRK,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,3,2014-11-15,25-224,GSW,,CHO,W (+25),0,9:48,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,0,0,-1.4,-5
10,4,2014-11-16,25-225,GSW,@,LAL,W (+21),0,9:11,1,4,.250,1,2,.500,0,0,,0,0,0,0,0,0,2,2,3,-2.2,-13
11,5,2014-11-21,25-230,GSW,,UTA,W (+13),0,6:37,0,3,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,1,0,1,-2.5,-14
12,,2014-11-23,25-232,GSW,,OKC,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,6,2014-11-25,25-234,GSW,@,MIA,W (+17),0,0:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
14,7,2014-11-26,25-235,GSW,@,ORL,W (+15),0,6:36,0,2,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,1,0,0.2,-6
