<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,28-148,ATL,@,TOR,L (-7),1,31:06,6,15,.400,0,0,,0,0,,4,9,13,3,1,3,1,2,12,12.8,-7
2,2,2014-11-01,28-151,ATL,,IND,W (+10),1,27:53,9,14,.643,0,1,.000,2,2,1.000,1,3,4,2,0,2,3,2,20,14.4,+12
3,3,2014-11-05,28-155,ATL,@,SAS,L (-2),1,30:55,5,14,.357,0,0,,0,0,,4,3,7,6,2,1,2,5,10,8.8,-4
4,4,2014-11-07,28-157,ATL,@,CHO,L (-3),1,37:19,11,16,.688,0,0,,2,3,.667,2,8,10,2,3,1,1,3,24,23.5,-15
5,5,2014-11-08,28-158,ATL,,NYK,W (+7),1,30:21,3,13,.231,0,0,,0,0,,1,5,6,3,0,0,0,1,6,2.0,-14
6,6,2014-11-10,28-160,ATL,@,NYK,W (+6),1,31:30,5,9,.556,0,0,,2,2,1.000,1,5,6,1,1,2,1,2,12,11.2,-2
7,7,2014-11-12,28-162,ATL,,UTA,W (+3),1,28:43,4,10,.400,0,0,,0,0,,3,1,4,1,0,1,2,1,8,4.0,-14
8,8,2014-11-14,28-164,ATL,,MIA,W (+11),1,28:17,8,10,.800,1,1,1.000,2,2,1.000,0,6,6,4,1,1,1,3,19,19.3,+14
9,9,2014-11-15,28-165,ATL,@,CLE,L (-33),1,19:09,6,10,.600,0,1,.000,0,0,,3,1,4,2,0,0,0,1,12,10.8,-21
10,10,2014-11-18,28-168,ATL,,LAL,L (-5),1,30:22,7,8,.875,1,1,1.000,0,0,,1,7,8,2,0,0,2,0,15,14.4,+8
11,11,2014-11-21,28-171,ATL,,DET,W (+10),1,32:00,7,12,.583,0,0,,0,0,,0,2,2,1,0,2,0,2,14,10.3,+1
12,12,2014-11-25,28-175,ATL,@,WAS,W (+4),1,22:47,3,4,.750,0,0,,1,2,.500,1,3,4,2,0,1,0,3,7,7.5,+5
13,13,2014-11-26,28-176,ATL,,TOR,L (-11),1,32:16,11,16,.688,0,1,.000,1,2,.500,2,7,9,4,0,2,1,1,23,22.1,-2
14,14,2014-11-28,28-178,ATL,,NOP,W (+9),1,33:46,5,15,.333,0,0,,0,0,,4,6,10,4,0,3,2,1,10,8.6,+6
15,15,2014-11-29,28-179,ATL,,CHO,W (+30),1,18:53,5,6,.833,1,1,1.000,0,0,,0,4,4,2,0,2,0,1,11,12.4,+31
16,16,2014-12-02,28-182,ATL,,BOS,W (+4),1,31:50,8,13,.615,0,0,,0,0,,0,6,6,2,0,1,1,1,16,12.6,-6
17,17,2014-12-03,28-183,ATL,@,MIA,W (+10),1,29:02,2,3,.667,0,0,,2,2,1.000,0,2,2,3,0,1,2,2,6,5.3,+6
18,18,2014-12-05,28-185,ATL,@,BRK,W (+23),1,23:20,3,10,.300,0,0,,1,2,.500,0,5,5,2,2,1,1,1,7,5.0,+13
19,19,2014-12-07,28-187,ATL,,DEN,W (+12),1,33:01,5,9,.556,0,1,.000,1,1,1.000,1,7,8,3,0,3,0,3,11,12.5,+4
20,20,2014-12-08,28-188,ATL,@,IND,W (+16),1,30:22,9,18,.500,1,1,1.000,6,6,1.000,2,6,8,3,1,3,2,2,25,21.6,+10
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-10,28-190,ATL,,PHI,W (+16),1,27:08,5,12,.417,0,0,,1,2,.500,1,6,7,1,1,0,0,1,11,8.0,+14
22,22,2014-12-12,28-192,ATL,,ORL,W (+6),1,33:50,8,16,.500,1,1,1.000,0,0,,1,6,7,2,1,2,2,2,17,12.5,-7
23,23,2014-12-13,28-193,ATL,@,ORL,L (-1),1,34:35,9,15,.600,0,0,,0,0,,1,7,8,2,1,2,0,1,18,17.3,-5
