<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-29,25-235,MIN,,MEM,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2014-10-30,25-236,MIN,,DET,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,1,2014-11-01,25-238,MIN,,CHI,L (-1),0,10:43,1,1,1.000,0,0,,0,0,,1,4,5,1,1,0,0,1,2,4.9,+1
4,,2014-11-05,25-242,MIN,,BRK,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2,2014-11-07,25-244,MIN,@,ORL,L (-9),0,14:20,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,+1
6,3,2014-11-08,25-245,MIN,@,MIA,L (-10),0,12:52,1,3,.333,0,2,.000,0,0,,1,1,2,0,0,1,0,1,2,1.6,+1
7,4,2014-11-12,25-249,MIN,,HOU,L (-12),0,8:28,3,4,.750,2,3,.667,0,0,,0,0,0,0,0,0,0,1,8,6.0,+5
8,5,2014-11-14,25-251,MIN,@,NOP,L (-48),0,20:54,1,4,.250,0,2,.000,1,2,.500,0,4,4,0,0,0,2,1,3,-1.0,-16
9,6,2014-11-15,25-252,MIN,@,DAL,L (-14),0,14:57,1,4,.250,1,2,.500,0,0,,0,2,2,0,0,0,1,4,3,-1.4,-9
10,7,2014-11-19,25-256,MIN,,NYK,W (+16),0,15:51,1,3,.333,0,2,.000,0,0,,2,1,3,2,0,0,0,3,2,2.2,+3
11,8,2014-11-21,25-258,MIN,,SAS,L (-29),0,16:40,2,4,.500,0,2,.000,2,4,.500,2,1,3,0,0,0,0,3,6,3.7,+3
12,9,2014-11-22,25-259,MIN,,SAC,L (-12),0,9:22,0,2,.000,0,0,,0,0,,0,1,1,0,0,2,1,2,0,-1.5,+2
13,10,2014-11-26,25-263,MIN,,MIL,L (-17),0,12:01,0,0,,0,0,,2,2,1.000,0,1,1,2,0,0,0,3,2,2.5,-8
14,11,2014-11-28,25-265,MIN,@,LAL,W (+1),0,17:46,3,5,.600,1,1,1.000,0,0,,1,1,2,0,2,1,1,3,7,6.2,+1
15,12,2014-11-30,25-267,MIN,@,POR,L (-14),0,5:30,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-3.2,-4
16,13,2014-12-01,25-268,MIN,@,LAC,L (-26),0,11:23,6,8,.750,0,1,.000,1,2,.500,1,1,2,0,1,0,0,2,13,10.6,-9
17,14,2014-12-03,25-270,MIN,,PHI,L (-8),0,14:21,1,3,.333,0,1,.000,2,2,1.000,1,3,4,2,0,1,0,2,4,5.2,-13
