<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Rudy Hackett,1976,1977,F,6-9,210,May 10 1953,Syracuse University
Hamed Haddadi,2009,2013,C,7-2,254,May 19 1985,
Jim Hadnot,1968,1968,C-F,6-10,235,January 15 1940,Providence College
Scott Haffner,1990,1991,G,6-3,180,February 2 1966,University of Evansville
Cliff Hagan*,1957,1970,F-G,6-4,210,December 9 1931,University of Kentucky
Glenn Hagan,1982,1982,G,6-0,170,June 25 1955,St. Bonaventure University
Tom Hagan,1970,1971,G,6-3,185,January 29 1947,Vanderbilt University
Robert Hahn,1950,1950,C,6-10,240,August 25 1925,North Carolina State University
Al Hairston,1969,1970,G,6-1,170,December 11 1945,Bowling Green State University
Happy Hairston,1965,1975,F,6-7,225,May 31 1942,New York University
Lindsay Hairston,1976,1976,F-C,6-7,180,December 8 1951,Michigan State University
Malik Hairston,2009,2010,G,6-6,220,February 23 1987,University of Oregon
P.J. Hairston,2015,2016,G-F,6-6,230,December 24 1992,University of North Carolina
Marcus Haislip,2003,2010,F,6-10,230,December 22 1980,University of Tennessee
Chick Halbert,1947,1951,C,6-9,225,February 27 1919,West Texas A&amp;M University
Swede Halbrook,1961,1962,C,7-3,235,January 30 1933,Oregon State University
Bruce Hale,1949,1951,G-F,6-1,170,August 30 1918,Santa Clara University
Hal Hale,1968,1968,G,6-1,180,September 21 1945,Utah State University
Jack Haley,1989,1998,C-F,6-10,240,January 27 1964,University of California Los Angeles
Shaler Halimon,1969,1973,G-F,6-5,199,March 30 1945,Utah State University
Mike Hall,2007,2007,F,6-8,230,June 5 1984,George Washington University
Jeff Halliburton,1972,1973,G,6-5,193,July 3 1949,Drake University
Darvin Ham,1997,2005,F,6-7,220,July 23 1973,Texas Tech University
Steve Hamer,1997,1997,C,7-0,245,November 13 1973,University of Tennessee
Dale Hamilton,1950,1950,G-F,6-0,180,August 16 1919,Franklin College
Dennis Hamilton,1968,1971,F,6-8,210,May 8 1944,Arizona State University
Joe Hamilton,1971,1976,G,5-10,160,July 5 1948,University of North Texas
Jordan Hamilton,2012,2015,G-F,6-7,220,October 6 1990,University of Texas at Austin
Justin Hamilton,2014,2015,C,7-0,260,April 1 1990,Louisiana State University
Ralph Hamilton,1949,1949,G-F,6-1,188,June 10 1921,Indiana University
Richard Hamilton,2000,2013,G-F,6-6,185,February 14 1978,University of Connecticut
Roy Hamilton,1980,1981,G,6-2,180,July 20 1957,University of California Los Angeles
Steve Hamilton,1959,1960,F-C,6-6,190,November 30 1935,Morehead State University
Tang Hamilton,2002,2002,F,6-8,220,May 26 1978,Mississippi State University
Thomas Hamilton,1996,2000,C,7-2,330,April 3 1975,University of Pittsburgh
Zendon Hamilton,2001,2006,F,6-11,250,April 27 1975,St. John's University
Geert Hammink,1994,1996,C,7-0,262,July 12 1969,Louisiana State University
Julian Hammond,1968,1972,F,6-5,205,May 27 1943,University of Tulsa
Tom Hammonds,1990,2001,F,6-9,215,March 27 1967,Georgia Institute of Technology
Joe Hamood,1968,1968,G,6-0,180,September 7 1943,University of Houston
Darrin Hancock,1995,1997,G-F,6-7,205,November 3 1971,University of Kansas
Ben Handlogten,2004,2005,F,6-10,240,November 16 1973,Western Michigan University
Cecil Hankins,1947,1948,G,6-1,175,January 6 1922,Oklahoma State University
Phil Hankinson,1974,1975,F,6-8,195,July 26 1951,University of Pennsylvania
Alex Hannum*,1950,1957,F-C,6-7,210,July 19 1923,University of Southern California
Don Hanrahan,1953,1953,F,6-7,200,February 6 1929,Loyola University of Chicago
Rollen Hans,1954,1955,G,6-2,210,April 13 1931,Long Island University
Ben Hansbrough,2013,2013,G,6-3,203,December 23 1987,University of Notre Dame
Tyler Hansbrough,2010,2016,F,6-9,250,November 3 1985,University of North Carolina
Bob Hansen,1984,1992,G,6-6,190,January 18 1961,University of Iowa
Glenn Hansen,1976,1978,G,6-4,205,April 21 1952,Louisiana State University
Lars Hansen,1979,1979,C,6-10,225,September 14 1954,University of Washington
Travis Hansen,2004,2004,G,6-6,205,April 15 1978,Brigham Young University
Reggie Hanson,1998,1998,F,6-8,195,October 6 1968,University of Kentucky
Bill Hanzlik,1981,1990,G-F,6-7,185,December 6 1957,University of Notre Dame
Luke Harangody,2011,2012,F,6-8,246,January 2 1988,University of Notre Dame
Anfernee Hardaway,1994,2008,G-F,6-7,195,July 18 1971,University of Memphis
Tim Hardaway,1990,2003,G,6-0,175,September 1 1966,University of Texas at El Paso
Tim Hardaway,2014,2015,G,6-6,205,March 16 1992,University of Michigan
James Harden,2010,2016,G,6-5,220,August 26 1989,Arizona State University
Reggie Harding,1964,1968,C,7-0,249,May 4 1942,
Charlie Hardnett,1963,1965,F-C,6-8,225,September 13 1938,Grambling State University
Alan Hardy,1981,1982,F,6-7,195,May 25 1957,University of Michigan
Darrell Hardy,1968,1968,F,6-7,220,,Baylor University
James Hardy,1979,1982,F-C,6-8,220,December 1 1956,University of San Francisco
Ira Harge,1968,1973,C,6-9,225,March 14 1941,University of New Mexico
John Hargis,1950,1951,G-F,6-2,180,August 20 1920,University of Texas at Austin
Maurice Harkless,2013,2016,F-G,6-9,215,May 11 1993,St. John's University
Jerry Harkness,1964,1969,G,6-2,175,May 7 1940,Loyola University of Chicago
Skip Harlicka,1969,1969,G,6-1,185,October 14 1946,University of South Carolina
Jerome Harmon,1995,1995,G,6-4,190,February 6 1969,University of Louisville
Derek Harper,1984,1999,G,6-4,185,October 13 1961,University of Illinois at Urbana-Champaign
Justin Harper,2012,2012,F,6-10,225,August 30 1989,University of Richmond
Mike Harper,1981,1982,C-F,6-10,195,December 9 1957,North Park University
Ron Harper,1987,2001,G-F,6-6,185,January 20 1964,Miami University
Matt Harpring,1999,2009,F,6-7,231,May 31 1976,Georgia Institute of Technology
Montrezl Harrell,2016,2016,F,6-8,240,January 26 1994,University of Louisville
Josh Harrellson,2012,2014,C,6-10,275,February 12 1989,University of Kentucky
Adam Harrington,2003,2003,G,6-5,200,July 5 1980,Auburn University
Al Harrington,1999,2014,F,6-9,230,February 17 1980,
Junior Harrington,2003,2007,G,6-4,180,October 2 1980,Wingate University
Othella Harrington,1997,2008,F-C,6-9,235,January 31 1974,Georgetown University
Art Harris,1969,1972,G,6-4,185,January 13 1947,Stanford University
Bernie Harris,1975,1975,F,6-10,200,November 26 1950,Virginia Commonwealth University
Billy Harris,1975,1975,G,6-2,185,November 12 1951,Northern Illinois University
Bob Harris,1950,1954,F-C,6-7,195,March 16 1927,Oklahoma State University
Chris Harris,1956,1956,G,6-3,190,August 11 1933,University of Dayton
Devin Harris,2005,2016,G,6-3,192,February 27 1983,University of Wisconsin
Elias Harris,2014,2014,F,6-8,239,July 6 1989,Gonzaga University
Gary Harris,2015,2016,G,6-4,210,September 14 1994,Michigan State University
Joe Harris,2015,2016,G,6-6,219,September 7 1991,University of Virginia
Lucious Harris,1994,2005,G,6-5,190,December 18 1970,California State University Long Beach
Manny Harris,2011,2014,G,6-5,185,September 21 1989,University of Michigan
Mike Harris,2008,2014,F,6-6,240,June 15 1983,Rice University
Steve Harris,1986,1990,G,6-5,195,October 15 1963,University of Tulsa
Terrel Harris,2012,2013,G,6-5,190,August 10 1987,Oklahoma State University
Tobias Harris,2012,2016,F,6-9,235,July 15 1992,University of Tennessee
Tony Harris,1991,1995,G,6-3,190,May 13 1967,University of New Orleans
Bob Harrison,1950,1958,G,6-1,190,August 12 1927,University of Michigan
David Harrison,2005,2008,C,7-0,280,August 15 1982,University of Colorado
Jason Hart,2001,2010,G,6-3,185,April 29 1978,Syracuse University
Antonio Harvey,1994,2003,F-C,6-11,225,July 6 1970,Pfeiffer University
Donnell Harvey,2001,2005,F,6-8,220,August 26 1980,University of Florida
Scott Haskin,1994,1994,C-F,6-11,250,September 19 1970,Oregon State University
Clem Haskins,1968,1976,G,6-3,195,July 11 1943,Western Kentucky University
Udonis Haslem,2004,2016,F,6-8,235,June 9 1980,University of Florida
Trenton Hassell,2002,2010,G,6-5,200,March 4 1979,Austin Peay State University
Billy Hassett,1950,1951,G,5-11,180,October 21 1921,University of Notre Dame
Joe Hassett,1978,1983,G,6-5,180,September 11 1955,Providence College
Scott Hastings,1983,1993,F-C,6-10,235,June 3 1960,University of Arkansas
Kirk Haston,2002,2003,F,6-9,242,March 10 1979,Indiana University
Vern Hatton,1959,1962,G,6-3,195,January 13 1936,University of Kentucky
John Havlicek*,1963,1978,F-G,6-5,203,April 8 1940,Ohio State University
Spencer Hawes,2008,2016,C-F,7-1,245,April 28 1988,University of Washington
Steve Hawes,1975,1984,C-F,6-9,220,May 26 1950,University of Washington
Connie Hawkins*,1968,1976,F-C,6-8,210,July 17 1942,University of Iowa
Hersey Hawkins,1989,2001,G,6-3,190,September 29 1966,Bradley University
Juaquin Hawkins,2003,2003,G-F,6-7,220,July 2 1973,California State University Long Beach
