<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,27-167,MIL,@,CHO,L (-2),0,11:46,3,3,1.000,0,0,,0,0,,0,1,1,0,2,1,0,5,6,6.1,+10
2,2,2014-10-31,27-169,MIL,,PHI,W (+12),0,4:51,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-2
3,3,2014-11-01,27-170,MIL,@,WAS,L (-11),0,17:41,3,6,.500,1,2,.500,1,2,.500,2,2,4,1,1,1,1,3,8,6.8,0
4,4,2014-11-04,27-173,MIL,@,IND,W (+6),1,26:15,2,11,.182,1,4,.250,0,0,,1,2,3,1,1,0,0,3,5,-0.1,-1
5,5,2014-11-05,27-174,MIL,,CHI,L (-9),1,16:10,3,4,.750,1,1,1.000,0,0,,0,1,1,1,0,0,2,3,7,3.2,-13
6,6,2014-11-07,27-176,MIL,@,DET,L (-3),1,20:50,4,9,.444,0,3,.000,0,0,,1,2,3,1,0,0,0,1,8,4.9,-5
7,7,2014-11-08,27-177,MIL,,MEM,W (+1),1,25:04,5,10,.500,0,2,.000,1,2,.500,2,7,9,1,0,0,1,4,11,7.2,-2
8,8,2014-11-11,27-180,MIL,,OKC,W (+7),1,23:09,0,2,.000,0,1,.000,2,2,1.000,1,4,5,1,1,0,1,4,2,1.6,-4
9,9,2014-11-14,27-183,MIL,@,ORL,L (-16),1,13:00,3,10,.300,0,3,.000,2,2,1.000,0,1,1,1,0,0,1,3,8,1.0,-1
10,10,2014-11-16,27-185,MIL,@,MIA,W (+7),0,12:20,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,0,2,2,0.8,-2
11,11,2014-11-18,27-187,MIL,,NYK,W (+4),0,20:18,8,10,.800,3,4,.750,1,4,.250,1,1,2,1,0,0,0,2,20,15.9,-6
12,12,2014-11-19,27-188,MIL,@,BRK,W (+4),0,20:49,7,12,.583,0,0,,0,0,,2,3,5,1,3,0,0,3,14,13.2,+8
13,13,2014-11-21,27-190,MIL,@,TOR,L (-42),0,20:52,5,9,.556,2,4,.500,2,4,.500,0,3,3,2,0,0,0,0,14,11.2,-11
14,14,2014-11-22,27-191,MIL,,WAS,L (-11),0,20:55,5,8,.625,0,2,.000,3,4,.750,2,3,5,3,0,0,2,2,13,10.6,+4
15,15,2014-11-25,27-194,MIL,,DET,W (+12),0,20:47,4,11,.364,2,3,.667,3,4,.750,2,7,9,0,1,0,0,1,13,10.6,+3
16,16,2014-11-26,27-195,MIL,@,MIN,W (+17),0,11:45,6,13,.462,0,2,.000,0,0,,1,5,6,0,0,0,0,2,12,6.7,+8
17,17,2014-11-28,27-197,MIL,@,DET,W (+16),0,31:13,9,14,.643,3,7,.429,1,1,1.000,3,5,8,2,2,1,2,1,22,21.1,+20
18,18,2014-11-29,27-198,MIL,,HOU,L (-14),0,24:16,7,14,.500,2,5,.400,2,2,1.000,1,1,2,1,0,0,1,2,18,10.9,-10
19,19,2014-12-02,27-201,MIL,@,CLE,L (-3),0,12:00,3,7,.429,1,3,.333,2,2,1.000,1,2,3,1,0,1,0,1,9,7.6,+9
