Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
1,1,2014-10-29,31-001,BRK,@,BOS,L (-16),0,30:05,5,9,.556,0,0,,1,2,.500,0,2,2,2,2,0,1,1,11,8.9,-7,jackja01
2,2,2014-11-01,31-004,BRK,@,DET,W (+12),0,22:10,1,4,.250,0,2,.000,0,0,,0,2,2,3,0,0,1,3,2,0.1,+13,jackja01
3,3,2014-11-03,31-006,BRK,,OKC,W (+31),0,27:37,2,6,.333,0,0,,0,0,,1,1,2,1,4,0,0,1,4,5.9,+21,jackja01
4,4,2014-11-05,31-008,BRK,,MIN,L (-7),0,23:59,5,8,.625,0,0,,4,4,1.000,0,5,5,4,1,0,3,3,14,11.5,+5,jackja01
5,5,2014-11-07,31-010,BRK,,NYK,W (+11),0,19:03,2,5,.400,0,0,,0,0,,0,1,1,5,1,0,2,2,4,3.3,-3,jackja01
6,6,2014-11-09,31-012,BRK,,ORL,W (+8),0,22:57,3,6,.500,0,0,,0,0,,0,2,2,1,2,1,0,1,6,6.6,-5,jackja01
7,7,2014-11-12,31-015,BRK,@,PHO,L (-8),0,23:36,2,4,.500,0,1,.000,4,4,1.000,0,2,2,3,1,0,5,1,8,4.3,-11,jackja01
8,8,2014-11-13,31-016,BRK,@,GSW,L (-8),0,25:30,10,10,1.000,0,0,,3,4,.750,0,3,3,3,0,0,3,4,23,18.0,0,jackja01
9,9,2014-11-15,31-018,BRK,@,POR,L (-10),0,26:04,4,12,.333,0,3,.000,2,2,1.000,0,3,3,1,1,0,1,3,10,3.6,-9,jackja01
10,10,2014-11-17,31-020,BRK,,MIA,L (-12),0,23:39,5,9,.556,1,1,1.000,4,4,1.000,0,0,0,4,1,0,1,4,15,11.9,-9,jackja01
11,11,2014-11-19,31-022,BRK,,MIL,L (-4),0,35:13,5,9,.556,0,2,.000,4,6,.667,0,9,9,4,1,0,3,2,14,11.6,+6,jackja01
12,12,2014-11-21,31-024,BRK,@,OKC,W (+2),0,31:28,8,15,.533,1,2,.500,6,7,.857,0,2,2,5,0,0,2,1,23,17.0,+3,jackja01
13,13,2014-11-22,31-025,BRK,@,SAS,L (-12),0,25:09,2,7,.286,0,0,,2,2,1.000,1,5,6,5,1,1,2,1,6,6.9,-7,jackja01
14,14,2014-11-26,31-029,BRK,@,PHI,W (+8),0,18:39,2,7,.286,0,3,.000,0,0,,0,2,2,4,0,0,1,2,4,1.5,-7,jackja01
15,15,2014-11-30,31-033,BRK,,CHI,L (-18),0,27:25,5,13,.385,0,1,.000,2,2,1.000,1,3,4,4,1,0,0,0,12,10.3,-15,jackja01
16,16,2014-12-02,31-035,BRK,@,NYK,W (+5),0,17:31,2,8,.250,0,2,.000,0,0,,1,2,3,1,1,0,4,1,4,-2.2,-7,jackja01
17,17,2014-12-03,31-036,BRK,,SAS,W (+2),0,27:33,4,10,.400,0,1,.000,0,0,,0,1,1,3,0,0,2,1,8,2.6,-13,jackja01
18,18,2014-12-05,31-038,BRK,,ATL,L (-23),0,18:53,3,7,.429,0,0,,0,0,,0,3,3,1,2,0,1,2,6,4.1,-18,jackja01
19,19,2014-12-08,31-041,BRK,,CLE,L (-22),0,23:08,1,4,.250,1,1,1.000,1,2,.500,0,1,1,5,1,0,2,1,4,3.6,-23,jackja01
20,20,2014-12-10,31-043,BRK,@,CHI,L (-25),0,30:04,1,8,.125,0,2,.000,5,6,.833,1,5,6,4,0,0,1,1,7,5.0,-27,jackja01
21,21,2014-12-12,31-045,BRK,,PHI,W (+18),0,21:09,2,8,.250,0,2,.000,0,0,,0,2,2,5,1,0,1,4,4,1.7,+4,jackja01
22,22,2014-12-13,31-046,BRK,@,CHO,W (+27),0,20:14,5,9,.556,0,0,,4,4,1.000,0,2,2,5,0,0,2,3,14,10.6,+4,jackja01
23,23,2014-12-16,31-049,BRK,,MIA,L (-4),0,28:47,1,6,.167,0,3,.000,3,4,.750,0,2,2,5,3,0,4,3,5,2.7,-10,jackja01
24,24,2014-12-17,31-050,BRK,@,TOR,L (-16),0,23:43,2,6,.333,0,0,,0,0,,0,2,2,3,1,1,0,1,4,4.6,-15,jackja01
25,25,2014-12-19,31-052,BRK,@,CLE,L (-4),0,32:56,6,11,.545,1,2,.500,0,0,,0,4,4,3,1,1,3,3,13,8.5,-7,jackja01
26,26,2014-12-21,31-054,BRK,,DET,W (+5),1,37:01,7,14,.500,0,1,.000,1,1,1.000,0,4,4,10,2,0,2,3,15,15.0,+7,jackja01
27,27,2014-12-23,31-056,BRK,,DEN,W (+6),1,38:07,7,13,.538,0,2,.000,3,3,1.000,0,1,1,8,1,0,3,1,17,14.2,+5,jackja01
28,28,2014-12-26,31-059,BRK,@,BOS,W (+2),1,34:03,8,14,.571,1,2,.500,10,10,1.000,0,7,7,5,3,1,4,1,27,25.3,0,jackja01
29,29,2014-12-27,31-060,BRK,,IND,L (-25),1,38:49,10,15,.667,1,2,.500,1,1,1.000,0,6,6,2,1,1,5,3,22,14.2,-9,jackja01
30,30,2014-12-29,31-062,BRK,,SAC,W (+8),1,31:52,4,12,.333,1,1,1.000,7,8,.875,1,2,3,2,1,0,2,2,16,9.7,+9,jackja01
