<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,27-241,DET,@,DEN,L (-10),0,12:10,3,5,.600,1,2,.500,0,0,,0,1,1,0,0,0,0,3,7,3.8,+3
2,2,2014-10-30,27-242,DET,@,MIN,L (-6),0,18:04,2,4,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,1,4,2.6,+10
3,,2014-11-01,27-244,DET,,BRK,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,3,2014-11-05,27-248,DET,,NYK,W (+3),0,14:55,4,6,.667,3,4,.750,0,0,,1,2,3,1,0,0,0,1,11,10.0,+9
5,4,2014-11-07,27-250,DET,,MIL,W (+3),0,10:59,2,3,.667,0,1,.000,0,0,,0,0,0,1,1,0,1,4,4,1.8,-1
6,5,2014-11-09,27-252,DET,,UTA,L (-1),0,14:58,3,6,.500,0,1,.000,2,2,1.000,2,0,2,0,0,0,1,2,8,4.6,-8
7,,2014-11-10,27-253,DET,,CHI,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,6,2014-11-12,27-255,DET,@,WAS,L (-4),0,18:44,2,3,.667,0,1,.000,2,2,1.000,1,1,2,1,1,0,0,2,6,6.6,+4
9,7,2014-11-14,27-257,DET,@,OKC,W (+7),0,17:24,5,10,.500,2,5,.400,0,0,,1,5,6,0,2,0,1,2,12,9.4,+3
10,8,2014-11-15,27-258,DET,@,MEM,L (-7),0,18:59,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,4.7,+1
11,9,2014-11-17,27-260,DET,,ORL,L (-14),0,16:38,3,11,.273,0,3,.000,0,0,,3,2,5,1,0,0,1,4,6,0.3,-12
12,10,2014-11-19,27-262,DET,,PHO,L (-2),0,21:11,3,5,.600,1,1,1.000,0,0,,4,2,6,1,1,1,0,3,7,9.3,+8
13,11,2014-11-21,27-264,DET,@,ATL,L (-10),0,12:52,0,1,.000,0,0,,4,4,1.000,0,0,0,0,0,1,1,0,4,3.0,+1
14,12,2014-11-25,27-268,DET,@,MIL,L (-12),0,13:43,0,0,,0,0,,1,1,1.000,1,0,1,1,1,0,0,1,1,3.0,+5
15,13,2014-11-26,27-269,DET,,LAC,L (-6),0,11:15,1,3,.333,0,1,.000,0,0,,1,3,4,0,1,0,0,1,2,2.5,-2
16,14,2014-11-28,27-271,DET,,MIL,L (-16),0,11:45,0,4,.000,0,2,.000,0,0,,1,0,1,0,2,1,1,3,0,-1.6,-17
17,15,2014-11-30,27-273,DET,,GSW,L (-11),0,6:49,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,1,0,0,0.3,-4
18,16,2014-12-02,27-275,DET,,LAL,L (-10),0,12:00,3,8,.375,1,4,.250,2,2,1.000,2,2,4,0,1,1,0,1,9,7.9,+6
19,17,2014-12-03,27-276,DET,@,BOS,L (-7),0,4:14,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-8
20,18,2014-12-06,27-279,DET,,PHI,L (-7),0,2:02,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,19,2014-12-07,27-280,DET,,OKC,L (-2),0,17:24,4,9,.444,1,3,.333,0,0,,2,2,4,1,0,0,0,2,9,6.2,-5
22,20,2014-12-09,27-282,DET,,POR,L (-12),0,12:00,1,4,.250,1,2,.500,0,0,,2,0,2,1,0,0,0,0,3,2.7,+2
23,21,2014-12-12,27-285,DET,@,PHO,W (+2),0,13:53,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,4,2.3,+7
24,,2014-12-13,27-286,DET,,SAC,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,22,2014-12-15,27-288,DET,@,LAC,L (-22),0,12:00,3,6,.500,1,3,.333,0,0,,0,3,3,3,1,0,0,0,7,8.0,+1
26,23,2014-12-17,27-290,DET,,DAL,L (-11),0,13:28,5,5,1.000,1,1,1.000,2,2,1.000,0,2,2,0,0,0,1,2,13,10.3,-1
27,24,2014-12-19,27-292,DET,,TOR,L (-10),0,21:36,2,8,.250,1,2,.500,2,2,1.000,1,6,7,4,0,0,0,2,7,6.7,+7
28,25,2014-12-21,27-294,DET,@,BRK,L (-5),0,18:09,3,4,.750,1,1,1.000,3,3,1.000,2,2,4,2,1,0,4,2,10,8.0,-2
29,26,2014-12-26,27-299,DET,,IND,W (+10),0,28:20,3,7,.429,1,3,.333,3,4,.750,0,6,6,3,0,1,0,3,10,9.3,-1
30,27,2014-12-28,27-301,DET,@,CLE,W (+23),0,27:07,4,8,.500,2,3,.667,0,0,,0,7,7,2,1,1,0,0,10,11.2,+1
31,28,2014-12-30,27-303,DET,@,ORL,W (+23),0,21:19,1,4,.250,0,1,.000,2,4,.500,1,1,2,4,0,1,1,3,4,3.1,+17
32,29,2015-01-02,27-306,DET,@,NYK,W (+16),0,21:06,2,2,1.000,1,1,1.000,2,2,1.000,0,4,4,1,1,0,1,3,7,7.1,+13
33,30,2015-01-04,27-308,DET,,SAC,W (+19),0,25:26,1,4,.250,1,2,.500,0,0,,0,3,3,1,1,0,3,4,3,-1.4,+13
34,31,2015-01-06,27-310,DET,@,SAS,W (+1),0,11:09,2,3,.667,1,2,.500,0,0,,1,4,5,0,1,0,0,4,5,5.0,-13
35,32,2015-01-07,27-311,DET,@,DAL,W (+13),0,20:17,3,6,.500,0,0,,0,0,,6,3,9,2,2,0,2,3,6,8.3,+14
36,33,2015-01-09,27-313,DET,,ATL,L (-3),0,15:06,1,4,.250,0,3,.000,2,2,1.000,1,4,5,3,1,0,0,1,4,6.2,-5
37,34,2015-01-10,27-314,DET,,BRK,W (+5),0,26:19,4,6,.667,3,5,.600,0,0,,2,5,7,1,0,0,0,2,11,11.2,-2
38,35,2015-01-12,27-316,DET,@,TOR,W (+3),0,25:47,4,5,.800,0,1,.000,2,2,1.000,1,3,4,2,1,0,0,2,10,11.3,-9
39,36,2015-01-14,27-318,DET,,NOP,L (-11),0,21:05,0,5,.000,0,2,.000,0,0,,2,4,6,1,2,1,1,1,0,1.1,-11
40,37,2015-01-16,27-320,DET,@,IND,W (+2),0,6:36,1,4,.250,0,1,.000,1,2,.500,0,1,1,0,1,0,0,2,3,0.7,-4
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,38,2015-01-17,27-321,DET,,PHI,W (+18),0,7:46,1,2,.500,1,2,.500,0,0,,1,0,1,0,1,0,2,2,3,0.9,-1
42,39,2015-01-19,27-323,DET,@,ATL,L (-11),0,17:54,2,7,.286,1,4,.250,0,0,,2,1,3,1,0,0,0,2,5,2.5,-3
43,,2015-01-21,27-325,DET,,ORL,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,40,2015-01-24,27-328,DET,@,MIL,L (-15),0,14:03,3,6,.500,1,1,1.000,0,1,.000,2,0,2,1,0,0,1,2,7,3.9,+12
45,41,2015-01-25,27-329,DET,@,TOR,L (-4),0,5:55,0,0,,0,0,,0,0,,1,1,2,0,1,0,0,0,0,2.0,+2
46,,2015-01-27,27-331,DET,,CLE,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,42,2015-01-28,27-332,DET,@,PHI,L (-20),0,18:32,4,6,.667,1,1,1.000,1,1,1.000,1,2,3,0,1,2,1,2,10,9.3,-3
48,,2015-01-31,27-335,DET,,HOU,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,43,2015-02-03,27-338,DET,,MIA,W (+17),0,4:58,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-9
50,,2015-02-04,27-339,DET,,IND,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
51,44,2015-02-06,27-341,DET,,DEN,W (+10),0,8:57,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,0,1,2,0.6,-5
52,,2015-02-08,27-343,DET,,MIN,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
53,45,2015-02-10,27-345,DET,@,CHO,W (+28),0,15:24,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,2,0,-1.2,+17
54,46,2015-02-11,27-346,DET,,SAS,L (-17),0,12:53,1,2,.500,0,0,,0,0,,0,6,6,0,0,1,0,0,2,3.5,+4
55,,2015-02-20,27-355,BOS,,SAC,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,47,2015-02-22,27-357,BOS,@,LAL,L (-7),0,4:36,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-1.1,-8
57,,2015-02-23,27-358,BOS,,PHO,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
58,48,2015-02-25,27-360,BOS,,NYK,W (+21),0,20:54,7,10,.700,4,6,.667,2,2,1.000,1,4,5,2,1,0,1,2,20,18.3,+15
59,49,2015-02-27,27-362,BOS,,CHO,W (+8),0,23:51,6,9,.667,3,4,.750,1,2,.500,5,5,10,3,0,1,0,2,16,18.7,+22
60,50,2015-03-01,27-364,BOS,,GSW,L (-5),0,12:29,1,1,1.000,1,1,1.000,0,0,,2,0,2,0,1,1,0,2,3,5.0,+4
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,51,2015-03-03,28-001,BOS,@,CLE,L (-31),0,20:59,2,8,.250,1,3,.333,0,0,,2,3,5,2,0,1,1,3,5,2.4,-16
62,52,2015-03-04,28-002,BOS,,UTA,W (+1),0,18:02,2,5,.400,1,3,.333,1,2,.500,1,1,2,1,0,0,0,3,6,3.4,+3
63,53,2015-03-06,28-004,BOS,@,NOP,W (+6),0,18:03,3,5,.600,1,2,.500,2,2,1.000,0,2,2,0,1,0,0,2,9,7.5,+11
64,54,2015-03-08,28-006,BOS,@,ORL,L (-5),0,19:05,2,4,.500,2,3,.667,1,2,.500,0,2,2,1,1,0,1,1,7,5.5,+4
