<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,22,MEM,NBA,SF,8,0,102,11,25,.440,6,18,.333,5,7,.714,.560,1,2,.500,5,6,11,2,4,0,3,5,29
2013-14,23,BOS,NBA,SF,40,0,789,85,214,.397,43,127,.339,42,87,.483,.498,37,43,.860,31,66,97,31,27,4,22,63,250
2014-15,24,TOT,NBA,SF,29,2,526,62,154,.403,28,95,.295,34,59,.576,.494,14,16,.875,8,47,55,15,26,7,15,44,166
2014-15,24,PHI,NBA,SF,9,2,187,19,60,.317,10,39,.256,9,21,.429,.400,6,8,.750,3,23,26,3,9,5,9,19,54
2014-15,24,UTA,NBA,SF,12,0,211,31,64,.484,13,38,.342,18,26,.692,.586,6,6,1.000,3,15,18,7,12,0,6,18,81
2014-15,24,MIL,NBA,SF,8,0,128,12,30,.400,5,18,.278,7,12,.583,.483,2,2,1.000,2,9,11,5,5,2,0,7,31
2015-16,25,UTA,NBA,SF,12,0,56,6,19,.316,4,9,.444,2,10,.200,.421,2,4,.500,2,8,10,3,1,2,3,8,18
Career,,,NBA,,89,2,1473,164,412,.398,81,249,.325,83,163,.509,.496,54,65,.831,46,127,173,51,58,13,43,120,463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,BOS,NBA,,40,0,789,85,214,.397,43,127,.339,42,87,.483,.498,37,43,.860,31,66,97,31,27,4,22,63,250
2 seasons,,UTA,NBA,,24,0,267,37,83,.446,17,47,.362,20,36,.556,.548,8,10,.800,5,23,28,10,13,2,9,26,99
1 season,,PHI,NBA,,9,2,187,19,60,.317,10,39,.256,9,21,.429,.400,6,8,.750,3,23,26,3,9,5,9,19,54
1 season,,MEM,NBA,,8,0,102,11,25,.440,6,18,.333,5,7,.714,.560,1,2,.500,5,6,11,2,4,0,3,5,29
1 season,,MIL,NBA,,8,0,128,12,30,.400,5,18,.278,7,12,.583,.483,2,2,1.000,2,9,11,5,5,2,0,7,31
