<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,24,CLE,NBA,SG,4,0,14,0,5,.000,0,0,,0,5,.000,.000,4,4,1.000,0,1,1,0,0,0,1,4,4
2009-10,25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2010-11,26,TOT,NBA,SG,8,0,94,12,33,.364,1,3,.333,11,30,.367,.379,9,10,.900,2,5,7,11,1,1,5,12,34
2010-11,26,TOR,NBA,SG,7,0,81,10,30,.333,1,3,.333,9,27,.333,.350,7,8,.875,2,5,7,11,1,1,5,11,28
2010-11,26,LAL,NBA,SG,1,0,13,2,3,.667,0,0,,2,3,.667,.667,2,2,1.000,0,0,0,0,0,0,0,1,6
2011-12,27,NOH,NBA,SG,11,0,61,8,14,.571,0,0,,8,14,.571,.571,5,5,1.000,3,9,12,4,1,0,5,10,21
Career,,,NBA,,23,0,169,20,52,.385,1,3,.333,19,49,.388,.394,18,19,.947,5,15,20,15,2,1,11,26,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,NOH,NBA,,11,0,61,8,14,.571,0,0,,8,14,.571,.571,5,5,1.000,3,9,12,4,1,0,5,10,21
1 season,,TOR,NBA,,7,0,81,10,30,.333,1,3,.333,9,27,.333,.350,7,8,.875,2,5,7,11,1,1,5,11,28
1 season,,CLE,NBA,,4,0,14,0,5,.000,0,0,,0,5,.000,.000,4,4,1.000,0,1,1,0,0,0,1,4,4
1 season,,LAL,NBA,,1,0,13,2,3,.667,0,0,,2,3,.667,.667,2,2,1.000,0,0,0,0,0,0,0,1,6
