<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,22,ATL,NBA,PF,58,8,666,65,128,.508,0,1,.000,65,127,.512,.508,59,75,.787,49,87,136,11,11,42,25,124,189
2007-08,23,ATL,NBA,PF,35,0,145,12,30,.400,0,2,.000,12,28,.429,.400,11,20,.550,19,23,42,0,3,5,11,28,35
2008-09,24,ATL,NBA,C,63,0,675,67,111,.604,1,2,.500,66,109,.606,.608,53,74,.716,52,90,142,15,7,34,27,125,188
2009-10,25,IND,NBA,C,52,2,675,78,176,.443,0,3,.000,78,173,.451,.443,51,71,.718,51,93,144,32,14,37,40,125,207
2010-11,26,IND,NBA,C,39,0,528,49,121,.405,0,1,.000,49,120,.408,.405,41,62,.661,45,68,113,30,12,22,35,94,139
2011-12,27,TOT,NBA,C-PF,21,1,292,24,61,.393,0,0,,24,61,.393,.393,19,23,.826,32,26,58,9,9,11,18,43,67
2011-12,27,LAC,NBA,PF,10,0,96,1,8,.125,0,0,,1,8,.125,.125,4,5,.800,11,6,17,2,4,5,5,12,6
2011-12,27,NOH,NBA,C,11,1,196,23,53,.434,0,0,,23,53,.434,.434,15,18,.833,21,20,41,7,5,6,13,31,61
2012-13,28,NYK,NBA,PF,2,1,26,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,2,3,0,0,1,3,3,0
2013-14,29,ORL,NBA,PF,11,0,85,6,17,.353,0,0,,6,17,.353,.353,2,4,.500,8,8,16,2,2,2,2,12,14
Career,,,NBA,,281,12,3092,301,645,.467,1,9,.111,300,636,.472,.467,236,329,.717,257,397,654,99,58,154,161,554,839
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,ATL,NBA,,156,8,1486,144,269,.535,1,5,.200,143,264,.542,.537,123,169,.728,120,200,320,26,21,81,63,277,412
2 seasons,,IND,NBA,,91,2,1203,127,297,.428,0,4,.000,127,293,.433,.428,92,133,.692,96,161,257,62,26,59,75,219,346
1 season,,NOH,NBA,,11,1,196,23,53,.434,0,0,,23,53,.434,.434,15,18,.833,21,20,41,7,5,6,13,31,61
1 season,,ORL,NBA,,11,0,85,6,17,.353,0,0,,6,17,.353,.353,2,4,.500,8,8,16,2,2,2,2,12,14
1 season,,LAC,NBA,,10,0,96,1,8,.125,0,0,,1,8,.125,.125,4,5,.800,11,6,17,2,4,5,5,12,6
1 season,,NYK,NBA,,2,1,26,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,2,3,0,0,1,3,3,0
