<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Warren Jabali,1969,1975,G-F,6-2,200,August 29 1946,Wichita State University
Jarrett Jack,2006,2016,G,6-3,200,October 28 1983,Georgia Institute of Technology
Al Jackson,1968,1968,G,6-1,185,July 29 1943,Wilberforce University
Bobby Jackson,1998,2009,G,6-1,185,March 13 1973,University of Minnesota
Cedric Jackson,2010,2010,G,6-3,191,March 5 1986,Cleveland State University
Darnell Jackson,2009,2011,F,6-9,253,November 7 1985,University of Kansas
Greg Jackson,1975,1975,G,6-0,180,August 2 1952,Guilford College
Jaren Jackson,1990,2002,G-F,6-4,190,October 27 1967,Georgetown University
Jermaine Jackson,2000,2006,G,6-4,204,June 7 1976,University of Detroit Mercy
Jim Jackson,1993,2006,G,6-6,220,October 14 1970,Ohio State University
Luke Jackson,1965,1972,F-C,6-9,240,October 31 1941,University of Texas-Pan American
Luke Jackson,2005,2008,F,6-7,215,November 6 1981,University of Oregon
Marc Jackson,2001,2007,C,6-10,270,January 16 1975,Temple University
Mark Jackson,1988,2004,G,6-1,180,April 1 1965,St. John's University
Mervin Jackson,1969,1973,G,6-3,175,August 15 1946,University of Utah
Michael Jackson,1988,1990,G,6-2,183,July 13 1964,Georgetown University
Mike Jackson,1973,1976,F,6-7,215,July 31 1949,California State University Los Angeles
Myron Jackson,1987,1987,G,6-3,185,May 6 1964,University of Arkansas at Little Rock
Phil Jackson*,1968,1980,F-C,6-8,220,September 17 1945,University of North Dakota
Ralph Jackson,1985,1985,G,6-2,190,October 26 1962,University of California Los Angeles
Randell Jackson,1999,2000,F,6-11,215,January 16 1976,Florida State University
Reggie Jackson,2012,2016,G,6-3,208,April 16 1990,Boston College
Stanley Jackson,1994,1994,G,6-3,185,October 10 1970,University of Alabama at Birmingham
Stephen Jackson,2001,2014,F-G,6-8,218,April 5 1978,Butler County Community College
Tony Jackson,1968,1969,F-G,6-4,200,November 7 1942,St. John's University
Tony Jackson,1981,1981,G,6-0,170,January 17 1958,Florida State University
Tracy Jackson,1982,1984,G-F,6-6,205,April 21 1959,University of Notre Dame
Wardell Jackson,1975,1975,F,6-7,200,July 18 1951,Ohio State University
Fred Jacobs,1947,1947,F,6-3,175,December 2 1922,University of Denver
Casey Jacobsen,2003,2008,G-F,6-6,215,March 19 1981,Stanford University
Sam Jacobson,1999,2001,G-F,6-4,215,July 22 1975,University of Minnesota
Dave Jamerson,1991,1994,G-F,6-5,190,August 13 1967,Ohio University
Aaron James,1975,1979,F,6-8,210,October 5 1952,Grambling State University
Bernard James,2013,2015,C,6-10,240,February 7 1985,Florida State University
Billy James,1974,1974,G,6-3,185,February 11 1950,Marshall University
Damion James,2011,2014,G-F,6-7,225,October 7 1987,University of Texas at Austin
Gene James,1949,1951,F,6-4,180,February 15 1925,Marshall University
Henry James,1991,1998,F,6-8,220,July 29 1965,St. Mary's University
Jerome James,1999,2009,C,7-0,300,November 17 1975,Florida Agricultural and Mechanical University
LeBron James,2004,2016,F-G,6-8,250,December 30 1984,
Mike James,2002,2014,G,6-2,188,June 23 1975,Duquesne University
Tim James,2000,2002,F,6-7,212,December 26 1976,University of Miami
Antawn Jamison,1999,2014,F,6-8,223,June 12 1976,University of North Carolina
Harold Jamison,2000,2002,F,6-8,260,November 20 1976,Clemson University
John Janisch,1947,1948,F-G,6-3,200,March 15 1920,Valparaiso University
Howie Janotta,1950,1950,F,6-3,185,October 19 1924,Seton Hall University
Marko Jaric,2003,2009,G,6-7,198,October 12 1978,
Tony Jaros,1947,1951,F-G,6-3,185,February 22 1920,University of Minnesota
Jim Jarvis,1968,1969,G,6-1,175,March 3 1943,Oregon State University
Sarunas Jasikevicius,2006,2007,G,6-4,195,March 5 1976,University of Maryland
Nathan Jawai,2009,2010,F,6-10,280,October 10 1986,Midland College
Buddy Jeannette*,1948,1950,G,5-11,175,September 15 1917,Washington &amp; Jefferson College
Abdul Jeelani,1980,1981,F-C,6-8,210,February 10 1954,University of Wisconsin-Parkside
Chris Jefferies,2003,2004,G-F,6-8,225,February 13 1980,California State University Fresno
Othyus Jeffers,2010,2014,G,6-5,200,August 5 1985,Robert Morris University (IL)
Al Jefferson,2005,2016,C-F,6-10,289,January 4 1985,
Cory Jefferson,2015,2016,F,6-9,218,December 26 1990,Baylor University
Dontell Jefferson,2009,2009,G,6-5,195,December 15 1983,University of Arkansas
Richard Jefferson,2002,2016,F,6-7,233,June 21 1980,University of Arizona
Jared Jeffries,2003,2013,F,6-11,230,November 25 1981,Indiana University
Charles Jenkins,2012,2013,G,6-3,220,February 28 1989,Hofstra University
Horace Jenkins,2005,2005,G,6-1,180,October 14 1974,William Paterson University
John Jenkins,2013,2016,G,6-4,215,March 6 1991,Vanderbilt University
Brandon Jennings,2010,2015,G,6-1,169,September 23 1989,
Keith Jennings,1993,1995,G,5-7,160,November 2 1968,East Tennessee State University
Chris Jent,1994,1997,F,6-7,220,January 11 1970,Ohio State University
Les Jepsen,1991,1992,C,7-0,237,June 24 1967,University of Iowa
Jonas Jerebko,2010,2016,F,6-10,231,March 2 1987,
Grant Jerrett,2015,2015,F,6-10,235,July 8 1993,University of Arizona
Eugene Jeter,2011,2011,G,5-11,175,December 2 1983,University of Portland
Hal Jeter,1970,1970,G,6-3,190,May 17 1945,Drake University
Yi Jianlian,2008,2012,F,7-0,238,October 27 1987,
Britton Johnsen,2004,2005,F,6-10,210,July 8 1979,University of Utah
Alexander Johnson,2007,2008,F,6-9,240,February 8 1983,Florida State University
Amir Johnson,2006,2016,F,6-9,240,May 1 1987,
Andy Johnson,1959,1962,F-G,6-5,215,November 8 1932,University of Portland
Anthony Johnson,1998,2010,G,6-3,190,October 2 1974,College of Charleston
Armon Johnson,2011,2012,G,6-3,195,February 23 1989,University of Nevada Reno
Arnie Johnson,1949,1953,F-C,6-5,236,May 16 1920,Bemidji State University
Avery Johnson,1989,2004,G,5-10,175,March 25 1965,Southern University and A&amp;M College
Buck Johnson,1987,1993,F,6-7,190,January 3 1964,University of Alabama
Carldell Johnson,2012,2012,G,5-10,180,January 28 1983,University of Alabama at Birmingham
Charles Johnson,1973,1979,G,6-0,170,March 31 1949,University of California
Cheese Johnson,1980,1980,F-G,6-6,195,September 7 1957,Wichita State University
Chris Johnson,2011,2013,C,6-11,210,July 15 1985,Louisiana State University
Chris Johnson,2013,2016,F-G,6-6,206,April 29 1990,University of Dayton
Clay Johnson,1982,1984,G,6-4,175,July 18 1956,University of Missouri
Clemon Johnson,1979,1988,C-F,6-10,240,September 12 1956,Florida Agricultural and Mechanical University
Darryl Johnson,1996,1996,G,6-1,170,October 26 1965,Michigan State University
Dave Johnson,1993,1994,G-F,6-7,210,November 16 1970,Syracuse University
DeMarco Johnson,2000,2000,F,6-9,245,October 6 1975,University of North Carolina at Charlotte
Dennis Johnson*,1977,1990,G,6-4,185,September 18 1954,Pepperdine University
DerMarr Johnson,2001,2008,F,6-9,201,May 5 1980,University of Cincinnati
