<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,21-033,CHO,,MIL,W (+2),1,33:42,6,8,.750,0,0,,5,6,.833,3,5,8,3,0,3,1,4,17,18.6,+1
2,2,2014-11-01,21-036,CHO,,MEM,L (-2),1,28:01,2,4,.500,0,0,,7,10,.700,1,11,12,1,0,0,1,1,11,11.1,-4
3,3,2014-11-02,21-037,CHO,@,NYK,L (-3),1,9:34,3,4,.750,0,0,,0,2,.000,0,3,3,0,1,1,0,0,6,6.2,-9
4,,2014-11-04,21-039,CHO,,NOP,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2014-11-05,21-040,CHO,,MIA,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,4,2014-11-07,21-042,CHO,,ATL,W (+3),1,24:10,4,6,.667,0,0,,2,3,.667,2,2,4,2,0,1,3,3,10,6.9,-6
7,5,2014-11-09,21-044,CHO,@,LAL,L (-15),1,24:13,1,4,.250,0,0,,1,2,.500,0,1,1,1,0,0,1,2,3,-0.6,-17
8,6,2014-11-11,21-046,CHO,@,POR,L (-2),1,20:16,4,6,.667,0,0,,4,4,1.000,1,4,5,1,0,0,0,3,12,10.8,-7
9,,2014-11-14,21-049,CHO,,PHO,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2014-11-15,21-050,CHO,,GSW,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2014-11-17,21-052,CHO,,DAL,L (-27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2014-11-19,21-054,CHO,,IND,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2014-11-21,21-056,CHO,,ORL,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2014-11-23,21-058,CHO,,MIA,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,2014-11-24,21-059,CHO,,LAC,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2014-11-26,21-061,CHO,,POR,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2014-11-28,21-063,CHO,,GSW,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,2014-11-29,21-064,CHO,,ATL,L (-30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2014-12-03,21-068,CHO,,CHI,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2014-12-05,21-070,CHO,,NYK,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,7,2014-12-10,21-075,CHO,,BOS,W (+9),0,19:12,3,6,.500,0,0,,3,3,1.000,2,4,6,0,0,0,0,3,9,7.4,-1
22,8,2014-12-12,21-077,CHO,@,MEM,L (-6),0,18:33,3,5,.600,0,0,,2,2,1.000,2,3,5,0,0,1,0,2,8,7.9,+9
23,9,2014-12-13,21-078,CHO,,BRK,L (-27),0,27:54,5,13,.385,0,0,,5,6,.833,1,4,5,1,1,0,0,2,15,10.3,-10
24,10,2014-12-15,21-080,CHO,@,CLE,L (-9),1,21:11,0,4,.000,0,0,,1,2,.500,1,3,4,0,0,0,0,3,1,-1.8,-23
25,11,2014-12-17,21-082,CHO,,PHO,L (-5),1,27:19,3,8,.375,0,0,,0,3,.000,2,1,3,1,1,0,0,0,6,3.8,-3
26,12,2014-12-19,21-084,CHO,@,PHI,W (+18),1,30:44,4,9,.444,0,0,,1,2,.500,2,6,8,1,2,0,1,0,9,8.8,+9
27,13,2014-12-20,21-085,CHO,,UTA,W (+18),1,33:04,4,8,.500,0,0,,5,8,.625,3,8,11,2,1,3,3,2,13,13.0,+20
28,14,2014-12-22,21-087,CHO,,DEN,W (+28),1,22:46,2,4,.500,0,0,,1,2,.500,1,2,3,1,1,1,0,3,5,5.1,+11
29,15,2014-12-23,21-088,CHO,@,MIL,W (+7),1,27:27,4,10,.400,0,0,,2,2,1.000,3,2,5,2,0,1,0,3,10,8.2,-7
30,16,2014-12-26,21-091,CHO,@,OKC,L (-23),1,19:23,2,6,.333,0,0,,5,5,1.000,3,2,5,1,2,1,3,4,9,7.1,-9
31,17,2014-12-27,21-092,CHO,,ORL,L (-8),1,35:03,3,8,.375,0,0,,3,4,.750,2,6,8,2,0,2,0,3,9,9.0,-2
32,18,2014-12-29,21-094,CHO,,MIL,L (-10),1,25:30,5,10,.500,0,0,,0,0,,1,2,3,2,1,0,2,2,10,5.9,+1
33,19,2014-12-31,21-096,CHO,@,HOU,L (-19),1,28:10,6,15,.400,0,0,,4,4,1.000,2,6,8,2,0,2,3,3,16,9.7,-7
34,20,2015-01-02,21-098,CHO,,CLE,L (-4),1,29:17,5,11,.455,0,0,,2,5,.400,4,6,10,1,0,0,5,4,12,3.8,-1
35,21,2015-01-03,21-099,CHO,@,ORL,W (+8),1,36:16,7,13,.538,0,0,,3,6,.500,5,7,12,3,0,1,2,1,17,15.5,+6
36,22,2015-01-05,21-101,CHO,@,BOS,W (+9),1,18:08,2,4,.500,0,0,,2,2,1.000,1,6,7,2,0,0,3,5,6,2.9,+14
37,23,2015-01-07,21-103,CHO,,NOP,W (+4),1,35:43,4,10,.400,0,0,,5,5,1.000,2,10,12,3,1,1,1,2,13,14.0,0
38,24,2015-01-08,21-104,CHO,@,TOR,W (+8),1,30:17,4,11,.364,0,0,,2,3,.667,1,11,12,3,0,0,1,4,10,7.0,+22
39,25,2015-01-10,21-106,CHO,@,NYK,W (+28),1,25:23,4,6,.667,0,0,,2,6,.333,0,9,9,1,0,0,0,0,10,9.2,+34
40,26,2015-01-14,21-110,CHO,,SAS,L (-5),1,26:56,2,8,.250,0,0,,4,4,1.000,1,4,5,2,0,0,1,1,8,5.1,-13
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,27,2015-01-17,21-113,CHO,,IND,W (+9),1,36:16,4,13,.308,0,0,,1,3,.333,2,14,16,3,1,0,1,1,9,8.0,+6
