<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,20,DET,NBA,PG,66,60,2129,319,769,.415,105,276,.380,214,493,.434,.483,104,137,.759,33,178,211,251,49,10,171,154,847
2012-13,21,DET,NBA,PG,75,75,2365,357,878,.407,120,327,.367,237,551,.430,.475,165,225,.733,54,193,247,303,58,8,205,157,999
2013-14,22,MIL,NBA,PG,72,69,2400,461,1092,.422,110,338,.325,351,754,.466,.473,259,323,.802,46,209,255,352,69,17,188,146,1291
2014-15,23,TOT,NBA,PG-SG,63,61,2035,375,888,.422,125,321,.389,250,567,.441,.493,195,223,.874,28,216,244,330,90,10,189,114,1070
2014-15,23,MIL,NBA,PG,52,52,1688,324,745,.435,104,254,.409,220,491,.448,.505,171,194,.881,26,195,221,281,84,9,166,93,923
2014-15,23,PHO,NBA,SG,11,9,347,51,143,.357,21,67,.313,30,76,.395,.430,24,29,.828,2,21,23,49,6,1,23,21,147
2015-16,24,PHO,NBA,SG,19,19,683,150,341,.440,50,129,.388,100,212,.472,.513,64,78,.821,16,67,83,102,27,8,56,38,414
Career,,,NBA,,295,284,9612,1662,3968,.419,510,1391,.367,1152,2577,.447,.483,787,986,.798,177,863,1040,1338,293,53,809,609,4621
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,DET,NBA,,141,135,4494,676,1647,.410,225,603,.373,451,1044,.432,.479,269,362,.743,87,371,458,554,107,18,376,311,1846
2 seasons,,MIL,NBA,,124,121,4088,785,1837,.427,214,592,.361,571,1245,.459,.486,430,517,.832,72,404,476,633,153,26,354,239,2214
2 seasons,,PHO,NBA,,30,28,1030,201,484,.415,71,196,.362,130,288,.451,.489,88,107,.822,18,88,106,151,33,9,79,59,561
