<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,33-226,ATL,@,TOR,L (-7),1,33:29,7,10,.700,6,7,.857,0,0,,0,2,2,2,0,3,2,1,20,17.5,+6
2,2,2014-11-01,33-229,ATL,,IND,W (+10),1,32:04,3,5,.600,2,3,.667,1,2,.500,0,3,3,4,1,0,1,4,9,8.4,+1
3,3,2014-11-05,33-233,ATL,@,SAS,L (-2),1,36:25,3,10,.300,1,5,.200,0,0,,0,4,4,3,2,0,1,5,7,3.5,+6
4,4,2014-11-07,33-235,ATL,@,CHO,L (-3),1,45:08,6,12,.500,4,7,.571,4,5,.800,0,2,2,1,0,1,2,4,20,12.0,+5
5,5,2014-11-08,33-236,ATL,,NYK,W (+7),1,37:33,7,12,.583,6,9,.667,7,7,1.000,0,4,4,1,1,3,1,1,27,25.0,+8
6,6,2014-11-10,33-238,ATL,@,NYK,W (+6),1,33:17,4,13,.308,3,9,.333,6,6,1.000,1,7,8,2,0,0,0,2,17,12.9,+5
7,7,2014-11-12,33-240,ATL,,UTA,W (+3),1,38:15,5,10,.500,4,7,.571,3,3,1.000,1,9,10,6,0,0,2,1,17,17.2,+16
8,8,2014-11-14,33-242,ATL,,MIA,W (+11),1,37:05,4,7,.571,4,5,.800,0,0,,0,6,6,7,2,0,3,4,12,12.8,+17
9,9,2014-11-15,33-243,ATL,@,CLE,L (-33),1,13:33,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-28
10,10,2014-11-18,33-246,ATL,,LAL,L (-5),1,39:00,2,6,.333,2,5,.400,2,2,1.000,1,1,2,3,0,1,2,4,8,4.8,0
11,11,2014-11-21,33-249,ATL,,DET,W (+10),1,35:52,5,6,.833,2,3,.667,0,0,,0,4,4,4,0,0,2,1,12,11.4,+16
12,12,2014-11-25,33-253,ATL,@,WAS,W (+4),1,25:19,0,4,.000,0,2,.000,2,2,1.000,0,5,5,1,0,0,2,2,2,-1.4,+8
13,13,2014-11-26,33-254,ATL,,TOR,L (-11),1,36:32,6,9,.667,4,6,.667,3,3,1.000,1,3,4,3,0,1,3,2,19,15.7,+1
14,14,2014-11-28,33-256,ATL,,NOP,W (+9),1,33:28,3,6,.500,2,5,.400,3,3,1.000,0,4,4,5,0,0,1,0,11,11.7,+3
