<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,19,UTA,NBA,C,48,7,565,94,185,.508,0,0,,94,185,.508,.508,36,51,.706,50,88,138,20,12,31,26,70,224
2009-10,20,UTA,NBA,C,36,0,172,22,47,.468,0,0,,22,47,.468,.468,9,15,.600,16,29,45,6,2,4,15,26,53
2010-11,21,TOT,NBA,C,50,2,434,68,150,.453,0,2,.000,68,148,.459,.453,24,43,.558,57,73,130,7,10,25,31,59,160
2010-11,21,MIN,NBA,C,39,1,336,47,108,.435,0,2,.000,47,106,.443,.435,12,24,.500,42,55,97,7,8,20,25,50,106
2010-11,21,DEN,NBA,C,11,1,98,21,42,.500,0,0,,21,42,.500,.500,12,19,.632,15,18,33,0,2,5,6,9,54
2011-12,22,DEN,NBA,C,48,24,792,115,192,.599,0,0,,115,192,.599,.599,33,55,.600,95,163,258,15,24,41,33,96,263
2012-13,23,DEN,NBA,C,81,81,1817,295,508,.581,0,1,.000,295,507,.582,.581,58,104,.558,211,351,562,32,44,103,53,246,648
2013-14,24,MEM,NBA,C,80,22,1349,227,459,.495,0,0,,227,459,.495,.495,60,93,.645,160,258,418,39,32,71,67,182,514
2014-15,25,MEM,NBA,C,81,3,1348,182,358,.508,0,0,,182,358,.508,.508,55,85,.647,121,305,426,37,29,63,69,148,419
2015-16,26,SAC,NBA,PF,19,8,450,73,138,.529,0,0,,73,138,.529,.529,20,32,.625,58,72,130,6,15,19,15,62,166
Career,,,NBA,,443,147,6927,1076,2037,.528,0,3,.000,1076,2034,.529,.528,295,478,.617,768,1339,2107,162,168,357,309,889,2447
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MEM,NBA,,161,25,2697,409,817,.501,0,0,,409,817,.501,.501,115,178,.646,281,563,844,76,61,134,136,330,933
3 seasons,,DEN,NBA,,140,106,2707,431,742,.581,0,1,.000,431,741,.582,.581,103,178,.579,321,532,853,47,70,149,92,351,965
2 seasons,,UTA,NBA,,84,7,737,116,232,.500,0,0,,116,232,.500,.500,45,66,.682,66,117,183,26,14,35,41,96,277
1 season,,MIN,NBA,,39,1,336,47,108,.435,0,2,.000,47,106,.443,.435,12,24,.500,42,55,97,7,8,20,25,50,106
1 season,,SAC,NBA,,19,8,450,73,138,.529,0,0,,73,138,.529,.529,20,32,.625,58,72,130,6,15,19,15,62,166
