<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Whitey Kachan,1949,1949,G,6-2,175,September 15 1925,DePaul University
George Kaftan,1949,1953,F,6-3,190,February 22 1928,College of the Holy Cross
Ed Kalafat,1955,1957,C-F,6-6,245,October 13 1932,University of Minnesota
Chris Kaman,2004,2016,C,7-0,265,April 28 1982,Central Michigan University
Frank Kaminsky,2016,2016,F-C,7-0,242,April 4 1993,University of Wisconsin
Enes Kanter,2012,2016,C,6-11,245,May 20 1992,
Ralph Kaplowitz,1947,1948,G-F,6-2,170,May 18 1919,New York University
Jason Kapono,2004,2012,F,6-8,213,February 4 1981,University of California Los Angeles
Tony Kappen,1947,1947,G,5-10,165,April 13 1919,
Sergey Karasev,2014,2016,G-F,6-7,208,October 26 1993,
Coby Karl,2008,2010,G,6-5,215,March 6 1983,Boise State University
George Karl,1974,1978,,,,May 12 1952,University of North Carolina
Ed Kasid,1947,1947,G,5-11,185,August 13 1923,
Mario Kasun,2005,2006,C,7-1,260,April 5 1980,
Leo Katkaveck,1949,1950,G,6-0,185,April 17 1923,North Carolina State University
Bob Kauffman,1969,1975,F-C,6-8,240,July 13 1946,Guilford College
Sasha Kaun,2016,2016,C,6-11,260,May 8 1985,University of Kansas
Wilbert Kautz,1947,1947,G-F,6-0,180,September 7 1915,Loyola University of Chicago
Clarence Kea,1981,1982,F,6-6,218,February 2 1959,Lamar University
Mike Kearns,1955,1955,G,6-2,178,June 18 1929,Princeton University
Tommy Kearns,1959,1959,G,5-11,185,October 6 1936,University of North Carolina
Adam Keefe,1993,2001,F,6-9,230,February 22 1970,Stanford University
Harold Keeling,1986,1986,G,6-4,185,September 18 1963,Santa Clara University
Bill Keller,1970,1976,G,5-10,177,August 30 1947,Purdue University
Gary Keller,1968,1969,F-C,6-9,220,June 13 1944,University of Florida
Ken Keller,1947,1947,G,6-1,180,,St. John's University
Rich Kelley,1976,1986,C-F,7-0,235,March 23 1953,Stanford University
Clark Kellogg,1983,1987,F,6-7,225,July 2 1961,Ohio State University
Arvesta Kelly,1968,1972,G,6-2,175,November 20 1945,Lincoln University of Missouri
Jerry Kelly,1947,1948,F,6-2,172,June 14 1918,Marshall University
Ryan Kelly,2014,2016,F,6-11,230,April 9 1991,Duke University
Tom Kelly,1949,1949,G,6-0,170,March 5 1924,New York University
Greg Kelser,1980,1985,F,6-7,190,September 17 1957,Michigan State University
Ben Kelso,1974,1974,G,6-3,195,April 11 1949,Central Michigan University
Shawn Kemp,1990,2003,F-C,6-10,230,November 26 1969,Trinity Valley Community College
Tim Kempton,1987,1998,F-C,6-10,245,January 25 1964,University of Notre Dame
Frank Kendrick,1975,1975,F,6-6,198,September 11 1950,Purdue University
D.J. Kennedy,2012,2012,F,6-6,215,November 5 1989,St. John's University
Goo Kennedy,1972,1977,F-C,6-5,205,August 23 1949,Texas Christian University
Joe Kennedy,1969,1971,F,6-6,210,January 12 1947,Duke University
Pickles Kennedy,1961,1961,G,5-11,180,May 17 1938,Temple University
