<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,26-360,DEN,,DET,W (+10),1,33:03,1,7,.143,0,3,.000,1,2,.500,0,0,0,5,0,0,2,2,3,-1.2,+10
2,2,2014-11-01,26-363,DEN,@,OKC,L (-11),1,34:44,8,12,.667,1,3,.333,8,12,.667,0,2,2,5,1,0,7,1,25,15.9,-5
3,3,2014-11-03,27-000,DEN,,SAC,L (-5),1,35:24,1,8,.125,0,1,.000,7,8,.875,2,0,2,12,1,0,1,1,9,12.8,-1
4,4,2014-11-05,27-002,DEN,@,SAC,L (-22),1,31:56,3,7,.429,0,0,,7,9,.778,1,2,3,9,2,0,3,1,13,14.7,-15
5,,2014-11-07,27-004,DEN,,CLE,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5,2014-11-09,27-006,DEN,@,POR,L (-16),1,38:20,7,16,.438,0,0,,4,6,.667,2,4,6,8,2,0,2,2,18,16.2,-18
7,6,2014-11-12,27-009,DEN,,POR,L (-17),1,41:46,11,17,.647,4,5,.800,6,7,.857,0,3,3,6,2,0,1,0,32,30.2,-6
8,7,2014-11-14,27-011,DEN,@,IND,W (+21),1,30:49,4,13,.308,1,4,.250,2,2,1.000,0,3,3,10,1,0,3,2,11,8.6,+24
9,8,2014-11-16,27-013,DEN,@,NYK,L (-16),1,39:49,6,18,.333,2,5,.400,3,6,.500,0,2,2,9,0,0,6,1,17,6.1,-10
10,9,2014-11-17,27-014,DEN,@,CLE,W (+9),1,37:34,9,18,.500,0,6,.000,6,7,.857,0,1,1,12,2,0,5,1,24,19.9,+5
11,10,2014-11-19,27-016,DEN,,OKC,W (+7),1,35:55,6,13,.462,0,2,.000,3,4,.750,0,1,1,15,1,0,2,1,15,17.3,+9
12,11,2014-11-21,27-018,DEN,,NOP,W (+20),1,28:08,5,12,.417,1,2,.500,0,2,.000,0,3,3,9,2,0,2,0,11,11.0,+7
13,12,2014-11-23,27-020,DEN,@,LAL,W (+7),1,42:50,5,10,.500,1,2,.500,7,10,.700,0,3,3,16,0,0,5,3,18,17.7,+16
14,13,2014-11-25,27-022,DEN,,CHI,W (+5),1,35:20,7,16,.438,1,1,1.000,5,7,.714,1,2,3,12,3,1,4,2,20,19.4,+6
15,14,2014-11-26,27-023,DEN,@,PHO,L (-8),1,40:25,4,16,.250,1,7,.143,8,8,1.000,2,5,7,12,2,0,2,1,17,18.3,-3
16,15,2014-11-28,27-025,DEN,,PHO,W (+25),1,28:18,4,11,.364,0,3,.000,3,4,.750,0,3,3,10,1,0,1,3,11,11.2,+24
17,16,2014-12-01,27-028,DEN,@,UTA,W (+2),1,38:58,6,15,.400,0,1,.000,3,5,.600,1,3,4,12,2,0,3,3,15,13.9,-3
18,17,2014-12-02,27-029,DEN,,POR,L (-2),1,42:37,9,16,.563,3,4,.750,3,7,.429,0,4,4,13,2,0,4,3,24,21.9,-2
19,18,2014-12-05,27-032,DEN,@,WAS,L (-30),1,34:32,3,10,.300,0,2,.000,8,8,1.000,0,4,4,10,3,0,1,2,14,17.6,-21
