<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,DEN,NBA,PG,65,8,1318,201,390,.515,34,83,.410,167,307,.544,.559,106,140,.757,42,82,124,203,48,2,82,89,542
2010-11,23,DEN,NBA,PG,80,31,2103,346,688,.503,69,171,.404,277,517,.536,.553,172,225,.764,67,142,209,377,80,4,137,133,933
2011-12,24,DEN,NBA,PG,61,61,2124,374,767,.488,73,200,.365,301,567,.531,.535,178,216,.824,54,173,227,401,82,6,149,94,999
2012-13,25,DEN,NBA,PG,73,71,2513,448,971,.461,85,232,.366,363,739,.491,.505,235,311,.756,36,162,198,501,107,8,182,135,1216
2013-14,26,DEN,NBA,PG,62,61,2222,347,806,.431,72,202,.356,275,604,.455,.475,324,406,.798,40,175,215,543,100,10,200,113,1090
2014-15,27,DEN,NBA,PG,75,75,2665,404,926,.436,70,205,.341,334,721,.463,.474,265,363,.730,42,192,234,720,92,9,185,128,1143
2015-16,28,HOU,NBA,PG,18,11,518,46,131,.351,13,40,.325,33,91,.363,.401,30,45,.667,12,32,44,81,19,3,42,26,135
Career,,,NBA,,434,318,13463,2166,4679,.463,416,1133,.367,1750,3546,.494,.507,1310,1706,.768,293,958,1251,2826,528,42,977,718,6058
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,DEN,NBA,,416,307,12945,2120,4548,.466,403,1093,.369,1717,3455,.497,.510,1280,1661,.771,281,926,1207,2745,509,39,935,692,5923
1 season,,HOU,NBA,,18,11,518,46,131,.351,13,40,.325,33,91,.363,.401,30,45,.667,12,32,44,81,19,3,42,26,135
