<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,29-026,MEM,,MIN,W (+4),1,35:30,5,11,.455,2,4,.500,2,2,1.000,1,0,1,3,2,1,3,2,14,10.0,+8
2,2,2014-10-31,29-028,MEM,@,IND,W (+8),1,16:11,4,5,.800,1,1,1.000,3,3,1.000,1,3,4,2,0,0,0,1,12,12.7,0
3,,2014-11-01,29-029,MEM,,CHO,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2014-11-03,29-031,MEM,,NOP,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,3,2014-11-05,29-033,MEM,@,PHO,W (+11),1,39:08,9,14,.643,4,5,.800,0,0,,0,3,3,3,2,1,1,2,22,19.7,+23
6,4,2014-11-07,29-035,MEM,@,OKC,W (+2),1,35:25,5,8,.625,3,3,1.000,4,5,.800,1,2,3,2,1,0,0,1,17,16.3,-4
7,5,2014-11-08,29-036,MEM,@,MIL,L (-1),1,34:26,3,9,.333,2,5,.400,3,3,1.000,2,6,8,2,1,0,1,1,11,10.1,+10
8,6,2014-11-11,29-039,MEM,,LAL,W (+5),1,38:09,5,10,.500,1,3,.333,4,5,.800,1,2,3,2,1,0,1,2,15,11.5,-2
9,7,2014-11-13,29-041,MEM,,SAC,W (+1),0,35:55,6,9,.667,1,1,1.000,3,3,1.000,0,1,1,3,3,0,1,3,16,15.3,+15
10,8,2014-11-15,29-043,MEM,,DET,W (+7),0,31:06,4,10,.400,1,3,.333,3,3,1.000,1,3,4,2,0,0,0,1,12,9.2,+7
11,9,2014-11-17,29-045,MEM,,HOU,W (+26),1,30:07,6,7,.857,3,4,.750,0,0,,0,3,3,2,1,0,1,0,15,14.8,+28
12,,2014-11-19,29-047,MEM,,TOR,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,10,2014-11-21,29-049,MEM,,BOS,W (+17),1,29:58,2,5,.400,1,2,.500,0,0,,0,0,0,2,0,0,0,1,5,3.3,+20
14,11,2014-11-23,29-051,MEM,,LAC,W (+16),1,38:41,4,10,.400,3,5,.600,2,3,.667,0,3,3,3,2,0,5,0,13,7.2,+15
15,12,2014-11-26,29-054,MEM,@,LAL,W (+6),1,30:46,4,10,.400,1,5,.200,1,1,1.000,0,4,4,2,2,0,3,1,10,5.8,+7
16,13,2014-11-28,29-056,MEM,@,POR,W (+13),1,30:21,5,9,.556,2,4,.500,1,2,.500,0,1,1,3,0,1,0,1,13,11.0,+3
17,14,2014-11-30,29-058,MEM,@,SAC,W (+12),1,32:26,5,9,.556,0,2,.000,1,1,1.000,1,0,1,1,1,0,1,1,11,7.7,+3
18,15,2014-12-03,29-061,MEM,@,HOU,L (-9),1,23:48,2,4,.500,0,2,.000,0,0,,0,2,2,2,0,1,0,2,4,3.9,-15
19,16,2014-12-05,29-063,MEM,,SAS,L (-6),1,38:26,4,9,.444,0,1,.000,0,0,,0,3,3,1,0,0,2,6,8,0.5,-8
20,17,2014-12-07,29-065,MEM,,MIA,W (+16),1,37:02,7,9,.778,3,3,1.000,0,0,,0,1,1,3,2,0,0,2,17,17.1,+6
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,18,2014-12-09,29-067,MEM,,DAL,W (+9),1,19:05,2,5,.400,0,1,.000,0,0,,0,1,1,2,2,0,1,4,4,2.4,-4
22,19,2014-12-12,29-070,MEM,,CHO,W (+6),1,29:44,4,5,.800,2,2,1.000,3,3,1.000,0,1,1,1,1,0,1,0,13,12.1,+9
23,20,2014-12-13,29-071,MEM,@,PHI,W (+5),1,37:00,7,13,.538,3,4,.750,2,2,1.000,0,3,3,5,2,0,1,3,19,16.9,+20
24,21,2014-12-16,29-074,MEM,,GSW,W (+7),1,30:36,1,4,.250,0,1,.000,3,3,1.000,0,7,7,2,0,0,1,2,5,4.3,-5
25,22,2014-12-17,29-075,MEM,@,SAS,W (+1),1,52:50,6,13,.462,2,2,1.000,0,0,,0,2,2,4,1,0,1,4,14,9.1,-1
26,23,2014-12-19,29-077,MEM,,CHI,L (-6),1,30:11,3,9,.333,1,3,.333,0,0,,0,2,2,2,1,0,0,0,7,4.9,+10
27,24,2014-12-21,29-079,MEM,@,CLE,L (-14),1,23:25,1,5,.200,0,0,,2,2,1.000,0,3,3,2,0,1,2,1,4,1.5,-9
28,25,2014-12-22,29-080,MEM,,UTA,L (-6),1,37:43,6,14,.429,0,7,.000,1,1,1.000,0,1,1,2,2,0,0,3,13,8.1,-8
29,26,2014-12-26,29-084,MEM,,HOU,L (-6),1,39:38,1,6,.167,1,3,.333,1,1,1.000,0,2,2,5,0,0,1,2,4,2.5,-3
30,27,2014-12-27,29-085,MEM,@,MIA,W (+8),1,31:54,3,6,.500,1,1,1.000,3,4,.750,1,1,2,2,0,0,2,2,10,6.2,+12
31,28,2014-12-30,29-088,MEM,,SAS,W (+8),1,30:31,3,9,.333,1,2,.500,1,1,1.000,0,4,4,5,2,0,2,1,8,7.2,+6
32,29,2015-01-02,29-091,MEM,@,LAL,W (+3),1,30:08,5,9,.556,2,2,1.000,2,2,1.000,1,0,1,0,1,0,1,1,14,10.0,+4
33,30,2015-01-03,29-092,MEM,@,DEN,L (-29),1,23:45,3,5,.600,1,2,.500,0,0,,0,3,3,1,1,0,3,2,7,3.5,-11
34,31,2015-01-05,29-094,MEM,,NYK,W (+22),1,26:17,5,8,.625,1,3,.333,0,0,,0,2,2,1,0,0,1,0,11,7.7,+23
35,32,2015-01-07,29-096,MEM,@,ATL,L (-10),1,27:38,3,9,.333,1,3,.333,2,2,1.000,1,0,1,3,1,0,4,0,9,3.7,-12
36,33,2015-01-09,29-098,MEM,@,NOP,L (-11),1,27:41,2,7,.286,0,1,.000,0,0,,1,3,4,1,0,0,1,2,4,0.4,-13
37,34,2015-01-11,29-100,MEM,,PHO,W (+12),1,44:17,7,13,.538,2,5,.400,2,4,.500,0,2,2,2,2,0,1,2,18,13.1,+16
38,35,2015-01-14,29-103,MEM,@,BRK,W (+11),1,30:26,7,10,.700,3,4,.750,1,1,1.000,0,0,0,3,0,0,0,1,18,15.5,+23
39,36,2015-01-16,29-105,MEM,@,ORL,W (+10),1,34:10,6,14,.429,1,6,.167,3,4,.750,0,2,2,1,1,0,0,1,16,10.1,+13
40,37,2015-01-17,29-106,MEM,,POR,W (+4),1,33:06,6,13,.462,4,6,.667,1,2,.500,0,2,2,3,0,0,2,2,17,9.8,+5
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,38,2015-01-19,29-108,MEM,,DAL,L (-8),1,31:16,5,14,.357,1,6,.167,1,1,1.000,1,1,2,1,2,1,2,3,12,5.4,-8
42,39,2015-01-21,29-110,MEM,,TOR,W (+6),0,28:41,0,3,.000,0,2,.000,1,2,.500,0,5,5,1,3,1,0,0,1,4.4,-3
43,40,2015-01-24,29-113,MEM,,PHI,W (+18),1,22:33,1,5,.200,1,2,.500,5,6,.833,0,1,1,3,2,0,2,1,8,6.5,+8
44,41,2015-01-26,29-115,MEM,,ORL,W (+9),1,32:36,2,6,.333,2,4,.500,5,5,1.000,0,2,2,2,0,0,0,1,11,9.2,+4
45,42,2015-01-27,29-116,MEM,@,DAL,W (+19),1,30:51,5,7,.714,3,4,.750,0,0,,0,2,2,2,1,0,0,3,13,11.9,+9
46,43,2015-01-29,29-118,MEM,,DEN,W (+30),1,24:10,5,10,.500,0,2,.000,1,3,.333,0,2,2,2,1,0,1,0,11,7.2,+18
47,44,2015-01-31,29-120,MEM,,OKC,W (+11),1,27:39,3,6,.500,1,2,.500,0,0,,0,2,2,1,2,0,0,2,7,6.5,+3
48,45,2015-02-02,29-122,MEM,@,PHO,W (+1),1,31:57,2,4,.500,0,0,,2,2,1.000,0,1,1,1,1,1,1,1,6,5.3,-7
49,46,2015-02-04,29-124,MEM,@,UTA,W (+10),1,29:24,1,4,.250,0,1,.000,0,0,,1,4,5,1,1,0,0,0,2,3.2,+3
50,47,2015-02-06,29-126,MEM,@,MIN,L (-1),1,28:54,5,9,.556,1,2,.500,3,3,1.000,0,1,1,1,2,0,1,1,14,11.3,-6
51,48,2015-02-08,29-128,MEM,,ATL,W (+6),1,30:50,3,10,.300,0,1,.000,0,0,,0,3,3,0,0,0,1,2,6,-0.7,+8
52,49,2015-02-10,29-130,MEM,,BRK,W (+9),1,26:20,6,10,.600,2,5,.400,1,1,1.000,0,1,1,3,2,1,0,3,15,14.3,+4
53,50,2015-02-11,29-131,MEM,@,OKC,L (-16),1,17:50,0,5,.000,0,3,.000,0,0,,0,0,0,0,0,0,0,2,0,-4.3,-17
54,51,2015-02-22,29-142,MEM,@,POR,W (+6),1,29:59,6,8,.750,2,2,1.000,5,5,1.000,0,3,3,3,1,0,0,2,19,19.0,+2
55,52,2015-02-23,29-143,MEM,@,LAC,W (+3),1,29:32,3,8,.375,1,3,.333,2,2,1.000,0,1,1,3,2,0,0,3,9,7.8,-1
56,53,2015-02-25,29-145,MEM,@,SAC,L (-12),1,32:09,4,11,.364,1,6,.167,0,0,,1,3,4,3,2,0,2,2,9,5.8,-11
57,54,2015-02-27,29-147,MEM,,LAC,L (-18),1,31:59,3,8,.375,3,5,.600,3,3,1.000,0,5,5,4,0,0,1,4,12,9.3,-16
58,55,2015-02-28,29-148,MEM,@,MIN,W (+4),1,31:55,2,3,.667,1,1,1.000,0,0,,0,1,1,1,0,0,1,3,5,2.5,+7
59,56,2015-03-03,29-151,MEM,,UTA,L (-11),1,37:30,7,13,.538,2,7,.286,2,2,1.000,0,5,5,1,1,0,2,1,18,12.5,-8
60,57,2015-03-04,29-152,MEM,@,HOU,W (+2),1,29:12,2,8,.250,0,2,.000,2,2,1.000,0,0,0,2,0,0,0,3,6,1.4,-8
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,58,2015-03-06,29-154,MEM,,LAL,W (+7),1,26:46,1,6,.167,0,2,.000,0,0,,0,1,1,4,0,0,0,0,2,1.3,+10
62,59,2015-03-07,29-155,MEM,@,NOP,L (-6),1,24:28,2,9,.222,1,3,.333,0,0,,0,1,1,0,1,0,0,3,5,-0.4,-12
63,60,2015-03-09,29-157,MEM,@,CHI,W (+10),1,26:53,3,8,.375,1,2,.500,0,0,,1,1,2,2,1,1,1,0,7,5.7,+7
64,61,2015-03-11,29-159,MEM,@,BOS,L (-3),1,26:23,2,10,.200,1,4,.250,2,2,1.000,0,5,5,2,2,0,2,1,7,3.3,-3
65,62,2015-03-12,29-160,MEM,@,WAS,L (-20),1,24:05,3,10,.300,0,2,.000,3,3,1.000,2,0,2,2,0,0,1,1,9,4.6,-20
66,63,2015-03-14,29-162,MEM,,MIL,W (+13),1,29:12,6,10,.600,2,3,.667,3,3,1.000,0,1,1,2,0,0,2,1,17,11.7,+10
67,64,2015-03-16,29-164,MEM,,DEN,W (+11),1,33:18,3,7,.429,1,2,.500,2,2,1.000,0,5,5,0,1,0,1,1,9,6.4,+8
68,65,2015-03-17,29-165,MEM,@,DET,L (-10),1,28:21,3,10,.300,0,5,.000,0,0,,0,1,1,2,0,0,1,1,6,0.5,-9
69,66,2015-03-20,29-168,MEM,@,DAL,W (+11),1,31:33,1,4,.250,1,2,.500,2,4,.500,0,3,3,1,0,0,1,4,5,0.8,+16
70,,2015-03-21,29-169,MEM,,POR,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,,2015-03-23,29-171,MEM,,NYK,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,67,2015-03-25,29-173,MEM,,CLE,L (-22),1,19:11,0,3,.000,0,3,.000,0,1,.000,0,1,1,1,1,0,0,3,0,-1.7,-15
73,68,2015-03-27,29-175,MEM,,GSW,L (-23),1,22:23,1,6,.167,0,1,.000,2,2,1.000,0,1,1,0,2,0,1,0,4,1.5,-16
74,69,2015-03-29,29-177,MEM,@,SAS,L (-14),1,35:45,4,11,.364,0,3,.000,2,2,1.000,0,1,1,3,1,0,2,2,10,4.5,-7
