<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,22,NYK,NBA,SF,67,14,1129,137,230,.596,0,0,,137,230,.596,.596,71,123,.577,109,194,303,43,30,20,51,124,345
2006-07,23,NYK,NBA,PF,58,12,1731,240,400,.600,0,0,,240,400,.600,.600,141,173,.815,196,406,602,104,48,23,92,155,621
2007-08,24,NYK,NBA,PF,81,29,2356,341,618,.552,0,2,.000,341,616,.554,.552,194,237,.819,242,482,724,95,55,29,97,210,876
2008-09,25,NYK,NBA,C,81,74,2824,522,951,.549,0,3,.000,522,948,.551,.549,249,330,.755,256,695,951,174,80,22,150,260,1293
2009-10&nbsp;★,26,NYK,NBA,C,81,81,3019,686,1258,.545,0,8,.000,686,1250,.549,.545,268,330,.812,228,721,949,295,85,40,189,257,1640
2010-11,27,GSW,NBA,PF,73,73,2634,496,978,.507,1,3,.333,495,975,.508,.508,210,267,.787,217,497,714,233,74,31,170,211,1203
2011-12,28,GSW,NBA,PF,57,57,2121,464,922,.503,0,5,.000,464,917,.506,.503,219,280,.782,171,374,545,162,54,22,149,179,1147
2012-13&nbsp;★,29,GSW,NBA,PF,79,79,2907,602,1160,.519,0,4,.000,602,1156,.521,.519,255,320,.797,218,668,886,279,67,22,207,246,1459
2013-14,30,GSW,NBA,PF,69,67,2288,513,981,.523,0,1,.000,513,980,.523,.523,231,296,.780,182,461,643,147,48,26,152,206,1257
2014-15,31,GSW,NBA,PF,49,4,904,160,313,.511,0,2,.000,160,311,.514,.511,68,104,.654,81,176,257,85,31,26,49,83,388
2015-16,32,BOS,NBA,PF,18,3,278,48,91,.527,0,0,,48,91,.527,.527,28,37,.757,25,48,73,29,7,4,24,34,124
Career,,,NBA,,713,493,22191,4209,7902,.533,1,28,.036,4208,7874,.534,.533,1934,2497,.775,1925,4722,6647,1646,579,265,1330,1965,10353
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,NYK,NBA,,368,210,11059,1926,3457,.557,0,13,.000,1926,3444,.559,.557,923,1193,.774,1031,2498,3529,711,298,134,579,1006,4775
5 seasons,,GSW,NBA,,327,280,10854,2235,4354,.513,1,15,.067,2234,4339,.515,.513,983,1267,.776,869,2176,3045,906,274,127,727,925,5454
1 season,,BOS,NBA,,18,3,278,48,91,.527,0,0,,48,91,.527,.527,28,37,.757,25,48,73,29,7,4,24,34,124
