<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,25-168,MEM,,MIN,W (+4),0,19:14,0,4,.000,0,0,,0,0,,0,3,3,0,0,1,0,1,0,-1.6,-8
2,2,2014-10-31,25-170,MEM,@,IND,W (+8),0,7:58,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,1,0,1.0,-5
3,3,2014-11-01,25-171,MEM,@,CHO,W (+2),0,11:40,1,5,.200,0,1,.000,0,0,,1,1,2,0,1,0,0,1,2,0.5,-6
4,4,2014-11-03,25-173,MEM,,NOP,W (+12),0,6:15,0,3,.000,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2,0.6,-3
5,5,2014-11-05,25-175,MEM,@,PHO,W (+11),0,16:13,1,4,.250,0,0,,0,0,,2,4,6,0,0,0,2,0,2,0.2,-10
6,6,2014-11-07,25-177,MEM,@,OKC,W (+2),0,5:15,1,4,.250,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-0.1,0
7,7,2014-11-08,25-178,MEM,@,MIL,L (-1),0,16:07,3,6,.500,0,0,,0,0,,3,3,6,0,0,0,1,3,6,3.8,-2
8,8,2014-11-11,25-181,MEM,,LAL,W (+5),0,9:04,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,0,1,2,2.6,+7
9,9,2014-11-13,25-183,MEM,,SAC,W (+1),0,13:41,3,4,.750,0,0,,2,4,.500,1,2,3,0,0,0,1,2,8,5.1,0
10,10,2014-11-15,25-185,MEM,,DET,W (+7),0,7:22,1,1,1.000,0,0,,1,2,.500,0,1,1,0,0,0,0,0,3,2.6,-1
11,11,2014-11-17,25-187,MEM,,HOU,W (+26),0,21:00,5,8,.625,0,0,,3,4,.750,2,2,4,2,0,0,1,0,13,11.4,0
12,,2014-11-19,25-189,MEM,,TOR,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,12,2014-11-21,25-191,MEM,,BOS,W (+17),0,22:15,9,13,.692,1,2,.500,0,0,,1,6,7,4,2,1,1,4,19,18.9,+10
14,13,2014-11-23,25-193,MEM,,LAC,W (+16),0,18:42,4,8,.500,1,2,.500,0,0,,1,4,5,1,0,0,1,2,9,5.8,+4
15,14,2014-11-26,25-196,MEM,@,LAL,W (+6),0,18:36,3,5,.600,0,1,.000,0,0,,1,1,2,0,0,0,1,2,6,2.9,0
16,15,2014-11-28,25-198,MEM,@,POR,W (+13),0,13:50,3,5,.600,1,1,1.000,0,0,,0,2,2,0,0,0,1,1,7,3.9,+1
17,16,2014-11-30,25-200,MEM,@,SAC,W (+12),0,15:14,4,7,.571,0,0,,0,1,.000,1,4,5,1,1,1,1,2,8,6.8,-6
18,17,2014-12-03,25-203,MEM,@,HOU,L (-9),0,26:29,3,9,.333,0,1,.000,1,2,.500,1,5,6,2,0,0,1,1,7,3.7,+10
19,,2014-12-05,25-205,MEM,,SAS,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,18,2014-12-07,25-207,MEM,,MIA,W (+16),0,23:58,7,12,.583,2,3,.667,4,4,1.000,2,10,12,1,2,1,1,1,20,20.8,+10
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,19,2014-12-09,25-209,MEM,,DAL,W (+9),0,20:05,1,4,.250,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,3,1.2,-2
22,20,2014-12-12,25-212,MEM,,CHO,W (+6),0,18:51,1,5,.200,0,1,.000,1,4,.250,0,4,4,0,1,0,1,3,3,-1.3,-6
23,21,2014-12-13,25-213,MEM,@,PHI,W (+5),0,8:54,0,5,.000,0,1,.000,0,0,,1,2,3,1,0,1,0,0,0,-0.8,+7
24,22,2014-12-16,25-216,MEM,,GSW,W (+7),0,19:16,4,6,.667,0,1,.000,3,3,1.000,0,4,4,0,0,0,1,4,11,7.0,0
25,23,2014-12-17,25-217,MEM,@,SAS,W (+1),0,14:09,1,4,.250,0,1,.000,0,0,,1,2,3,1,1,1,0,2,2,2.5,0
26,24,2014-12-19,25-219,MEM,,CHI,L (-6),0,20:30,3,5,.600,0,1,.000,0,1,.000,0,4,4,2,0,0,0,6,6,3.5,-8
27,25,2014-12-21,25-221,MEM,@,CLE,L (-14),1,29:59,7,14,.500,0,2,.000,2,2,1.000,3,4,7,2,2,0,0,2,16,14.9,-14
28,26,2014-12-22,25-222,MEM,,UTA,L (-6),0,26:05,2,9,.222,0,1,.000,0,0,,0,5,5,1,0,0,0,1,4,0.3,-14
29,27,2014-12-26,25-226,MEM,,HOU,L (-6),1,16:09,2,3,.667,0,1,.000,0,0,,1,2,3,0,0,0,0,1,4,3.6,-4
30,28,2014-12-27,25-227,MEM,@,MIA,W (+8),1,22:49,2,8,.250,0,0,,1,4,.250,3,1,4,1,2,0,1,3,5,1.9,+8
31,29,2014-12-30,25-230,MEM,,SAS,W (+8),1,9:43,2,4,.500,0,0,,0,0,,2,0,2,1,0,0,2,3,4,0.9,+1
32,30,2015-01-02,25-233,MEM,@,LAL,W (+3),1,15:34,3,5,.600,0,0,,0,0,,1,4,5,0,0,0,0,4,6,4.0,-5
33,31,2015-01-03,25-234,MEM,@,DEN,L (-29),1,19:47,5,8,.625,0,1,.000,0,0,,2,5,7,4,1,0,0,2,10,12.3,-7
34,32,2015-01-05,25-236,MEM,,NYK,W (+22),0,14:58,1,3,.333,0,0,,1,2,.500,1,6,7,3,0,0,3,0,3,2.5,-1
35,33,2015-01-07,25-238,MEM,@,ATL,L (-10),0,10:16,2,4,.500,0,0,,0,0,,0,2,2,1,0,0,1,5,4,0.3,-6
36,34,2015-01-09,25-240,MEM,@,NOP,L (-11),0,8:29,0,0,,0,0,,0,0,,1,3,4,1,0,1,0,0,0,3.0,0
