<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,29-048,GSW,@,SAC,W (+18),0,3:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
2,2,2014-11-01,29-051,GSW,,LAL,W (+23),0,11:03,1,2,.500,0,0,,0,0,,1,1,2,1,1,1,1,1,2,3.0,-10
3,3,2014-11-02,29-052,GSW,@,POR,W (+5),0,16:05,0,2,.000,0,0,,0,0,,0,0,0,2,0,0,3,0,0,-3.0,-5
4,4,2014-11-05,29-055,GSW,,LAC,W (+17),0,18:48,3,5,.600,0,0,,0,0,,0,1,1,6,1,0,1,2,6,7.4,-2
5,5,2014-11-08,29-058,GSW,@,HOU,W (+11),0,15:24,0,4,.000,0,0,,0,0,,1,0,1,2,4,0,4,1,0,-1.1,-10
6,6,2014-11-09,29-059,GSW,@,PHO,L (-12),0,19:10,1,2,.500,0,0,,4,4,1.000,0,0,0,2,0,0,2,1,6,4.0,-2
7,7,2014-11-11,29-061,GSW,,SAS,L (-13),0,10:39,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,1,2,2,-0.8,+5
8,8,2014-11-13,29-063,GSW,,BRK,W (+8),0,13:03,2,2,1.000,0,0,,0,0,,0,2,2,2,0,0,0,3,4,4.2,-1
9,9,2014-11-15,29-065,GSW,,CHO,W (+25),0,19:42,4,6,.667,0,0,,0,0,,0,0,0,1,0,1,1,0,8,5.8,+2
10,10,2014-11-16,29-066,GSW,@,LAL,W (+21),0,18:04,0,4,.000,0,0,,3,4,.750,3,3,6,4,0,0,2,1,3,3.2,-6
11,11,2014-11-21,29-071,GSW,,UTA,W (+13),0,23:30,3,6,.500,0,0,,0,0,,0,3,3,4,0,0,1,2,6,4.9,-10
12,12,2014-11-23,29-073,GSW,@,OKC,W (+5),0,12:03,1,4,.250,0,0,,0,0,,1,3,4,2,0,0,0,0,2,2.6,+4
13,13,2014-11-25,29-075,GSW,@,MIA,W (+17),0,10:56,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,1,4,2.3,-11
14,14,2014-11-26,29-076,GSW,@,ORL,W (+15),0,27:11,7,10,.700,0,0,,1,2,.500,0,3,3,5,1,0,5,3,15,9.6,0
15,15,2014-11-28,29-078,GSW,@,CHO,W (+5),0,14:04,2,5,.400,0,0,,0,0,,0,1,1,4,0,0,0,3,4,3.2,-2
16,16,2014-11-30,29-080,GSW,@,DET,W (+11),0,23:00,5,7,.714,0,1,.000,2,2,1.000,0,4,4,3,0,0,2,1,12,10.0,+4
17,17,2014-12-02,29-082,GSW,,ORL,W (+1),0,11:33,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,4,2.9,-7
18,18,2014-12-04,29-084,GSW,,NOP,W (+27),0,17:23,2,6,.333,0,0,,0,0,,1,2,3,6,1,0,0,0,4,7.1,+16
19,19,2014-12-06,29-086,GSW,@,CHI,W (+10),0,17:03,3,5,.600,0,0,,0,0,,1,0,1,2,2,0,0,2,6,7.0,+1
20,20,2014-12-08,29-088,GSW,@,MIN,W (+16),0,25:30,5,8,.625,0,0,,2,2,1.000,2,3,5,6,4,0,4,3,12,13.7,+6
