<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-29,26-211,BRK,,BOS,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2014-11-01,26-214,BRK,,DET,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1,2014-11-03,26-216,BRK,,OKC,W (+31),1,23:52,6,10,.600,0,0,,6,7,.857,2,4,6,0,1,2,1,3,18,15.8,-2
4,2,2014-11-05,26-218,BRK,,MIN,L (-7),1,33:53,5,14,.357,0,0,,0,1,.000,2,3,5,0,2,2,4,4,10,1.9,-27
5,3,2014-11-07,26-220,BRK,,NYK,W (+11),1,30:44,6,10,.600,0,0,,8,10,.800,3,6,9,1,1,2,0,4,20,20.0,+10
6,4,2014-11-09,26-222,BRK,,ORL,W (+8),1,25:59,4,9,.444,0,0,,4,4,1.000,3,2,5,0,1,3,1,2,12,11.3,+7
7,5,2014-11-12,26-225,BRK,@,PHO,L (-8),1,25:32,6,13,.462,0,0,,4,5,.800,1,2,3,0,2,1,0,3,16,11.7,+4
8,6,2014-11-13,26-226,BRK,@,GSW,L (-8),1,26:56,7,17,.412,0,0,,4,4,1.000,2,3,5,0,0,0,3,3,18,7.0,0
9,7,2014-11-15,26-228,BRK,@,POR,L (-10),1,29:59,10,17,.588,0,0,,1,1,1.000,1,3,4,1,2,1,3,4,21,13.5,+3
10,8,2014-11-17,26-230,BRK,,MIA,L (-12),1,21:37,2,8,.250,0,0,,1,2,.500,0,1,1,2,1,1,1,3,5,1.0,-13
11,9,2014-11-19,26-232,BRK,,MIL,L (-4),1,43:57,11,19,.579,0,0,,4,4,1.000,2,5,7,2,1,3,7,3,26,16.3,-5
12,10,2014-11-21,26-234,BRK,@,OKC,W (+2),1,34:41,6,12,.500,0,0,,4,4,1.000,4,6,10,0,0,3,4,2,16,11.9,-1
13,11,2014-11-22,26-235,BRK,@,SAS,L (-12),1,25:18,3,8,.375,0,0,,0,0,,3,1,4,1,0,1,2,3,6,2.2,-16
