<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,26-211,POR,,OKC,W (+17),1,32:24,4,11,.364,0,0,,3,4,.750,7,3,10,0,1,2,0,2,11,11.9,+12
2,2,2014-10-31,26-213,POR,@,SAC,L (-9),1,29:27,4,7,.571,0,0,,0,0,,2,4,6,2,0,3,2,3,8,7.6,-15
3,3,2014-11-02,26-215,POR,,GSW,L (-5),1,26:50,6,13,.462,0,0,,0,0,,6,4,10,0,0,0,3,5,12,5.7,-16
4,4,2014-11-04,26-217,POR,,CLE,W (+19),1,29:15,8,11,.727,0,0,,3,4,.750,2,4,6,2,3,1,0,1,19,21.4,+19
5,5,2014-11-06,26-219,POR,,DAL,W (+21),1,24:13,3,6,.500,0,0,,2,2,1.000,4,4,8,0,0,3,2,3,8,7.9,+5
6,6,2014-11-08,26-221,POR,@,LAC,L (-4),1,32:24,7,10,.700,0,0,,5,7,.714,3,4,7,2,0,1,2,3,19,16.2,-1
7,7,2014-11-09,26-222,POR,,DEN,W (+16),1,28:22,5,12,.417,0,0,,2,2,1.000,4,5,9,2,0,3,1,3,12,11.2,+11
8,8,2014-11-11,26-224,POR,,CHO,W (+2),1,22:36,2,5,.400,0,0,,0,0,,1,3,4,0,0,1,1,2,4,1.8,-5
9,9,2014-11-12,26-225,POR,@,DEN,W (+17),1,21:04,8,11,.727,0,0,,3,3,1.000,2,3,5,0,0,0,1,2,19,15.0,+8
10,10,2014-11-15,26-228,POR,,BRK,W (+10),1,29:42,5,9,.556,0,0,,0,0,,2,5,7,2,1,1,2,2,10,8.9,0
11,11,2014-11-17,26-230,POR,,NOP,W (+9),1,27:14,3,4,.750,0,0,,2,3,.667,2,4,6,1,1,1,1,2,8,9.2,+4
12,12,2014-11-21,26-234,POR,,CHI,W (+18),1,23:26,5,7,.714,0,0,,2,2,1.000,1,6,7,1,0,1,1,0,12,12.0,+34
13,13,2014-11-23,26-236,POR,@,BOS,W (+6),1,31:00,4,6,.667,0,0,,1,2,.500,2,5,7,2,0,1,4,1,9,6.6,+2
14,14,2014-11-24,26-237,POR,@,PHI,W (+10),1,29:13,4,8,.500,0,0,,4,4,1.000,4,4,8,3,0,4,2,4,12,13.3,+6
15,15,2014-11-26,26-239,POR,@,CHO,W (+8),1,30:38,6,10,.600,0,0,,3,3,1.000,5,5,10,2,0,3,1,4,15,16.3,+3
16,16,2014-11-28,26-241,POR,,MEM,L (-13),1,22:46,3,10,.300,0,0,,0,0,,3,4,7,1,0,0,0,2,6,3.4,-7
17,17,2014-11-30,26-243,POR,,MIN,W (+14),1,30:09,1,6,.167,0,0,,2,2,1.000,4,3,7,1,1,5,4,3,4,3.9,+11
18,18,2014-12-02,26-245,POR,@,DEN,W (+2),1,31:06,5,5,1.000,0,0,,1,2,.500,2,1,3,1,0,0,0,1,11,11.1,+16
19,19,2014-12-04,26-247,POR,,IND,W (+6),1,29:36,1,5,.200,0,0,,2,4,.500,2,5,7,0,1,0,2,5,4,0.0,-2
20,20,2014-12-07,26-250,POR,@,NYK,W (+4),1,33:06,3,8,.375,0,0,,0,0,,6,2,8,1,1,1,1,4,6,6.2,+9
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-09,26-252,POR,@,DET,W (+12),1,27:02,3,9,.333,0,0,,0,0,,6,5,11,0,0,2,2,0,6,6.0,+11
22,22,2014-12-10,26-253,POR,@,MIN,L (-8),1,26:21,4,8,.500,0,0,,0,0,,4,4,8,3,0,0,3,4,8,5.5,0
23,23,2014-12-12,26-255,POR,@,CHI,L (-9),1,28:07,2,8,.250,0,0,,0,0,,5,2,7,2,1,1,0,4,4,4.8,+3
24,24,2014-12-13,26-256,POR,@,IND,W (+10),1,29:54,4,4,1.000,0,0,,0,0,,4,4,8,2,1,3,0,2,8,14.5,+4
25,25,2014-12-15,26-258,POR,,SAS,W (+13),1,19:25,1,7,.143,0,0,,2,2,1.000,0,5,5,0,0,0,1,0,4,0.0,-6
26,,2014-12-17,26-260,POR,,MIL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,2014-12-19,26-262,POR,,SAS,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2014-12-20,26-263,POR,,NOP,W (+26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2014-12-22,26-265,POR,,HOU,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2014-12-23,26-266,POR,,OKC,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2014-12-26,26-269,POR,,PHI,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,,2014-12-28,26-271,POR,,NYK,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,,2014-12-30,26-273,POR,,TOR,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2015-01-03,26-277,POR,,ATL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2015-01-05,26-279,POR,,LAL,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,2015-01-08,26-282,POR,,MIA,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2015-01-10,26-284,POR,,ORL,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2015-01-11,26-285,POR,,LAL,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,2015-01-14,26-288,POR,,LAC,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,2015-01-16,26-290,POR,,SAS,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
