<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,PHO,NBA,C,60,7,614,71,137,.518,0,1,.000,71,136,.522,.518,47,68,.691,52,66,118,8,11,41,28,97,189
2009-10,21,PHO,NBA,C,51,31,986,171,291,.588,0,0,,171,291,.588,.588,88,125,.704,104,144,248,7,10,53,41,117,430
2010-11,22,PHO,NBA,C,67,56,991,179,357,.501,0,0,,179,357,.501,.501,74,100,.740,82,134,216,8,18,45,48,143,432
2011-12,23,PHO,NBA,C,64,0,895,124,269,.461,0,0,,124,269,.461,.461,100,140,.714,90,119,209,20,18,60,43,128,348
2012-13,24,NOH,NBA,C,82,82,2136,384,719,.534,0,0,,384,719,.534,.534,161,207,.778,226,236,462,64,32,128,110,167,929
2013-14,25,POR,NBA,C,82,82,2603,355,644,.551,0,1,.000,355,643,.552,.551,198,242,.818,326,374,700,73,25,139,84,196,908
2014-15,26,POR,NBA,C,59,59,1638,234,437,.535,0,1,.000,234,436,.537,.535,98,127,.772,190,204,394,55,16,84,73,122,566
2015-16,27,NYK,NBA,C,19,19,463,58,132,.439,0,0,,58,132,.439,.439,23,26,.885,48,69,117,37,5,21,36,51,139
Career,,,NBA,,484,336,10326,1576,2986,.528,0,3,.000,1576,2983,.528,.528,789,1035,.762,1118,1346,2464,272,135,571,463,1021,3941
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHO,NBA,,242,94,3486,545,1054,.517,0,1,.000,545,1053,.518,.517,309,433,.714,328,463,791,43,57,199,160,485,1399
2 seasons,,POR,NBA,,141,141,4241,589,1081,.545,0,2,.000,589,1079,.546,.545,296,369,.802,516,578,1094,128,41,223,157,318,1474
1 season,,NOH,NBA,,82,82,2136,384,719,.534,0,0,,384,719,.534,.534,161,207,.778,226,236,462,64,32,128,110,167,929
1 season,,NYK,NBA,,19,19,463,58,132,.439,0,0,,58,132,.439,.439,23,26,.885,48,69,117,37,5,21,36,51,139
